"dataset","learningrate","nhidden","testAccuracy","layerForm","nlayers","valAccuracy"
"molec-biol-promoter",0.01,256,0.692307710647583,"rect",3,0.883333361148834
"molec-biol-promoter",0.01,256,0.807692289352417,"cone",3,0.833333373069763
"molec-biol-promoter",0.01,256,0.769230782985687,"cone",2,0.833333373069763
"molec-biol-promoter",0.1,1024,0.807692348957062,"cone",2,0.833333373069763
"molec-biol-promoter",0.1,1024,0.653846204280853,"cone",3,0.766666698455811
"molec-biol-promoter",0.1,256,0.807692348957062,"rect",2,0.733333361148834
"molec-biol-promoter",0.01,512,0.730769276618958,"cone",3,0.700000023841858
"molec-biol-promoter",0.01,1024,0.846153914928436,"cone",4,0.68333335518837
"molec-biol-promoter",0.01,512,0.730769276618958,"rect",4,0.68333335518837
"molec-biol-promoter",0.1,512,0.846153914928436,"cone",2,0.68333335518837
"molec-biol-promoter",0.1,256,0.730769276618958,"cone",4,0.666666689515114
"molec-biol-promoter",0.01,1024,0.5,"cone",32,0.666666686534881
"molec-biol-promoter",0.1,512,0.5,"cone",16,0.666666686534881
"molec-biol-promoter",0.01,1024,0.769230842590332,"rect",4,0.666666686534881
"molec-biol-promoter",0.01,512,0.5,"cone",4,0.666666686534881
"molec-biol-promoter",0.01,256,0.5,"cone",4,0.666666686534881
"molec-biol-promoter",0.01,256,0.769230842590332,"rect",4,0.666666686534881
"molec-biol-promoter",0.1,1024,0.730769276618958,"cone",4,0.666666686534881
"molec-biol-promoter",0.01,1024,0.769230842590332,"cone",3,0.666666686534881
"molec-biol-promoter",0.01,1024,0.884615421295166,"rect",3,0.666666686534881
"molec-biol-promoter",0.01,256,0.730769276618958,"rect",2,0.666666686534881
"molec-biol-promoter",0.1,1024,0.846153855323792,"rect",2,0.666666686534881
"molec-biol-promoter",0.1,512,0.807692348957062,"rect",2,0.666666686534881
"molec-biol-promoter",0.1,256,0.884615421295166,"cone",2,0.666666686534881
"molec-biol-promoter",0.01,1024,0.615384638309479,"cone",2,0.633333337306976
"molec-biol-promoter",0.1,256,0.5,"cone",8,0.566666683554649
"molec-biol-promoter",0.1,512,0.5,"cone",32,0.566666683554649
"molec-biol-promoter",1,256,0.5,"cone",16,0.566666683554649
"molec-biol-promoter",1,1024,0.5,"cone",32,0.533333349227905
"molec-biol-promoter",1,1024,0.5,"rect",32,0.533333349227905
"molec-biol-promoter",1,512,0.5,"cone",16,0.533333349227905
"molec-biol-promoter",0.1,512,0.5,"cone",8,0.533333349227905
"molec-biol-promoter",1,512,0.5,"rect",8,0.533333349227905
"molec-biol-promoter",1,256,0.5,"cone",4,0.533333349227905
"molec-biol-promoter",1,256,0.5,"rect",2,0.533333349227905
"molec-biol-promoter",1,256,0.5,"cone",32,0.533333349227905
"molec-biol-promoter",0.01,1024,0.769230782985687,"rect",2,0.51666667163372
"molec-biol-promoter",0.1,512,0.769230842590332,"rect",3,0.516666668653488
"molec-biol-promoter",0.01,512,0.807692408561707,"rect",2,0.516666668653488
"molec-biol-promoter",1,256,0.5,"cone",2,0.500000014901161
"molec-biol-promoter",1,512,0.5,"rect",32,0.500000014901161
"molec-biol-promoter",1,1024,0.5,"cone",8,0.500000014901161
"molec-biol-promoter",1,1024,0.5,"rect",4,0.500000014901161
"molec-biol-promoter",1,512,0.5,"cone",4,0.500000014901161
"molec-biol-promoter",1,512,0.5,"rect",4,0.500000014901161
"molec-biol-promoter",0.1,512,0.730769276618958,"cone",3,0.500000005960464
"molec-biol-promoter",0.01,512,0.769230842590332,"rect",3,0.5
"molec-biol-promoter",0.1,1024,0.5,"cone",32,0.466666680574417
"molec-biol-promoter",1,1024,0.5,"cone",4,0.466666680574417
"molec-biol-promoter",1,512,0.5,"rect",3,0.466666680574417
"molec-biol-promoter",0.01,512,0.807692348957062,"cone",2,0.400000005960464
"molec-biol-promoter",0.1,1024,0.5,"cone",16,0.366666677594185
"molec-biol-promoter",0.1,512,0.5,"cone",4,0.366666677594185
"molec-biol-promoter",0.1,1024,0.5,"rect",3,0.366666677594185
"molec-biol-promoter",1,512,0.5,"cone",3,0.366666677594185
"molec-biol-promoter",1,1024,0.5,"cone",2,0.366666677594185
"molec-biol-promoter",1,1024,0.5,"rect",2,0.366666677594185
"molec-biol-promoter",0.01,1024,0.5,"rect",32,0.333333343267441
"molec-biol-promoter",0.01,512,0.5,"cone",32,0.333333343267441
