"dataset","nlayers","learningrate","testAccuracy","nhidden","valAccuracy","layerForm"
"conn-bench-sonar-mines-rocks",2,0.01,0.826923131942749,1024,0.916666686534882,"rect"
"conn-bench-sonar-mines-rocks",2,0.1,0.884615421295166,1024,0.916666686534882,"cone"
"conn-bench-sonar-mines-rocks",2,0.1,0.865384638309479,512,0.916666686534882,"cone"
"conn-bench-sonar-mines-rocks",4,0.1,0.826923131942749,512,0.883333343267441,"cone"
"conn-bench-sonar-mines-rocks",4,0.01,0.846153855323792,512,0.875,"rect"
"conn-bench-sonar-mines-rocks",3,0.1,0.807692348957062,1024,0.875,"cone"
"conn-bench-sonar-mines-rocks",3,0.1,0.826923131942749,512,0.875,"cone"
"conn-bench-sonar-mines-rocks",2,0.01,0.884615421295166,512,0.875,"rect"
"conn-bench-sonar-mines-rocks",2,0.01,0.769230782985687,256,0.875,"cone"
"conn-bench-sonar-mines-rocks",2,0.01,0.884615421295166,256,0.875,"rect"
"conn-bench-sonar-mines-rocks",2,0.1,0.846153855323792,1024,0.875,"rect"
"conn-bench-sonar-mines-rocks",2,0.1,0.826923131942749,256,0.875,"rect"
"conn-bench-sonar-mines-rocks",3,0.1,0.884615421295166,512,0.862500023841858,"rect"
"conn-bench-sonar-mines-rocks",3,0.01,0.807692348957062,1024,0.850000023841858,"rect"
"conn-bench-sonar-mines-rocks",3,0.1,0.692307710647583,256,0.841666680574417,"rect"
"conn-bench-sonar-mines-rocks",2,0.1,0.884615421295166,256,0.837500035762787,"cone"
"conn-bench-sonar-mines-rocks",4,0.01,0.884615421295166,256,0.837500029802323,"rect"
"conn-bench-sonar-mines-rocks",3,0.01,0.865384697914124,1024,0.833333373069763,"cone"
"conn-bench-sonar-mines-rocks",3,0.01,0.826923131942749,512,0.833333373069763,"rect"
"conn-bench-sonar-mines-rocks",3,0.01,0.826923131942749,256,0.833333373069763,"cone"
"conn-bench-sonar-mines-rocks",3,0.1,0.769230842590332,1024,0.833333373069763,"rect"
"conn-bench-sonar-mines-rocks",8,0.01,0.673076987266541,512,0.833333361148834,"rect"
"conn-bench-sonar-mines-rocks",3,0.1,0.807692289352417,256,0.816666680574417,"cone"
"conn-bench-sonar-mines-rocks",4,0.01,0.788461565971375,512,0.812500029802323,"cone"
"conn-bench-sonar-mines-rocks",2,0.01,0.788461565971375,512,0.791666686534882,"cone"
"conn-bench-sonar-mines-rocks",2,0.1,0.846153855323792,512,0.779166680574417,"rect"
"conn-bench-sonar-mines-rocks",4,0.01,0.75,1024,0.775000011920929,"rect"
"conn-bench-sonar-mines-rocks",3,0.01,0.923076987266541,256,0.770833343267441,"rect"
"conn-bench-sonar-mines-rocks",8,0.01,0.615384697914124,256,0.766666674613953,"rect"
"conn-bench-sonar-mines-rocks",8,0.1,0.826923131942749,512,0.750000023841858,"cone"
"conn-bench-sonar-mines-rocks",2,0.01,0.846153914928436,1024,0.741666680574417,"cone"
"conn-bench-sonar-mines-rocks",4,0.1,0.653846144676208,256,0.695833367109299,"cone"
"conn-bench-sonar-mines-rocks",32,0.01,0.46153849363327,1024,0.541666686534882,"cone"
"conn-bench-sonar-mines-rocks",16,0.01,0.46153849363327,256,0.541666686534882,"cone"
"conn-bench-sonar-mines-rocks",8,0.01,0.46153849363327,1024,0.541666686534882,"cone"
"conn-bench-sonar-mines-rocks",32,0.1,0.46153849363327,256,0.533333352208138,"cone"
