"dataset","nhidden","testAccuracy","learningrate","nlayers","layerForm","valAccuracy"
"oocytes_merluccius_nucleus_4d",256,0.807843148708344,0.01,2,"rect",0.899999994039536
"oocytes_merluccius_nucleus_4d",256,0.82745099067688,0.01,2,"cone",0.889473652839661
"oocytes_merluccius_nucleus_4d",512,0.792156875133514,0.01,2,"cone",0.884210503101349
"oocytes_merluccius_nucleus_4d",256,0.803921580314636,0.01,3,"cone",0.88421049118042
"oocytes_merluccius_nucleus_4d",512,0.749019622802734,0.01,3,"rect",0.881578946113587
"oocytes_merluccius_nucleus_4d",1024,0.7843137383461,0.01,3,"rect",0.880263155698776
"oocytes_merluccius_nucleus_4d",256,0.796078443527222,0.01,3,"rect",0.880263125896454
"oocytes_merluccius_nucleus_4d",256,0.839215695858002,0.01,4,"rect",0.86973682641983
"oocytes_merluccius_nucleus_4d",256,0.772549033164978,0.1,4,"cone",0.865789473056793
"oocytes_merluccius_nucleus_4d",512,0.796078443527222,0.01,2,"rect",0.864473694562912
"oocytes_merluccius_nucleus_4d",512,0.749019622802734,0.01,3,"cone",0.859210538864136
"oocytes_merluccius_nucleus_4d",1024,0.807843148708344,0.01,2,"rect",0.856578940153122
"oocytes_merluccius_nucleus_4d",1024,0.807843148708344,0.01,2,"cone",0.85
"oocytes_merluccius_nucleus_4d",1024,0.772549033164978,0.01,4,"cone",0.847368395328522
"oocytes_merluccius_nucleus_4d",1024,0.686274528503418,0.01,4,"rect",0.830263161659241
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,0.01,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.01,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,0.01,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,0.1,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,1,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,1,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,1,32,"cone",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,0.01,16,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,16,"cone",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,1,16,"rect",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,1,16,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,1,16,"rect",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.01,8,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,8,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,0.1,8,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.01,4,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,4,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,4,"rect",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,1,4,"rect",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,1,4,"rect",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,1,4,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,1,4,"rect",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,0.01,3,"cone",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,0.1,3,"cone",0.75
"oocytes_merluccius_nucleus_4d",1024,0.670588254928589,1,3,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,1,3,"cone",0.75
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,1,3,"cone",0.75
"oocytes_merluccius_nucleus_4d",512,0.670588254928589,0.1,2,"rect",0.75
"oocytes_merluccius_nucleus_4d",256,0.666666686534882,0.01,4,"cone",0.74868420958519
"oocytes_merluccius_nucleus_4d",512,0.690196096897125,0.01,4,"rect",0.74868420958519
"oocytes_merluccius_nucleus_4d",256,0.658823549747467,0.1,3,"cone",0.74605262875557
"oocytes_merluccius_nucleus_4d",1024,0.666666686534882,0.1,2,"cone",0.74605262875557
"oocytes_merluccius_nucleus_4d",1024,0.658823549747467,0.1,2,"rect",0.744736814498902
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,0.01,8,"cone",0.739473688602448
"oocytes_merluccius_nucleus_4d",256,0.647058844566345,0.1,2,"cone",0.732894724607468
"oocytes_merluccius_nucleus_4d",256,0.670588254928589,0.1,2,"rect",0.728947371244431
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,2,"cone",0.35
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.1,3,"rect",0.27763158082962
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.01,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",512,0.329411774873734,0.01,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",256,0.329411774873734,0.01,32,"rect",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,32,"cone",0.25
"oocytes_merluccius_nucleus_4d",1024,0.329411774873734,0.1,32,"rect",0.25
