"dataset","nlayers","layerForm","nhidden","testAccuracy","valAccuracy","learningrate"
"waveform",2,"rect",512,0.83759993314743,0.863685631752014,0.01
"waveform",4,"rect",1024,0.848800003528595,0.862601613998413,0.01
"waveform",2,"rect",256,0.836799919605255,0.862330639362335,0.01
"waveform",4,"cone",1024,0.831199884414673,0.859349590539932,0.01
"waveform",2,"rect",512,0.849599957466125,0.858807617425919,0.1
"waveform",4,"cone",256,0.848800003528595,0.85880760550499,0.01
"waveform",4,"cone",256,0.855199992656708,0.857723581790924,0.1
"waveform",8,"rect",512,0.83759993314743,0.857452553510666,0.01
"waveform",3,"cone",256,0.835999965667725,0.856639540195465,0.01
"waveform",2,"cone",1024,0.852799952030182,0.855826562643051,0.1
"waveform",3,"cone",256,0.84799998998642,0.855826562643051,0.1
"waveform",2,"cone",256,0.851999938488007,0.855284577608109,0.1
"waveform",2,"rect",256,0.845599949359894,0.85528456568718,0.1
"waveform",3,"rect",256,0.84879994392395,0.855013555288315,0.1
"waveform",4,"rect",256,0.831999897956848,0.854742550849915,0.01
"waveform",4,"rect",512,0.830399990081787,0.854200547933579,0.01
"waveform",2,"rect",1024,0.851199865341187,0.852303552627564,0.1
"waveform",2,"cone",256,0.810399949550629,0.851219540834427,0.01
"waveform",3,"cone",1024,0.843199968338013,0.850677508115768,0.1
"waveform",2,"rect",1024,0.83759993314743,0.850677508115768,0.01
"waveform",3,"cone",512,0.845599949359894,0.850677502155304,0.01
"waveform",2,"cone",512,0.845600008964539,0.850406515598297,0.1
"waveform",3,"cone",1024,0.840799927711487,0.849322497844696,0.01
"waveform",3,"rect",1024,0.847999930381775,0.849051487445831,0.01
"waveform",3,"cone",512,0.855199992656708,0.84878049492836,0.1
"waveform",4,"cone",512,0.839999973773956,0.848238497972489,0.1
"waveform",4,"cone",512,0.844799995422363,0.847967505455017,0.01
"waveform",2,"cone",512,0.846399962902069,0.847425478696823,0.01
"waveform",8,"rect",1024,0.795199871063232,0.846070468425751,0.01
"waveform",2,"cone",1024,0.830399990081787,0.844986432790756,0.01
"waveform",3,"rect",256,0.839200019836426,0.842547434568405,0.01
"waveform",3,"rect",1024,0.84879994392395,0.841734409332276,0.1
"waveform",3,"rect",512,0.838399946689606,0.837669360637665,0.01
"waveform",8,"cone",512,0.340000003576279,0.341463428735733,0.01
"waveform",4,"rect",512,0.340000003576279,0.341463425755501,0.1
"waveform",8,"cone",512,0.340000003576279,0.341463425755501,0.1
"waveform",3,"rect",512,0.340000003576279,0.341463425755501,0.1
"waveform",32,"cone",256,0.339999973773956,0.341463422775269,0.01
"waveform",16,"cone",512,0.339999973773956,0.341463422775269,0.01
"waveform",16,"rect",256,0.339999973773956,0.341463422775269,0.1
"waveform",16,"cone",256,0.339999973773956,0.341463422775268,0.01
"waveform",8,"cone",256,0.339999943971634,0.341463422775268,0.1
"waveform",32,"cone",1024,0.339999973773956,0.341463416814804,0.1
"waveform",8,"cone",1024,0.339999973773956,0.341463416814804,0.1
"waveform",8,"rect",256,0.340000003576279,0.341463416814804,0.1
"waveform",3,"cone",512,0.339999973773956,0.340379410982132,1
"waveform",8,"cone",256,0.328799962997437,0.338753390312195,1
"waveform",4,"cone",256,0.340000003576279,0.337940388917923,1
"waveform",4,"cone",512,0.339999973773956,0.337940385937691,1
"waveform",32,"cone",1024,0.340000003576279,0.337669384479523,1
"waveform",16,"cone",256,0.328799962997437,0.33766938149929,1
"waveform",2,"cone",1024,0.339999973773956,0.336585372686386,1
"waveform",8,"cone",512,0.340000003576279,0.336585369706154,1
"waveform",4,"rect",1024,0.339999973773956,0.336585369706154,1
"waveform",3,"cone",1024,0.339999973773956,0.335501357913017,1
"waveform",32,"cone",256,0.331200003623962,0.334688350558281,1
"waveform",32,"cone",256,0.331200003623962,0.330623325705528,0.1
"waveform",16,"rect",512,0.331200003623962,0.330623325705528,0.1
"waveform",8,"rect",1024,0.331200003623962,0.330623325705528,1
"waveform",2,"cone",256,0.331200003623962,0.330623325705528,1
"waveform",16,"rect",256,0.331200003623962,0.330623325705528,0.01
"waveform",32,"cone",512,0.331200003623962,0.330623322725296,1
"waveform",8,"cone",256,0.331200003623962,0.330623322725296,0.01
"waveform",16,"cone",1024,0.331200003623962,0.330623322725296,1
"waveform",3,"rect",256,0.331200003623962,0.330623322725296,1
"waveform",8,"cone",1024,0.331200003623962,0.330623322725296,0.01
"waveform",16,"rect",1024,0.331200003623962,0.330623319745064,0.01
"waveform",16,"rect",1024,0.331200003623962,0.330623319745064,0.1
"waveform",32,"rect",1024,0.331200003623962,0.330623319745064,0.01
"waveform",16,"cone",256,0.331200003623962,0.330623319745064,0.1
"waveform",4,"rect",256,0.331200003623962,0.330623319745064,0.1
"waveform",4,"rect",512,0.331200003623962,0.330623319745064,1
"waveform",2,"rect",1024,0.331200003623962,0.330623319745064,1
"waveform",16,"cone",1024,0.331200003623962,0.330623319745064,0.01
"waveform",16,"rect",512,0.331200003623962,0.330623319745064,0.01
"waveform",16,"rect",256,0.331200003623962,0.330623319745064,1
"waveform",32,"rect",512,0.331200003623962,0.330623316764832,0.1
"waveform",32,"rect",1024,0.331200003623962,0.330623316764832,1
"waveform",16,"rect",1024,0.331200003623962,0.330623316764832,1
"waveform",8,"rect",1024,0.331200003623962,0.330623316764832,0.1
"waveform",4,"rect",1024,0.331200003623962,0.330623316764832,0.1
"waveform",4,"rect",256,0.331200003623962,0.330623316764832,1
"waveform",3,"rect",512,0.331200003623962,0.330623316764832,1
"waveform",32,"rect",256,0.331200003623962,0.330623313784599,0.01
"waveform",32,"rect",256,0.331200003623962,0.330623313784599,0.1
"waveform",4,"cone",1024,0.331200003623962,0.330623313784599,0.1
"waveform",3,"cone",256,0.331200003623962,0.330623313784599,1
"waveform",2,"cone",512,0.33119997382164,0.330623313784599,1
"waveform",16,"cone",512,0.331200003623962,0.330623313784599,1
"waveform",8,"rect",256,0.331200003623962,0.330623313784599,1
