"dataset","learningrate","testAccuracy","nhidden","valAccuracy","nlayers","layerForm"
"spambase",0.01,0.936521828174591,512,0.923148190975189,8,"cone"
"spambase",0.01,0.933043599128723,256,0.922839516401291,3,"rect"
"spambase",0.01,0.943478345870972,512,0.91975309252739,3,"rect"
"spambase",0.1,0.931304395198822,1024,0.916975313425064,3,"rect"
"spambase",0.01,0.935652196407318,512,0.915123474597931,3,"cone"
"spambase",0.01,0.932173907756805,512,0.914197552204132,4,"rect"
"spambase",0.01,0.927826106548309,512,0.908333349227905,4,"cone"
"spambase",0.01,0.60608696937561,1024,0.617283940315246,32,"cone"
"spambase",0.01,0.60608696937561,1024,0.617283940315246,32,"rect"
"spambase",0.01,0.60608696937561,512,0.617283940315246,32,"cone"
"spambase",0.01,0.60608696937561,512,0.617283940315246,32,"rect"
"spambase",0.01,0.60608696937561,256,0.617283940315246,32,"cone"
"spambase",0.01,0.60608696937561,256,0.617283940315246,32,"rect"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,32,"cone"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,32,"rect"
"spambase",0.1,0.60608696937561,512,0.617283940315246,32,"cone"
"spambase",0.1,0.60608696937561,512,0.617283940315246,32,"rect"
"spambase",0.1,0.60608696937561,256,0.617283940315246,32,"cone"
"spambase",0.1,0.60608696937561,256,0.617283940315246,32,"rect"
"spambase",1,0.60608696937561,1024,0.617283940315246,32,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,32,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,32,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,32,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,32,"cone"
"spambase",1,0.60608696937561,256,0.617283940315246,32,"rect"
"spambase",0.01,0.60608696937561,1024,0.617283940315246,16,"cone"
"spambase",0.01,0.606087028980255,1024,0.617283940315246,16,"rect"
"spambase",0.01,0.60608696937561,512,0.617283940315246,16,"cone"
"spambase",0.01,0.60608696937561,512,0.617283940315246,16,"rect"
"spambase",0.01,0.60608696937561,256,0.617283940315246,16,"cone"
"spambase",0.01,0.60608696937561,256,0.617283940315246,16,"rect"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,16,"cone"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,16,"rect"
"spambase",0.1,0.60608696937561,512,0.617283940315246,16,"cone"
"spambase",0.1,0.60608696937561,512,0.617283940315246,16,"rect"
"spambase",0.1,0.60608696937561,256,0.617283940315246,16,"cone"
"spambase",0.1,0.60608696937561,256,0.617283940315246,16,"rect"
"spambase",1,0.60608696937561,1024,0.617283940315246,16,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,16,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,16,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,16,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,16,"cone"
"spambase",1,0.60608696937561,256,0.617283940315246,16,"rect"
"spambase",0.01,0.60608696937561,1024,0.617283940315246,8,"cone"
"spambase",0.01,0.60608696937561,256,0.617283940315246,8,"cone"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,8,"cone"
"spambase",0.1,0.60608696937561,1024,0.617283940315246,8,"rect"
"spambase",0.1,0.60608696937561,512,0.617283940315246,8,"cone"
"spambase",0.1,0.60608696937561,512,0.617283940315246,8,"rect"
"spambase",0.1,0.60608696937561,256,0.617283940315246,8,"cone"
"spambase",0.1,0.60608696937561,256,0.617283940315246,8,"rect"
"spambase",1,0.60608696937561,1024,0.617283940315246,8,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,8,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,8,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,8,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,8,"cone"
"spambase",1,0.60608696937561,256,0.617283940315246,8,"rect"
"spambase",0.1,0.60608696937561,256,0.617283940315246,4,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,4,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,4,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,4,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,4,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,4,"cone"
"spambase",1,0.60608696937561,256,0.617283940315246,4,"rect"
"spambase",0.1,0.60608696937561,256,0.617283940315246,3,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,3,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,3,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,3,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,3,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,3,"rect"
"spambase",1,0.60608696937561,1024,0.617283940315246,2,"cone"
"spambase",1,0.60608696937561,1024,0.617283940315246,2,"rect"
"spambase",1,0.60608696937561,512,0.617283940315246,2,"cone"
"spambase",1,0.60608696937561,512,0.617283940315246,2,"rect"
"spambase",1,0.60608696937561,256,0.617283940315246,2,"cone"
"spambase",1,0.60608696937561,256,0.617283940315246,2,"rect"
