"dataset","layerForm","nhidden","learningrate","testAccuracy","nlayers","valAccuracy"
"breast-tissue","rect",256,0.01,0.538461565971375,3,0.9875
"breast-tissue","rect",512,0.01,0.538461565971375,3,0.95
"breast-tissue","rect",256,0.01,0.500000059604645,4,0.9375
"breast-tissue","rect",256,0.01,0.576923131942749,2,0.9125
"breast-tissue","cone",512,0.1,0.692307770252228,2,0.8375
"breast-tissue","rect",1024,0.01,0.576923131942749,3,0.8125
"breast-tissue","cone",256,0.01,0.576923131942749,2,0.8125
"breast-tissue","cone",512,0.01,0.5,3,0.7875
"breast-tissue","rect",512,0.01,0.615384697914124,2,0.775
"breast-tissue","rect",1024,0.01,0.5,2,0.7625
"breast-tissue","cone",256,0.01,0.576923131942749,3,0.725
"breast-tissue","rect",256,0.1,0.5,2,0.7125
"breast-tissue","cone",1024,0.01,0.576923131942749,2,0.7125
"breast-tissue","cone",512,0.01,0.538461565971375,2,0.7
"breast-tissue","cone",1024,0.01,0.538461565971375,3,0.675
"breast-tissue","rect",1024,0.01,0.615384697914124,4,0.625
"breast-tissue","cone",256,0.1,0.730769276618958,2,0.625
"breast-tissue","cone",256,0.01,0.730769276618958,4,0.6125
"breast-tissue","rect",512,0.01,0.423076927661896,4,0.6
"breast-tissue","cone",1024,0.01,0.423076957464218,8,0.5875
"breast-tissue","cone",512,0.1,0.423076957464218,3,0.5625
"breast-tissue","cone",256,0.1,0.46153849363327,3,0.525
"breast-tissue","cone",512,0.01,0.5,4,0.5
"breast-tissue","rect",1024,0.1,0.46153849363327,2,0.4875
"breast-tissue","rect",512,0.1,0.46153849363327,2,0.3875
"breast-tissue","cone",1024,0.1,0.230769246816635,3,0.3625
"breast-tissue","cone",1024,0.1,0.346153855323792,2,0.3625
"breast-tissue","cone",1024,0.01,0.192307710647583,32,0.25
"breast-tissue","rect",1024,0.01,0.192307710647583,32,0.25
"breast-tissue","rect",512,0.01,0.192307710647583,32,0.25
"breast-tissue","cone",256,0.01,0.192307710647583,32,0.25
"breast-tissue","rect",256,0.01,0.192307710647583,32,0.25
"breast-tissue","cone",1024,0.1,0.192307710647583,32,0.25
"breast-tissue","cone",512,0.1,0.192307710647583,32,0.25
"breast-tissue","rect",512,0.1,0.269230782985687,32,0.25
"breast-tissue","cone",256,0.1,0.192307710647583,32,0.25
"breast-tissue","rect",256,0.1,0.192307710647583,32,0.25
"breast-tissue","cone",1024,1,0.192307710647583,32,0.25
"breast-tissue","rect",1024,1,0.192307710647583,32,0.25
"breast-tissue","cone",512,1,0.192307710647583,32,0.25
"breast-tissue","rect",512,1,0.192307710647583,32,0.25
"breast-tissue","cone",256,1,0.192307710647583,32,0.25
"breast-tissue","cone",1024,0.01,0.192307710647583,16,0.25
"breast-tissue","rect",1024,0.01,0.192307710647583,16,0.25
"breast-tissue","cone",512,0.01,0.192307710647583,16,0.25
"breast-tissue","rect",512,0.01,0.192307710647583,16,0.25
"breast-tissue","cone",256,0.01,0.192307710647583,16,0.25
"breast-tissue","rect",256,0.01,0.192307710647583,16,0.25
"breast-tissue","cone",512,0.1,0.192307710647583,16,0.25
"breast-tissue","rect",512,0.1,0.192307710647583,16,0.25
"breast-tissue","cone",256,0.1,0.192307710647583,16,0.25
"breast-tissue","rect",256,0.1,0.192307710647583,16,0.25
"breast-tissue","cone",1024,1,0.192307710647583,16,0.25
"breast-tissue","rect",1024,1,0.192307710647583,16,0.25
"breast-tissue","cone",512,1,0.192307710647583,16,0.25
"breast-tissue","rect",512,1,0.192307710647583,16,0.25
"breast-tissue","cone",256,1,0.192307710647583,16,0.25
"breast-tissue","rect",256,1,0.192307710647583,16,0.25
"breast-tissue","rect",1024,0.01,0.192307710647583,8,0.25
"breast-tissue","cone",512,0.01,0.192307710647583,8,0.25
"breast-tissue","rect",512,0.01,0.192307710647583,8,0.25
"breast-tissue","cone",256,0.01,0.192307710647583,8,0.25
"breast-tissue","rect",256,0.01,0.269230782985687,8,0.25
"breast-tissue","cone",1024,0.1,0.192307710647583,8,0.25
"breast-tissue","rect",1024,0.1,0.192307710647583,8,0.25
"breast-tissue","cone",512,0.1,0.192307710647583,8,0.25
"breast-tissue","rect",512,0.1,0.192307710647583,8,0.25
"breast-tissue","cone",256,0.1,0.192307710647583,8,0.25
"breast-tissue","rect",256,0.1,0.192307710647583,8,0.25
"breast-tissue","rect",1024,1,0.192307710647583,8,0.25
"breast-tissue","cone",512,1,0.192307710647583,8,0.25
"breast-tissue","rect",512,1,0.192307710647583,8,0.25
"breast-tissue","rect",256,1,0.192307710647583,8,0.25
"breast-tissue","cone",1024,0.01,0.115384623408318,4,0.25
"breast-tissue","cone",1024,0.1,0.192307710647583,4,0.25
"breast-tissue","rect",1024,0.1,0.115384623408318,4,0.25
"breast-tissue","cone",512,0.1,0.115384623408318,4,0.25
"breast-tissue","rect",512,0.1,0.269230782985687,4,0.25
"breast-tissue","cone",256,0.1,0.192307710647583,4,0.25
"breast-tissue","rect",256,0.1,0.192307710647583,4,0.25
"breast-tissue","cone",1024,1,0.192307710647583,4,0.25
"breast-tissue","cone",512,1,0.192307710647583,4,0.25
"breast-tissue","cone",256,1,0.192307710647583,4,0.25
"breast-tissue","rect",256,1,0.192307710647583,4,0.25
"breast-tissue","rect",1024,0.1,0.115384623408318,3,0.25
"breast-tissue","rect",512,0.1,0.192307710647583,3,0.25
"breast-tissue","rect",256,0.1,0.192307710647583,3,0.25
"breast-tissue","rect",1024,1,0.192307710647583,3,0.25
"breast-tissue","cone",512,1,0.192307710647583,3,0.25
"breast-tissue","rect",512,1,0.192307710647583,3,0.25
"breast-tissue","cone",256,1,0.192307710647583,3,0.25
"breast-tissue","rect",256,1,0.192307710647583,3,0.25
"breast-tissue","cone",1024,1,0.192307710647583,2,0.25
"breast-tissue","rect",1024,1,0.192307710647583,2,0.25
"breast-tissue","cone",512,1,0.192307710647583,2,0.25
"breast-tissue","cone",256,1,0.192307710647583,2,0.25
"breast-tissue","rect",256,1,0.192307710647583,2,0.25
"breast-tissue","cone",1024,1,0.192307710647583,8,0.225
"breast-tissue","cone",1024,1,0.15384615957737,3,0.225
"breast-tissue","rect",256,1,0.15384615957737,32,0.2
"breast-tissue","cone",256,1,0.192307710647583,8,0.175
"breast-tissue","rect",1024,1,0.15384615957737,4,0.175
"breast-tissue","rect",1024,0.1,0.269230782985687,32,0.1625
"breast-tissue","rect",512,1,0.15384615957737,4,0.15
"breast-tissue","rect",512,1,0.15384615957737,2,0.125
"breast-tissue","cone",512,0.01,0.15384615957737,32,0
