"dataset","testAccuracy","nlayers","valAccuracy","learningrate","layerForm","nhidden"
"statlog-vehicle",0.800947844982147,3,0.806944447755814,0.01,"cone",1024
"statlog-vehicle",0.834123253822327,3,0.80694442987442,0.01,"rect",1024
"statlog-vehicle",0.781990468502045,3,0.805555534362793,0.01,"rect",512
"statlog-vehicle",0.78672993183136,2,0.798611110448837,0.01,"cone",512
"statlog-vehicle",0.819905161857605,2,0.798611104488373,0.01,"cone",256
"statlog-vehicle",0.758293807506561,2,0.791666650772095,0.1,"rect",256
"statlog-vehicle",0.777251243591309,2,0.788888895511627,0.1,"rect",512
"statlog-vehicle",0.834123253822327,4,0.786111122369766,0.01,"rect",512
"statlog-vehicle",0.763033211231232,3,0.783333331346512,0.01,"rect",256
"statlog-vehicle",0.800947904586792,2,0.781944441795349,0.01,"rect",256
"statlog-vehicle",0.777251243591309,2,0.780555576086044,0.01,"rect",512
"statlog-vehicle",0.748815178871155,4,0.779166668653488,0.01,"rect",1024
"statlog-vehicle",0.777251183986664,4,0.777777779102325,0.01,"rect",256
"statlog-vehicle",0.758293867111206,3,0.770833325386048,0.1,"cone",256
"statlog-vehicle",0.753554582595825,2,0.759722220897675,0.01,"rect",1024
"statlog-vehicle",0.815165877342224,2,0.752777779102326,0.01,"cone",1024
"statlog-vehicle",0.720379173755646,2,0.749999988079071,0.1,"rect",1024
"statlog-vehicle",0.75355452299118,3,0.745833343267441,0.01,"cone",512
"statlog-vehicle",0.74881511926651,4,0.743055552244186,0.01,"cone",1024
"statlog-vehicle",0.744075894355774,2,0.733333343267441,0.1,"cone",512
"statlog-vehicle",0.78672993183136,2,0.729166668653488,0.1,"cone",256
"statlog-vehicle",0.767772555351257,4,0.716666662693024,0.1,"cone",256
"statlog-vehicle",0.805687129497528,3,0.715277773141861,0.01,"cone",256
"statlog-vehicle",0.758293867111206,2,0.709722250699997,0.1,"cone",1024
"statlog-vehicle",0.720379173755646,8,0.691666680574417,0.01,"cone",1024
"statlog-vehicle",0.739336490631104,8,0.676388913393021,0.01,"rect",1024
"statlog-vehicle",0.6398104429245,8,0.675000047683716,0.01,"rect",256
"statlog-vehicle",0.696682453155518,8,0.645833349227905,0.01,"rect",512
"statlog-vehicle",0.483412355184555,8,0.566666686534882,0.01,"cone",512
"statlog-vehicle",0.592417120933533,3,0.538888901472092,0.1,"rect",512
"statlog-vehicle",0.473933666944504,4,0.456944453716278,0.01,"cone",256
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.01,"rect",1024
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.01,"rect",512
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.01,"rect",256
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.1,"rect",1024
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.1,"cone",512
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.1,"rect",512
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.1,"cone",256
"statlog-vehicle",0.260663509368896,32,0.319444447755814,0.1,"rect",256
"statlog-vehicle",0.260663509368896,32,0.319444447755814,1,"cone",1024
"statlog-vehicle",0.260663509368896,32,0.319444447755814,1,"rect",1024
"statlog-vehicle",0.260663509368896,32,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,32,0.319444447755814,1,"cone",256
"statlog-vehicle",0.260663509368896,32,0.319444447755814,1,"rect",256
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.01,"rect",1024
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.01,"cone",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.01,"rect",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.01,"cone",256
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.01,"rect",256
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"cone",1024
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"rect",1024
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"cone",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"rect",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"cone",256
"statlog-vehicle",0.260663509368896,16,0.319444447755814,0.1,"rect",256
"statlog-vehicle",0.260663509368896,16,0.319444447755814,1,"cone",1024
"statlog-vehicle",0.260663509368896,16,0.319444447755814,1,"rect",1024
"statlog-vehicle",0.260663509368896,16,0.319444447755814,1,"cone",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,16,0.319444447755814,1,"rect",256
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.01,"cone",256
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.1,"cone",1024
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.1,"rect",1024
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.1,"rect",512
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.1,"cone",256
"statlog-vehicle",0.260663509368896,8,0.319444447755814,0.1,"rect",256
"statlog-vehicle",0.260663509368896,8,0.319444447755814,1,"cone",1024
"statlog-vehicle",0.260663509368896,8,0.319444447755814,1,"cone",512
"statlog-vehicle",0.260663509368896,8,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,8,0.319444447755814,1,"rect",256
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.01,"cone",512
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.1,"cone",1024
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.1,"rect",1024
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.1,"cone",512
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.1,"rect",512
"statlog-vehicle",0.260663509368896,4,0.319444447755814,0.1,"rect",256
"statlog-vehicle",0.260663509368896,4,0.319444447755814,1,"cone",1024
"statlog-vehicle",0.260663509368896,4,0.319444447755814,1,"rect",1024
"statlog-vehicle",0.260663509368896,4,0.319444447755814,1,"cone",512
"statlog-vehicle",0.260663509368896,4,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,4,0.319444447755814,1,"rect",256
"statlog-vehicle",0.260663509368896,3,0.319444447755814,0.1,"rect",1024
"statlog-vehicle",0.260663509368896,3,0.319444447755814,1,"rect",1024
"statlog-vehicle",0.260663509368896,3,0.319444447755814,1,"cone",512
"statlog-vehicle",0.260663509368896,3,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,3,0.319444447755814,1,"cone",256
"statlog-vehicle",0.260663509368896,2,0.319444447755814,1,"cone",1024
"statlog-vehicle",0.260663509368896,2,0.319444447755814,1,"rect",1024
"statlog-vehicle",0.260663509368896,2,0.319444447755814,1,"cone",512
"statlog-vehicle",0.260663509368896,2,0.319444447755814,1,"rect",512
"statlog-vehicle",0.260663509368896,2,0.319444447755814,1,"cone",256
"statlog-vehicle",0.251184850931168,16,0.305555582046509,0.01,"cone",1024
"statlog-vehicle",0.260663509368896,16,0.287500007450581,1,"cone",256
"statlog-vehicle",0.379146933555603,3,0.279166668653488,0.1,"cone",512
"statlog-vehicle",0.255924165248871,8,0.27083333581686,1,"rect",1024
"statlog-vehicle",0.3744076192379,3,0.262500014901161,0.1,"cone",1024
"statlog-vehicle",0.260663509368896,3,0.254166670143604,1,"rect",256
"statlog-vehicle",0.255924165248871,4,0.251388891041279,1,"cone",256
