"dataset","nlayers","layerForm","valAccuracy","testAccuracy","nhidden","learningrate"
"page-blocks",4,"cone",0.970602959394455,0.972953140735626,1024,0.1
"page-blocks",2,"rect",0.970351707935333,0.972222149372101,1024,0.01
"page-blocks",3,"cone",0.968592900037766,0.968567132949829,1024,0.01
"page-blocks",3,"cone",0.967839163541794,0.965643167495728,512,0.01
"page-blocks",3,"cone",0.966080355644226,0.97002911567688,1024,0.1
"page-blocks",2,"rect",0.966080349683762,0.96052622795105,512,0.01
"page-blocks",2,"cone",0.965577846765518,0.970029234886169,512,0.01
"page-blocks",4,"cone",0.965326571464539,0.966374158859253,512,0.1
"page-blocks",2,"cone",0.965075314044952,0.967105150222778,256,0.1
"page-blocks",2,"cone",0.96407031416893,0.966374158859253,512,0.1
"page-blocks",2,"cone",0.963065260648727,0.964181184768677,1024,0.01
"page-blocks",2,"rect",0.962814044952393,0.967105150222778,512,0.1
"page-blocks",4,"cone",0.962814021110535,0.969298183917999,512,0.01
"page-blocks",2,"cone",0.962562763690949,0.970760107040405,1024,0.1
"page-blocks",3,"cone",0.961557745933533,0.959064245223999,512,0.1
"page-blocks",2,"cone",0.961557734012604,0.967105150222778,256,0.01
"page-blocks",3,"cone",0.961557734012604,0.968567192554474,256,0.01
"page-blocks",2,"rect",0.960803961753845,0.969298303127289,1024,0.1
"page-blocks",2,"rect",0.960552704334259,0.961257219314575,256,0.1
"page-blocks",3,"rect",0.960301488637924,0.964912176132202,1024,0.1
"page-blocks",3,"rect",0.959296429157257,0.964912176132202,256,0.1
"page-blocks",8,"rect",0.959045141935349,0.957602262496948,1024,0.01
"page-blocks",4,"cone",0.958793926239014,0.961988210678101,1024,0.01
"page-blocks",2,"rect",0.958793914318085,0.973684132099152,256,0.01
"page-blocks",4,"rect",0.958542704582214,0.968567132949829,1024,0.01
"page-blocks",4,"cone",0.958542656898499,0.961988210678101,256,0.01
"page-blocks",4,"rect",0.958040153980255,0.961257219314575,256,0.01
"page-blocks",3,"rect",0.957788872718811,0.959795236587524,512,0.1
"page-blocks",3,"rect",0.957286381721497,0.967105269432068,256,0.01
"page-blocks",3,"rect",0.955025058984757,0.965643167495728,1024,0.01
"page-blocks",3,"rect",0.952763772010803,0.953216314315796,512,0.01
"page-blocks",4,"rect",0.951758766174317,0.967836141586304,512,0.01
"page-blocks",8,"cone",0.950753748416901,0.947368383407593,256,0.01
"page-blocks",8,"rect",0.948241180181503,0.953947305679321,256,0.01
"page-blocks",8,"rect",0.9419597864151,0.947368383407593,512,0.01
"page-blocks",4,"rect",0.931407016515732,0.93201756477356,512,0.1
"page-blocks",8,"cone",0.914070326089859,0.929824590682983,512,0.01
"page-blocks",16,"rect",0.904522633552551,0.898391842842102,512,0.1
"page-blocks",16,"rect",0.904522633552551,0.898391842842102,512,1
"page-blocks",16,"rect",0.904522627592087,0.898391783237457,1024,1
"page-blocks",32,"rect",0.904522627592087,0.898391783237457,512,1
"page-blocks",8,"cone",0.904522627592087,0.898391842842102,256,0.1
"page-blocks",8,"cone",0.904522627592087,0.898391842842102,256,1
"page-blocks",3,"cone",0.904522627592087,0.898391842842102,1024,1
"page-blocks",32,"cone",0.904522621631622,0.898391842842102,512,0.1
"page-blocks",16,"rect",0.904522621631622,0.898391842842102,256,0.01
"page-blocks",16,"cone",0.904522621631622,0.898391783237457,256,1
"page-blocks",4,"rect",0.904522621631622,0.898391783237457,1024,0.1
"page-blocks",32,"rect",0.904522615671158,0.898391842842102,1024,1
"page-blocks",16,"cone",0.904522615671158,0.898391842842102,256,0.1
"page-blocks",16,"rect",0.904522615671158,0.898391842842102,256,1
"page-blocks",8,"cone",0.904522615671158,0.898391842842102,1024,0.01
"page-blocks",2,"rect",0.904522615671158,0.898391842842102,1024,1
"page-blocks",4,"cone",0.904522609710694,0.898391842842102,1024,1
"page-blocks",16,"cone",0.904522609710693,0.898391783237457,1024,0.1
"page-blocks",3,"cone",0.904522609710693,0.898391783237457,256,0.1
"page-blocks",32,"cone",0.904522609710693,0.898391842842102,1024,0.01
"page-blocks",32,"cone",0.904522609710693,0.898391842842102,512,0.01
"page-blocks",32,"cone",0.904522609710693,0.898391783237457,1024,0.1
"page-blocks",32,"cone",0.904522609710693,0.898391842842102,256,0.1
"page-blocks",32,"rect",0.904522609710693,0.898391783237457,256,1
"page-blocks",16,"cone",0.904522609710693,0.898391842842102,1024,0.01
"page-blocks",16,"cone",0.904522609710693,0.898391842842102,512,0.01
"page-blocks",16,"rect",0.904522609710693,0.898391842842102,512,0.01
"page-blocks",16,"cone",0.904522609710693,0.898391842842102,256,0.01
"page-blocks",16,"rect",0.904522609710693,0.898391842842102,256,0.1
"page-blocks",16,"cone",0.904522609710693,0.898391842842102,512,1
"page-blocks",3,"rect",0.904522609710693,0.898391842842102,1024,1
"page-blocks",3,"rect",0.904522609710693,0.898391842842102,512,1
"page-blocks",3,"rect",0.904522609710693,0.898391783237457,256,1
"page-blocks",8,"rect",0.904522603750229,0.898391783237457,1024,0.1
"page-blocks",8,"cone",0.904522603750229,0.898391842842102,1024,1
