"dataset","nhidden","layerForm","learningrate","valAccuracy","nlayers","testAccuracy"
"lung-cancer",512,"rect",0.1,0,3,0.25
"lung-cancer",256,"rect",0.1,0,3,0.25
"lung-cancer",512,"cone",1,0,3,0.25
"lung-cancer",512,"rect",1,0,3,0.25
"lung-cancer",256,"cone",1,0,3,0.25
"lung-cancer",256,"rect",1,0,3,0.25
"lung-cancer",1024,"rect",0.1,0,2,0.25
"lung-cancer",512,"rect",0.1,0,2,0.25
"lung-cancer",1024,"cone",1,0,2,0.25
"lung-cancer",1024,"rect",1,0,2,0.25
"lung-cancer",512,"cone",1,0,2,0.25
"lung-cancer",256,"rect",1,0,2,0.25
