"dataset","nhidden","testAccuracy","layerForm","learningrate","nlayers","valAccuracy"
"libras",256,0.800000071525574,"cone",0.01,3,0.836666721105576
"libras",512,0.844444453716278,"rect",0.01,2,0.820000058412552
"libras",1024,0.855555534362793,"rect",0.01,3,0.816666716337204
"libras",1024,0.833333373069763,"rect",0.01,2,0.803333401679993
"libras",512,0.800000011920929,"rect",0.01,4,0.796666741371155
"libras",1024,0.877777814865112,"rect",0.01,8,0.793333411216736
"libras",1024,0.855555534362793,"rect",0.01,4,0.776666760444641
"libras",512,0.788888931274414,"cone",0.01,3,0.773333412408829
"libras",256,0.822222232818604,"cone",0.01,4,0.763333421945572
"libras",1024,0.800000071525574,"rect",0.1,2,0.763333421945572
"libras",512,0.822222232818604,"rect",0.01,3,0.756666713953018
"libras",512,0.833333373069763,"cone",0.01,8,0.746666747331619
"libras",256,0.800000071525574,"rect",0.01,4,0.743333411216736
"libras",512,0.844444513320923,"cone",0.01,2,0.743333393335343
"libras",256,0.811111152172089,"rect",0.01,2,0.74333336353302
"libras",512,0.76666671037674,"rect",0.1,2,0.73666672706604
"libras",256,0.788888931274414,"rect",0.01,3,0.730000025033951
"libras",256,0.811111092567444,"cone",0.01,2,0.7233334004879
"libras",1024,0.788888931274414,"cone",0.01,2,0.720000058412552
"libras",256,0.733333349227905,"rect",0.1,3,0.706666737794876
"libras",1024,0.777777850627899,"cone",0.01,3,0.706666731834412
"libras",1024,0.766666650772095,"cone",0.1,3,0.706666707992554
"libras",512,0.788888931274414,"cone",0.01,4,0.703333395719528
"libras",1024,0.788888931274414,"cone",0.01,4,0.676666712760925
"libras",512,0.766666769981384,"cone",0.1,2,0.673333388566971
"libras",256,0.666666686534882,"cone",0.1,3,0.650000062584877
"libras",512,0.733333349227905,"rect",0.1,3,0.643333387374878
"libras",512,0.766666769981384,"cone",0.1,3,0.636666709184647
"libras",256,0.800000071525574,"cone",0.1,2,0.633333390951157
"libras",1024,0.766666769981384,"cone",0.01,8,0.623333388566971
"libras",1024,0.788888931274414,"cone",0.1,2,0.623333382606506
"libras",256,0.611111164093018,"cone",0.01,8,0.596666705608368
"libras",256,0.644444465637207,"cone",0.1,4,0.566666701436043
