"dataset","learningrate","layerForm","nlayers","testAccuracy","valAccuracy","nhidden"
"breast-cancer",0.01,"rect",2,0.619718253612518,0.791666698455811,1024
"breast-cancer",0.01,"cone",2,0.661971747875214,0.78333335518837,512
"breast-cancer",0.01,"cone",3,0.760563373565674,0.75833335518837,512
"breast-cancer",0.01,"rect",2,0.563380241394043,0.754166692495346,512
"breast-cancer",0.1,"cone",2,0.704225361347198,0.745833361148834,512
"breast-cancer",0.1,"cone",4,0.746478855609894,0.729166692495346,512
"breast-cancer",0.01,"rect",8,0.746478855609894,0.720833361148834,512
"breast-cancer",0.01,"rect",4,0.647887349128723,0.720833361148834,256
"breast-cancer",0.01,"rect",32,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.01,"cone",32,0.704225301742554,0.708333373069763,512
"breast-cancer",0.01,"rect",32,0.704225301742554,0.708333373069763,512
"breast-cancer",0.01,"cone",32,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"rect",32,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"cone",32,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",32,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"cone",32,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"rect",32,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",32,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",32,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",32,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",32,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",32,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",32,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",32,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",32,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"cone",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.01,"rect",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.01,"cone",16,0.704225301742554,0.708333373069763,512
"breast-cancer",0.01,"rect",16,0.704225301742554,0.708333373069763,512
"breast-cancer",0.01,"cone",16,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"rect",16,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"cone",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"cone",16,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"rect",16,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",16,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",16,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",16,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",16,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",16,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",16,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",16,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"cone",8,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.01,"cone",8,0.704225301742554,0.708333373069763,512
"breast-cancer",0.01,"cone",8,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"rect",8,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"cone",8,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",8,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"cone",8,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"rect",8,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",8,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",8,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",8,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",8,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",8,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",8,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",8,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",8,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"cone",4,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.01,"cone",4,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",4,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",4,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",4,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",4,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",4,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",4,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",4,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",4,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",4,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",4,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",4,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"cone",3,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",3,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"rect",3,0.704225301742554,0.708333373069763,512
"breast-cancer",0.1,"cone",3,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",3,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",3,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",3,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",3,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",3,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",3,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"cone",2,0.704225301742554,0.708333373069763,1024
"breast-cancer",0.1,"cone",2,0.704225301742554,0.708333373069763,256
"breast-cancer",0.1,"rect",2,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"cone",2,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"rect",2,0.704225301742554,0.708333373069763,1024
"breast-cancer",1,"cone",2,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"rect",2,0.704225301742554,0.708333373069763,512
"breast-cancer",1,"cone",2,0.704225301742554,0.708333373069763,256
"breast-cancer",1,"rect",2,0.704225301742554,0.708333373069763,256
"breast-cancer",0.01,"rect",8,0.704225301742554,0.704166704416275,1024
"breast-cancer",0.1,"rect",3,0.704225301742554,0.704166704416275,256
