"dataset","layerForm","nlayers","testAccuracy","learningrate","nhidden","valAccuracy"
"parkinsons","rect",4,0.816326498985291,0.01,512,1
"parkinsons","rect",3,0.897959113121033,0.01,256,0.986666679382324
"parkinsons","rect",2,0.918367266654968,0.1,256,0.980000013113022
"parkinsons","cone",3,0.775510191917419,0.01,1024,0.893333399295807
"parkinsons","rect",3,0.857142806053162,0.01,1024,0.893333399295807
"parkinsons","rect",3,0.877550959587097,0.01,512,0.893333399295807
"parkinsons","rect",4,0.938775420188904,0.01,256,0.893333399295807
"parkinsons","rect",8,0.897959113121033,0.01,1024,0.886666733026504
"parkinsons","cone",3,0.836734652519226,0.1,512,0.880000066757202
"parkinsons","cone",3,0.857142806053162,0.01,256,0.8733334004879
"parkinsons","cone",2,0.877550959587097,0.01,1024,0.853333401679993
"parkinsons","rect",3,0.897959113121033,0.1,512,0.84666673541069
"parkinsons","rect",2,0.918367266654968,0.01,512,0.840000069141388
"parkinsons","cone",2,0.918367266654968,0.1,1024,0.833333402872086
"parkinsons","rect",2,0.836734652519226,0.1,1024,0.826666736602783
"parkinsons","cone",3,0.795918345451355,0.1,1024,0.813333404064179
"parkinsons","rect",2,0.877550959587097,0.01,1024,0.806666737794876
"parkinsons","cone",2,0.877550959587097,0.1,256,0.806666737794876
"parkinsons","cone",4,0.816326498985291,0.1,1024,0.800000071525574
"parkinsons","rect",2,0.938775420188904,0.01,256,0.800000071525574
"parkinsons","cone",2,0.897959113121033,0.01,512,0.786666738986969
"parkinsons","cone",2,0.857142806053162,0.01,256,0.786666738986969
"parkinsons","rect",4,0.673469364643097,0.01,1024,0.773333406448364
"parkinsons","rect",2,0.897959113121033,0.1,512,0.753333401679993
"parkinsons","cone",3,0.795918345451355,0.1,256,0.740000075101853
"parkinsons","cone",32,0.755102038383484,0.01,1024,0.73333340883255
"parkinsons","cone",32,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","cone",32,0.755102038383484,0.01,256,0.73333340883255
"parkinsons","cone",32,0.755102038383484,0.1,1024,0.73333340883255
"parkinsons","cone",32,0.755102038383484,0.1,512,0.73333340883255
"parkinsons","cone",32,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","cone",32,0.755102038383484,1,1024,0.73333340883255
"parkinsons","cone",32,0.755102038383484,1,512,0.73333340883255
"parkinsons","cone",16,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","cone",16,0.755102038383484,0.01,256,0.73333340883255
"parkinsons","rect",16,0.755102038383484,0.01,256,0.73333340883255
