"dataset","layerForm","nlayers","testAccuracy","learningrate","nhidden","valAccuracy"
"parkinsons","cone",16,0.755102038383484,0.1,1024,0.73333340883255
"parkinsons","cone",16,0.755102038383484,0.1,512,0.73333340883255
"parkinsons","rect",16,0.755102038383484,0.1,512,0.73333340883255
"parkinsons","cone",16,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","cone",16,0.755102038383484,1,1024,0.73333340883255
"parkinsons","cone",16,0.755102038383484,1,512,0.73333340883255
"parkinsons","cone",8,0.755102038383484,0.01,1024,0.73333340883255
"parkinsons","cone",8,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","rect",8,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","cone",8,0.755102038383484,0.01,256,0.73333340883255
"parkinsons","cone",8,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","rect",8,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","cone",8,0.755102038383484,1,1024,0.73333340883255
"parkinsons","cone",8,0.755102038383484,1,256,0.73333340883255
"parkinsons","cone",4,0.755102038383484,0.01,1024,0.73333340883255
"parkinsons","cone",4,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","cone",4,0.755102038383484,0.01,256,0.73333340883255
"parkinsons","cone",4,0.755102038383484,0.1,512,0.73333340883255
"parkinsons","cone",4,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","rect",4,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","rect",4,0.755102038383484,1,1024,0.73333340883255
"parkinsons","cone",4,0.755102038383484,1,256,0.73333340883255
"parkinsons","cone",3,0.755102038383484,0.01,512,0.73333340883255
"parkinsons","rect",3,0.755102038383484,0.1,256,0.73333340883255
"parkinsons","cone",3,0.755102038383484,1,256,0.73333340883255
"parkinsons","cone",2,0.755102038383484,1,1024,0.73333340883255
"parkinsons","rect",2,0.755102038383484,1,1024,0.73333340883255
"parkinsons","rect",2,0.755102038383484,1,512,0.73333340883255
"parkinsons","cone",2,0.836734652519226,0.1,512,0.700000077486038
"parkinsons","rect",3,0.244897961616516,0.1,1024,0.31333335340023
"parkinsons","rect",2,0.244897961616516,1,256,0.31333335340023
"parkinsons","rect",32,0.244897961616516,0.01,1024,0.266666680574417
"parkinsons","rect",32,0.244897961616516,0.01,512,0.266666680574417
"parkinsons","rect",32,0.244897961616516,0.01,256,0.266666680574417
"parkinsons","rect",32,0.244897961616516,0.1,1024,0.266666680574417
"parkinsons","rect",32,0.244897961616516,0.1,512,0.266666680574417
"parkinsons","rect",32,0.244897961616516,0.1,256,0.266666680574417
"parkinsons","rect",32,0.244897961616516,1,1024,0.266666680574417
"parkinsons","rect",32,0.244897961616516,1,512,0.266666680574417
"parkinsons","cone",32,0.244897961616516,1,256,0.266666680574417
"parkinsons","rect",32,0.244897961616516,1,256,0.266666680574417
"parkinsons","cone",16,0.244897961616516,0.01,1024,0.266666680574417
"parkinsons","rect",16,0.244897961616516,0.01,1024,0.266666680574417
"parkinsons","rect",16,0.244897961616516,0.01,512,0.266666680574417
"parkinsons","rect",16,0.244897961616516,0.1,1024,0.266666680574417
"parkinsons","rect",16,0.244897961616516,0.1,256,0.266666680574417
"parkinsons","rect",16,0.244897961616516,1,1024,0.266666680574417
"parkinsons","rect",16,0.244897961616516,1,512,0.266666680574417
"parkinsons","cone",16,0.244897961616516,1,256,0.266666680574417
"parkinsons","rect",16,0.244897961616516,1,256,0.266666680574417
"parkinsons","rect",8,0.244897961616516,0.01,256,0.266666680574417
"parkinsons","cone",8,0.244897961616516,0.1,1024,0.266666680574417
"parkinsons","rect",8,0.244897961616516,0.1,1024,0.266666680574417
"parkinsons","cone",8,0.244897961616516,0.1,512,0.266666680574417
"parkinsons","rect",8,0.244897961616516,0.1,512,0.266666680574417
"parkinsons","rect",8,0.244897961616516,1,1024,0.266666680574417
"parkinsons","cone",8,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",8,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",8,0.244897961616516,1,256,0.266666680574417
"parkinsons","rect",4,0.244897961616516,0.1,1024,0.266666680574417
"parkinsons","rect",4,0.244897961616516,0.1,512,0.266666680574417
"parkinsons","cone",4,0.244897961616516,1,1024,0.266666680574417
"parkinsons","cone",4,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",4,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",4,0.244897961616516,1,256,0.266666680574417
"parkinsons","cone",3,0.244897961616516,1,1024,0.266666680574417
"parkinsons","rect",3,0.244897961616516,1,1024,0.266666680574417
"parkinsons","cone",3,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",3,0.244897961616516,1,512,0.266666680574417
"parkinsons","rect",3,0.244897961616516,1,256,0.266666680574417
"parkinsons","cone",2,0.244897961616516,1,512,0.266666680574417
"parkinsons","cone",2,0.244897961616516,1,256,0.266666680574417
