"dataset","layerForm","testAccuracy","nhidden","valAccuracy","nlayers","learningrate"
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,8,1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,8,1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,4,0.01
"ionosphere","cone",0.647727251052856,1024,0.733333349227905,4,0.1
"ionosphere","rect",0.647727251052856,1024,0.733333349227905,4,0.1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,4,0.1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,4,0.1
"ionosphere","rect",0.647727251052856,256,0.733333349227905,4,0.1
"ionosphere","rect",0.647727251052856,1024,0.733333349227905,4,1
"ionosphere","rect",0.647727251052856,512,0.733333349227905,4,1
"ionosphere","cone",0.647727251052856,512,0.733333349227905,3,0.1
"ionosphere","cone",0.647727251052856,256,0.733333349227905,3,1
"ionosphere","rect",0.352272748947144,512,0.313333347439766,2,1
"ionosphere","rect",0.352272748947144,256,0.306666687130928,2,1
"ionosphere","cone",0.352272748947144,1024,0.276666682958603,2,1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,32,0.01
"ionosphere","rect",0.352272748947144,512,0.266666680574417,32,0.01
"ionosphere","rect",0.352272748947144,256,0.266666680574417,32,0.01
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,32,0.1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,32,0.1
"ionosphere","cone",0.352272748947144,256,0.266666680574417,32,0.1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,32,0.1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,32,1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,32,1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,32,1
"ionosphere","cone",0.352272748947144,1024,0.266666680574417,16,0.01
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,16,0.01
"ionosphere","cone",0.352272748947144,512,0.266666680574417,16,0.01
"ionosphere","rect",0.352272748947144,512,0.266666680574417,16,0.01
"ionosphere","rect",0.352272748947144,256,0.266666680574417,16,0.01
"ionosphere","cone",0.352272748947144,1024,0.266666680574417,16,0.1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,16,0.1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,16,0.1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,16,0.1
"ionosphere","cone",0.352272748947144,256,0.266666680574417,16,0.1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,16,0.1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,16,1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,16,1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,16,1
"ionosphere","cone",0.352272748947144,1024,0.266666680574417,8,0.1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,8,0.1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,8,0.1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,8,0.1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,8,0.1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,8,1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,8,1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,8,1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,8,1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,4,0.1
"ionosphere","cone",0.352272748947144,1024,0.266666680574417,4,1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,4,1
"ionosphere","cone",0.352272748947144,256,0.266666680574417,4,1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,4,1
"ionosphere","cone",0.352272748947144,1024,0.266666680574417,3,1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,3,1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,3,1
"ionosphere","rect",0.352272748947144,512,0.266666680574417,3,1
"ionosphere","rect",0.352272748947144,256,0.266666680574417,3,1
"ionosphere","rect",0.352272748947144,1024,0.266666680574417,2,1
"ionosphere","cone",0.352272748947144,512,0.266666680574417,2,1
"ionosphere","cone",0.352272748947144,256,0.266666680574417,2,1
