"dataset","learningrate","layerForm","nlayers","testAccuracy","valAccuracy","nhidden"
"pittsburg-bridges-SPAN",0.01,"rect",8,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.01,"rect",8,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.01,"cone",8,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.1,"cone",8,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.1,"rect",8,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",0.1,"cone",8,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.1,"rect",8,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.1,"rect",8,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"cone",8,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"rect",8,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"cone",8,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"rect",8,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"cone",8,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"rect",8,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.01,"cone",4,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.1,"cone",4,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",0.1,"rect",4,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"cone",4,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"cone",4,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"rect",4,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"cone",4,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"rect",4,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"cone",3,0.217391312122345,0.25,1024
"pittsburg-bridges-SPAN",1,"cone",3,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"rect",3,0.217391312122345,0.25,512
"pittsburg-bridges-SPAN",1,"cone",2,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",1,"rect",2,0.217391312122345,0.25,256
"pittsburg-bridges-SPAN",0.01,"cone",32,0.217391312122345,0.125,512
"pittsburg-bridges-SPAN",0.01,"rect",8,0.217391312122345,0.125,256
"pittsburg-bridges-SPAN",0.01,"cone",3,0.217391312122345,0.125,256
