"dataset","layerForm","nlayers","learningrate","valAccuracy","testAccuracy","nhidden"
"contrac","cone",32,0.1,0.40350878238678,0.429347842931747,1024
"contrac","rect",32,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",32,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",32,0.1,0.40350878238678,0.42934787273407,512
"contrac","cone",32,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",32,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",32,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",32,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",32,1,0.40350878238678,0.429347842931747,512
"contrac","rect",32,1,0.40350878238678,0.429347842931747,512
"contrac","cone",32,1,0.40350878238678,0.429347842931747,256
"contrac","rect",32,1,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.01,0.40350878238678,0.429347842931747,1024
"contrac","rect",16,0.01,0.40350878238678,0.429347842931747,512
"contrac","cone",16,0.01,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.01,0.40350878238678,0.42934787273407,256
"contrac","cone",16,0.1,0.40350878238678,0.429347842931747,1024
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",16,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",16,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",16,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",16,1,0.40350878238678,0.42934787273407,1024
"contrac","rect",16,1,0.40350878238678,0.429347842931747,1024
"contrac","cone",16,1,0.40350878238678,0.42934787273407,512
"contrac","rect",16,1,0.40350878238678,0.429347842931747,512
"contrac","cone",16,1,0.40350878238678,0.429347842931747,256
"contrac","rect",16,1,0.40350878238678,0.429347842931747,256
"contrac","cone",8,0.01,0.40350878238678,0.429347842931747,1024
"contrac","cone",8,0.01,0.40350878238678,0.42934787273407,512
"contrac","cone",8,0.01,0.40350878238678,0.429347842931747,256
"contrac","cone",8,0.1,0.40350878238678,0.42934787273407,1024
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",8,0.1,0.40350878238678,0.429347842931747,512
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",8,0.1,0.40350878238678,0.42934787273407,256
"contrac","rect",8,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",8,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",8,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",8,1,0.40350878238678,0.429347842931747,512
"contrac","rect",8,1,0.40350878238678,0.42934787273407,512
"contrac","cone",8,1,0.40350878238678,0.429347842931747,256
"contrac","rect",8,1,0.40350878238678,0.429347842931747,256
"contrac","cone",4,0.1,0.40350878238678,0.42934787273407,1024
"contrac","rect",4,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",4,0.1,0.40350878238678,0.42934787273407,512
"contrac","cone",4,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",4,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",4,1,0.40350878238678,0.429347842931747,512
"contrac","rect",4,1,0.40350878238678,0.429347842931747,512
"contrac","cone",4,1,0.40350878238678,0.429347842931747,256
"contrac","rect",4,1,0.40350878238678,0.429347842931747,256
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,1024
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,512
"contrac","cone",3,0.1,0.40350878238678,0.429347842931747,256
"contrac","cone",3,1,0.40350878238678,0.429347842931747,1024
"contrac","rect",3,1,0.40350878238678,0.429347842931747,1024
"contrac","cone",3,1,0.40350878238678,0.42934787273407,512
"contrac","rect",3,1,0.40350878238678,0.429347842931747,512
"contrac","cone",3,1,0.40350878238678,0.429347842931747,256
"contrac","rect",3,1,0.40350878238678,0.42934787273407,256
"contrac","cone",2,1,0.40350878238678,0.42934787273407,1024
"contrac","rect",2,1,0.40350878238678,0.42934787273407,1024
"contrac","cone",2,1,0.40350878238678,0.429347842931747,512
"contrac","rect",2,1,0.40350878238678,0.42934787273407,512
"contrac","rect",2,1,0.40350878238678,0.42934787273407,256
"contrac","rect",4,0.1,0.400000002980232,0.41847825050354,512
"contrac","rect",4,0.1,0.387719312310219,0.383152157068253,256
"contrac","rect",32,0.01,0.333333343267441,0.345108687877655,256
"contrac","cone",16,0.01,0.333333343267441,0.345108687877655,1024
"contrac","cone",16,0.01,0.263157874345779,0.225543469190598,512
