"dataset","learningrate","valAccuracy","nlayers","layerForm","testAccuracy","nhidden"
"arrhythmia",0.1,0.756097555160522,3,"rect",0.601769924163818,256
"arrhythmia",0.01,0.734146302938461,2,"cone",0.628318548202515,1024
"arrhythmia",0.01,0.717073082923889,4,"cone",0.601769924163818,512
"arrhythmia",0.1,0.707317054271698,2,"cone",0.637168109416962,512
"arrhythmia",0.1,0.707317054271698,2,"cone",0.610619485378265,256
"arrhythmia",0.01,0.702438998222351,8,"rect",0.628318548202515,512
"arrhythmia",0.1,0.695121908187866,3,"cone",0.592920362949371,1024
"arrhythmia",0.1,0.668292641639709,2,"cone",0.628318548202515,1024
"arrhythmia",0.1,0.663414603471756,3,"cone",0.690265476703644,512
"arrhythmia",0.1,0.658536559343338,4,"cone",0.619468986988068,1024
"arrhythmia",0.01,0.658536553382874,2,"rect",0.619468986988068,256
"arrhythmia",0.01,0.656097531318665,3,"rect",0.592920362949371,256
"arrhythmia",0.1,0.651219487190247,4,"rect",0.619469046592712,512
"arrhythmia",0.01,0.651219487190247,2,"rect",0.601769864559174,512
"arrhythmia",0.1,0.651219481229782,4,"rect",0.637168109416962,1024
"arrhythmia",0.01,0.646341443061829,3,"rect",0.637168109416962,512
"arrhythmia",0.1,0.641463404893875,2,"rect",0.637168109416962,512
"arrhythmia",0.01,0.641463398933411,2,"cone",0.575221300125122,256
"arrhythmia",0.1,0.641463398933411,2,"rect",0.681415915489197,1024
"arrhythmia",0.01,0.641463392972946,8,"rect",0.601769924163818,256
"arrhythmia",0.01,0.639024376869202,3,"cone",0.619469046592712,256
"arrhythmia",0.1,0.639024364948273,3,"cone",0.610619485378265,256
"arrhythmia",0.01,0.636585330963135,3,"rect",0.619469046592712,1024
"arrhythmia",0.1,0.634146332740784,3,"rect",0.646017670631409,1024
"arrhythmia",0.01,0.634146332740784,2,"rect",0.610619485378265,1024
"arrhythmia",0.1,0.629268258810043,4,"cone",0.575221240520477,512
"arrhythmia",0.01,0.626829260587692,4,"cone",0.637168109416962,1024
"arrhythmia",0.01,0.62439022064209,3,"cone",0.628318607807159,1024
