"dataset","nlayers","learningrate","testAccuracy","nhidden","valAccuracy","layerForm"
"flags",2,0.01,0.416666686534882,256,0.8125,"rect"
"flags",2,0.01,0.458333373069763,1024,0.80625,"cone"
"flags",3,0.01,0.520833373069763,256,0.75625,"rect"
"flags",2,0.01,0.541666686534882,512,0.74375,"rect"
"flags",3,0.1,0.375,512,0.7375,"cone"
"flags",3,0.01,0.395833343267441,512,0.6875,"cone"
"flags",3,0.01,0.5,512,0.6875,"rect"
"flags",4,0.01,0.541666686534882,1024,0.6875,"rect"
"flags",4,0.01,0.458333373069763,512,0.6875,"rect"
"flags",3,0.01,0.458333373069763,1024,0.68125,"rect"
"flags",2,0.01,0.5,256,0.66875,"cone"
"flags",2,0.01,0.520833373069763,1024,0.6625,"rect"
"flags",4,0.01,0.458333373069763,256,0.65625,"rect"
"flags",2,0.1,0.458333343267441,512,0.65,"cone"
"flags",2,0.1,0.395833373069763,512,0.65,"rect"
"flags",3,0.1,0.416666686534882,1024,0.64375,"cone"
"flags",2,0.1,0.458333343267441,256,0.63125,"rect"
"flags",4,0.01,0.458333343267441,1024,0.625,"cone"
"flags",3,0.01,0.395833343267441,256,0.61875,"cone"
"flags",2,0.1,0.4375,1024,0.6125,"rect"
"flags",3,0.01,0.479166686534882,1024,0.60625,"cone"
"flags",3,0.1,0.479166686534882,256,0.60625,"cone"
"flags",4,0.01,0.541666686534882,256,0.6,"cone"
"flags",8,0.01,0.354166686534882,512,0.5875,"cone"
"flags",8,0.01,0.3125,512,0.58125,"rect"
"flags",4,0.01,0.458333373069763,512,0.58125,"cone"
"flags",3,0.1,0.5,512,0.5625,"rect"
"flags",2,0.01,0.479166686534882,512,0.54375,"cone"
"flags",3,0.1,0.354166686534882,1024,0.5375,"rect"
"flags",2,0.1,0.395833343267441,1024,0.53125,"cone"
"flags",2,0.1,0.458333343267441,256,0.525,"cone"
"flags",8,0.01,0.375,256,0.5125,"cone"
"flags",3,0.1,0.4375,256,0.49375,"rect"
"flags",8,0.01,0.312500029802322,1024,0.475,"cone"
"flags",8,0.01,0.333333343267441,256,0.4625,"rect"
"flags",4,0.1,0.25,256,0.44375,"cone"
"flags",4,0.1,0.395833373069763,512,0.40625,"cone"
"flags",8,0.01,0.208333343267441,1024,0.3875,"rect"
"flags",32,0.01,0.208333343267441,1024,0.375,"cone"
"flags",32,0.01,0.208333343267441,1024,0.375,"rect"
"flags",32,0.01,0.208333343267441,512,0.375,"cone"
"flags",32,0.01,0.208333343267441,512,0.375,"rect"
"flags",32,0.01,0.333333343267441,256,0.375,"cone"
"flags",32,0.01,0.208333343267441,256,0.375,"rect"
"flags",32,0.1,0.333333343267441,1024,0.375,"cone"
"flags",32,0.1,0.208333343267441,1024,0.375,"rect"
"flags",32,0.1,0.208333343267441,512,0.375,"cone"
"flags",32,0.1,0.208333343267441,512,0.375,"rect"
"flags",32,0.1,0.208333343267441,256,0.375,"cone"
"flags",32,0.1,0.208333343267441,256,0.375,"rect"
"flags",32,1,0.208333343267441,1024,0.375,"cone"
"flags",32,1,0.208333343267441,1024,0.375,"rect"
"flags",32,1,0.208333343267441,512,0.375,"cone"
"flags",32,1,0.208333343267441,512,0.375,"rect"
"flags",32,1,0.333333343267441,256,0.375,"cone"
"flags",32,1,0.208333343267441,256,0.375,"rect"
"flags",16,0.01,0.208333343267441,1024,0.375,"cone"
"flags",16,0.01,0.208333343267441,1024,0.375,"rect"
"flags",16,0.01,0.208333343267441,512,0.375,"cone"
"flags",16,0.01,0.208333343267441,512,0.375,"rect"
"flags",16,0.01,0.208333343267441,256,0.375,"cone"
"flags",16,0.01,0.208333343267441,256,0.375,"rect"
"flags",16,0.1,0.208333343267441,1024,0.375,"cone"
"flags",16,0.1,0.208333343267441,1024,0.375,"rect"
"flags",16,0.1,0.208333343267441,512,0.375,"cone"
"flags",16,0.1,0.208333343267441,512,0.375,"rect"
"flags",16,0.1,0.208333343267441,256,0.375,"cone"
"flags",16,0.1,0.208333343267441,256,0.375,"rect"
"flags",16,1,0.208333343267441,1024,0.375,"cone"
"flags",16,1,0.333333343267441,1024,0.375,"rect"
"flags",16,1,0.333333343267441,512,0.375,"cone"
"flags",16,1,0.333333343267441,512,0.375,"rect"
"flags",16,1,0.208333343267441,256,0.375,"cone"
"flags",16,1,0.208333343267441,256,0.375,"rect"
"flags",8,0.1,0.333333343267441,1024,0.375,"cone"
"flags",8,0.1,0.208333343267441,1024,0.375,"rect"
"flags",8,0.1,0.208333343267441,512,0.375,"cone"
"flags",8,0.1,0.208333343267441,512,0.375,"rect"
"flags",8,0.1,0.208333343267441,256,0.375,"cone"
"flags",8,0.1,0.208333343267441,256,0.375,"rect"
"flags",8,1,0.208333343267441,1024,0.375,"cone"
"flags",8,1,0.208333343267441,1024,0.375,"rect"
"flags",8,1,0.208333343267441,512,0.375,"cone"
"flags",8,1,0.208333343267441,512,0.375,"rect"
"flags",8,1,0.333333343267441,256,0.375,"cone"
"flags",8,1,0.208333343267441,256,0.375,"rect"
"flags",4,0.1,0.208333343267441,1024,0.375,"cone"
"flags",4,0.1,0.208333343267441,1024,0.375,"rect"
"flags",4,0.1,0.333333343267441,512,0.375,"rect"
"flags",4,0.1,0.333333343267441,256,0.375,"rect"
"flags",4,1,0.208333343267441,1024,0.375,"cone"
"flags",4,1,0.208333343267441,1024,0.375,"rect"
"flags",4,1,0.208333343267441,512,0.375,"cone"
"flags",4,1,0.208333343267441,512,0.375,"rect"
"flags",4,1,0.333333343267441,256,0.375,"cone"
"flags",4,1,0.208333343267441,256,0.375,"rect"
"flags",3,1,0.333333343267441,1024,0.375,"cone"
"flags",3,1,0.208333343267441,1024,0.375,"rect"
"flags",3,1,0.333333343267441,512,0.375,"cone"
"flags",3,1,0.333333343267441,512,0.375,"rect"
"flags",3,1,0.208333343267441,256,0.375,"cone"
"flags",3,1,0.333333343267441,256,0.375,"rect"
"flags",2,1,0.208333343267441,1024,0.375,"cone"
"flags",2,1,0.208333343267441,1024,0.375,"rect"
"flags",2,1,0.208333343267441,512,0.375,"cone"
"flags",2,1,0.208333343267441,512,0.375,"rect"
"flags",2,1,0.333333343267441,256,0.375,"cone"
"flags",2,1,0.208333343267441,256,0.375,"rect"
