"dataset","valAccuracy","nhidden","nlayers","layerForm","testAccuracy","learningrate"
"blood",0.688524603843689,1024,3,"cone",0.764705836772919,0.01
"blood",0.688524603843689,512,3,"cone",0.764705836772919,0.01
"blood",0.688524603843689,256,3,"cone",0.764705896377563,0.01
"blood",0.688524603843689,1024,3,"rect",0.764705836772919,0.1
"blood",0.688524603843689,512,3,"cone",0.764705896377563,0.1
"blood",0.688524603843689,1024,3,"cone",0.764705777168274,1
"blood",0.688524603843689,1024,3,"rect",0.764705836772919,1
"blood",0.688524603843689,512,3,"cone",0.764705896377563,1
"blood",0.688524603843689,512,3,"rect",0.764705896377563,1
"blood",0.688524603843689,256,3,"cone",0.764705896377563,1
"blood",0.688524603843689,256,3,"rect",0.764705836772919,1
"blood",0.688524603843689,1024,2,"rect",0.764705836772919,0.1
"blood",0.688524603843689,256,2,"rect",0.764705777168274,0.1
"blood",0.688524603843689,1024,2,"cone",0.764705896377563,1
"blood",0.688524603843689,1024,2,"rect",0.764705836772919,1
"blood",0.688524603843689,512,2,"cone",0.764705777168274,1
"blood",0.688524603843689,512,2,"rect",0.764705777168274,1
"blood",0.688524603843689,256,2,"cone",0.764705896377563,1
"blood",0.688524603843689,256,2,"rect",0.764705896377563,1
"blood",0.68688525557518,1024,4,"cone",0.764705777168274,0.1
"blood",0.6721311211586,512,2,"rect",0.748663067817688,0.1
"blood",0.670491778850555,1024,2,"rect",0.759358286857605,0.01
"blood",0.650819683074951,512,3,"rect",0.764705777168274,0.1
