"dataset","valAccuracy","nhidden","nlayers","layerForm","testAccuracy","learningrate"
"blood",0.762295031547546,1024,2,"cone",0.759358286857605,0.1
"blood",0.740983557701111,1024,3,"cone",0.748663127422333,0.1
"blood",0.740983557701111,512,2,"cone",0.791443824768066,0.1
"blood",0.736065530776978,256,2,"cone",0.754010677337646,0.1
"blood",0.736065518856049,512,3,"rect",0.764705836772919,0.01
"blood",0.734426188468933,1024,3,"rect",0.786096215248108,0.01
"blood",0.732786846160889,512,2,"rect",0.764705777168274,0.01
"blood",0.731147503852844,256,2,"cone",0.780748605728149,0.01
"blood",0.727868807315826,256,3,"rect",0.812834203243256,0.01
"blood",0.727868801355362,256,4,"cone",0.786096215248108,0.1
"blood",0.724590128660202,256,4,"rect",0.786096215248108,0.01
"blood",0.721311450004578,512,4,"rect",0.764705836772919,0.01
"blood",0.716393423080444,512,2,"cone",0.786096215248108,0.01
"blood",0.711475378274918,1024,4,"rect",0.780748605728149,0.01
"blood",0.704918026924133,256,3,"cone",0.770053446292877,0.1
"blood",0.704917967319488,256,3,"rect",0.770053446292877,0.1
"blood",0.698360639810562,1024,2,"cone",0.75935822725296,0.01
"blood",0.696721279621124,256,2,"rect",0.770053386688232,0.01
"blood",0.688524603843689,1024,32,"cone",0.764705836772919,0.01
"blood",0.688524603843689,1024,32,"rect",0.764705836772919,0.01
"blood",0.688524603843689,512,32,"cone",0.764705836772919,0.01
"blood",0.688524603843689,512,32,"rect",0.764705896377563,0.01
"blood",0.688524603843689,256,32,"cone",0.764705896377563,0.01
"blood",0.688524603843689,256,32,"rect",0.764705896377563,0.01
"blood",0.688524603843689,1024,32,"cone",0.764705777168274,0.1
"blood",0.688524603843689,1024,32,"rect",0.764705896377563,0.1
"blood",0.688524603843689,512,32,"cone",0.764705836772919,0.1
"blood",0.688524603843689,512,32,"rect",0.764705777168274,0.1
"blood",0.688524603843689,256,32,"cone",0.764705836772919,0.1
"blood",0.688524603843689,256,32,"rect",0.764705896377563,0.1
"blood",0.688524603843689,1024,32,"cone",0.764705836772919,1
"blood",0.688524603843689,1024,32,"rect",0.764705836772919,1
"blood",0.688524603843689,512,32,"cone",0.764705896377563,1
"blood",0.688524603843689,512,32,"rect",0.764705896377563,1
"blood",0.688524603843689,256,32,"cone",0.764705836772919,1
"blood",0.688524603843689,256,32,"rect",0.764705836772919,1
"blood",0.688524603843689,1024,16,"cone",0.764705836772919,0.01
"blood",0.688524603843689,1024,16,"rect",0.764705836772919,0.01
"blood",0.688524603843689,512,16,"cone",0.764705836772919,0.01
"blood",0.688524603843689,512,16,"rect",0.764705777168274,0.01
"blood",0.688524603843689,256,16,"cone",0.764705836772919,0.01
"blood",0.688524603843689,256,16,"rect",0.764705777168274,0.01
"blood",0.688524603843689,1024,16,"cone",0.764705896377563,0.1
"blood",0.688524603843689,1024,16,"rect",0.764705896377563,0.1
"blood",0.688524603843689,512,16,"cone",0.764705836772919,0.1
"blood",0.688524603843689,512,16,"rect",0.764705836772919,0.1
"blood",0.688524603843689,256,16,"cone",0.764705777168274,0.1
"blood",0.688524603843689,256,16,"rect",0.764705836772919,0.1
"blood",0.688524603843689,1024,16,"cone",0.764705896377563,1
"blood",0.688524603843689,1024,16,"rect",0.764705836772919,1
"blood",0.688524603843689,512,16,"cone",0.764705896377563,1
"blood",0.688524603843689,512,16,"rect",0.764705896377563,1
"blood",0.688524603843689,256,16,"cone",0.764705777168274,1
"blood",0.688524603843689,256,16,"rect",0.764705836772919,1
"blood",0.688524603843689,1024,8,"cone",0.764705896377563,0.01
"blood",0.688524603843689,1024,8,"rect",0.764705836772919,0.01
"blood",0.688524603843689,512,8,"cone",0.764705896377563,0.01
"blood",0.688524603843689,512,8,"rect",0.764705836772919,0.01
"blood",0.688524603843689,256,8,"cone",0.764705896377563,0.01
"blood",0.688524603843689,256,8,"rect",0.764705836772919,0.01
"blood",0.688524603843689,1024,8,"cone",0.764705896377563,0.1
"blood",0.688524603843689,1024,8,"rect",0.764705836772919,0.1
"blood",0.688524603843689,512,8,"cone",0.764705896377563,0.1
"blood",0.688524603843689,512,8,"rect",0.764705836772919,0.1
"blood",0.688524603843689,256,8,"cone",0.764705896377563,0.1
"blood",0.688524603843689,256,8,"rect",0.764705777168274,0.1
"blood",0.688524603843689,1024,8,"cone",0.764705896377563,1
"blood",0.688524603843689,1024,8,"rect",0.764705896377563,1
"blood",0.688524603843689,512,8,"cone",0.764705836772919,1
"blood",0.688524603843689,512,8,"rect",0.764705836772919,1
"blood",0.688524603843689,256,8,"cone",0.764705836772919,1
"blood",0.688524603843689,256,8,"rect",0.764705777168274,1
"blood",0.688524603843689,1024,4,"cone",0.764705836772919,0.01
"blood",0.688524603843689,512,4,"cone",0.764705836772919,0.01
"blood",0.688524603843689,256,4,"cone",0.764705896377563,0.01
"blood",0.688524603843689,1024,4,"rect",0.764705836772919,0.1
"blood",0.688524603843689,512,4,"cone",0.764705896377563,0.1
"blood",0.688524603843689,512,4,"rect",0.764705836772919,0.1
"blood",0.688524603843689,256,4,"rect",0.764705836772919,0.1
"blood",0.688524603843689,1024,4,"cone",0.764705896377563,1
"blood",0.688524603843689,1024,4,"rect",0.764705896377563,1
"blood",0.688524603843689,512,4,"cone",0.764705777168274,1
"blood",0.688524603843689,512,4,"rect",0.764705777168274,1
"blood",0.688524603843689,256,4,"cone",0.764705896377563,1
"blood",0.688524603843689,256,4,"rect",0.764705896377563,1
