"dataset","nhidden","layerForm","valAccuracy","nlayers","learningrate","testAccuracy"
"audiology-std",512,"cone",0.964705920219421,3,0.1,0.719999969005585
"audiology-std",256,"cone",0.964705908298492,3,0.1,0.639999985694885
"audiology-std",512,"rect",0.947058880329132,2,0.1,0.639999985694885
"audiology-std",256,"rect",0.941176533699036,2,0.01,0.599999964237213
"audiology-std",256,"rect",0.929411816596985,3,0.01,0.599999964237213
"audiology-std",256,"cone",0.929411792755127,3,0.01,0.639999985694885
"audiology-std",1024,"cone",0.900000029802323,3,0.1,0.600000023841858
"audiology-std",1024,"rect",0.900000023841858,2,0.01,0.600000023841858
"audiology-std",512,"cone",0.900000023841858,2,0.1,0.600000023841858
"audiology-std",512,"cone",0.894117665290832,3,0.01,0.639999985694885
"audiology-std",1024,"rect",0.894117665290832,2,0.1,0.639999985694885
"audiology-std",512,"cone",0.888235306739807,4,0.01,0.519999980926514
"audiology-std",1024,"rect",0.882352948188782,8,0.01,0.479999989271164
"audiology-std",1024,"rect",0.882352948188782,4,0.01,0.600000023841858
"audiology-std",512,"rect",0.882352948188782,4,0.01,0.719999969005585
"audiology-std",256,"rect",0.882352948188782,4,0.01,0.639999985694885
"audiology-std",1024,"cone",0.882352948188782,2,0.01,0.639999985694885
"audiology-std",512,"rect",0.882352948188782,2,0.01,0.600000023841858
"audiology-std",512,"rect",0.876470595598221,8,0.01,0.600000023841858
"audiology-std",1024,"cone",0.876470595598221,3,0.01,0.839999973773956
"audiology-std",256,"cone",0.876470595598221,2,0.1,0.639999985694885
"audiology-std",256,"cone",0.858823537826538,4,0.01,0.639999985694885
"audiology-std",256,"rect",0.858823537826538,3,0.1,0.679999947547913
"audiology-std",256,"rect",0.852941191196442,2,0.1,0.639999985694885
"audiology-std",256,"cone",0.852941185235977,4,0.1,0.639999985694885
"audiology-std",1024,"rect",0.852941185235977,3,0.1,0.519999980926514
"audiology-std",1024,"cone",0.841176480054855,4,0.01,0.439999997615814
"audiology-std",1024,"cone",0.841176480054855,2,0.1,0.719999969005585
"audiology-std",512,"cone",0.835294127464294,4,0.1,0.560000002384186
"audiology-std",512,"rect",0.835294127464294,3,0.1,0.639999985694885
"audiology-std",512,"cone",0.835294127464294,2,0.01,0.519999980926514
"audiology-std",256,"cone",0.823529422283172,2,0.01,0.720000028610229
"audiology-std",512,"rect",0.800000011920929,3,0.01,0.599999964237213
"audiology-std",1024,"rect",0.747058838605881,3,0.01,0.679999947547913
"audiology-std",256,"rect",0.74117648601532,4,0.1,0.439999997615814
"audiology-std",1024,"cone",0.694117665290832,8,0.01,0.560000002384186
"audiology-std",256,"cone",0.55294120311737,8,0.01,0.319999992847443
"audiology-std",1024,"cone",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,32,0.01,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,32,0.1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,32,0.1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,32,0.1,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,32,0.1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,32,0.1,0.439999997615814
