"dataset","testAccuracy","valAccuracy","nlayers","nhidden","learningrate","layerForm"
"post-operative",0.545454561710358,0.820000010728836,2,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,1024,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,1024,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,512,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,512,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,256,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,512,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,32,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,32,256,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,1024,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,1024,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,512,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,512,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,256,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,512,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,16,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,16,256,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,1024,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,1024,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,512,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,512,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,256,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,512,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,8,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,8,256,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,1024,0.01,"cone"
"post-operative",0.681818246841431,0.800000011920929,4,512,0.01,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,512,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,4,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,4,256,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,256,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,3,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,3,256,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,1024,0.01,"rect"
"post-operative",0.636363625526428,0.800000011920929,2,512,0.01,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,1024,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,1024,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,512,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,512,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,256,0.1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,256,0.1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,1024,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,1024,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,512,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,512,1,"rect"
"post-operative",0.727272748947144,0.800000011920929,2,256,1,"cone"
"post-operative",0.727272748947144,0.800000011920929,2,256,1,"rect"
"post-operative",0.727272748947144,0.780000013113022,3,512,0.1,"cone"
"post-operative",0.590909123420715,0.760000014305115,4,512,0.01,"cone"
"post-operative",0.727272748947144,0.740000012516976,3,1024,0.01,"cone"
"post-operative",0.727272748947144,0.720000016689301,4,1024,0.01,"rect"
"post-operative",0.681818187236786,0.720000016689301,3,512,0.01,"rect"
"post-operative",0.727272748947144,0.700000017881393,3,512,0.01,"cone"
"post-operative",0.681818246841431,0.700000010430813,2,1024,0.01,"cone"
"post-operative",0.727272748947144,0.660000017285347,4,256,0.01,"rect"
"post-operative",0.636363625526428,0.600000017881393,2,512,0.01,"rect"
"post-operative",0.590909123420715,0.580000016093254,3,256,0.01,"rect"
"post-operative",0.727272748947144,0.580000013113022,3,1024,0.01,"rect"
"post-operative",0.545454561710358,0.500000007450581,2,256,0.01,"rect"
