"dataset","layerForm","nhidden","nlayers","learningrate","valAccuracy","testAccuracy"
"horse-colic","rect",512,32,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",256,32,0.01,0.655172407627106,0.602941274642944
"horse-colic","rect",256,32,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,32,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,32,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,32,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,32,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,32,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,32,1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,32,1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",512,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","rect",512,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",256,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","rect",256,16,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,16,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,16,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,16,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,16,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,16,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,16,1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,16,1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,8,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",512,8,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",256,8,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,8,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,8,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,8,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,8,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,8,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,8,1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,8,1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,4,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,4,0.1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,4,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,4,0.1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,4,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,4,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,4,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,4,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,4,1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,4,1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,3,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,3,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,3,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,3,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,3,1,0.655172407627106,0.602941274642944
"horse-colic","rect",256,3,1,0.655172407627106,0.602941274642944
"horse-colic","cone",1024,2,1,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,2,1,0.655172407627106,0.602941274642944
"horse-colic","cone",512,2,1,0.655172407627106,0.602941274642944
"horse-colic","rect",512,2,1,0.655172407627106,0.602941274642944
"horse-colic","cone",256,2,1,0.655172407627106,0.602941274642944
