"dataset","layerForm","nhidden","nlayers","learningrate","valAccuracy","testAccuracy"
"horse-colic","rect",512,4,0.1,0.903448271751404,0.705882430076599
"horse-colic","rect",256,2,0.01,0.896551728248596,0.794117629528046
"horse-colic","cone",256,2,0.1,0.896551728248596,0.8529412150383
"horse-colic","rect",256,3,0.01,0.893103450536728,0.838235318660736
"horse-colic","cone",256,3,0.1,0.872413790225983,0.75
"horse-colic","cone",1024,2,0.01,0.86896550655365,0.823529422283173
"horse-colic","cone",1024,2,0.1,0.862068957090378,0.794117629528046
"horse-colic","rect",1024,2,0.1,0.862068957090378,0.867647111415863
"horse-colic","cone",256,2,0.01,0.862068951129913,0.838235318660736
"horse-colic","rect",512,4,0.01,0.858620673418045,0.779411792755127
"horse-colic","rect",256,4,0.1,0.858620673418045,0.779411733150482
"horse-colic","cone",512,3,0.1,0.858620673418045,0.8529412150383
"horse-colic","rect",512,2,0.01,0.858620673418045,0.823529422283173
"horse-colic","rect",256,3,0.1,0.855172407627106,0.779411733150482
"horse-colic","cone",512,4,0.01,0.848275846242905,0.838235318660736
"horse-colic","rect",1024,2,0.01,0.84827584028244,0.808823525905609
"horse-colic","rect",256,2,0.1,0.841379290819168,0.867647111415863
"horse-colic","cone",512,2,0.01,0.8379310131073,0.867647051811218
"horse-colic","cone",1024,3,0.01,0.827586197853089,0.823529422283173
"horse-colic","rect",256,8,0.01,0.824137902259827,0.764705896377563
"horse-colic","rect",1024,4,0.01,0.820689636468887,0.8529412150383
"horse-colic","cone",512,4,0.1,0.820689636468887,0.808823525905609
"horse-colic","cone",512,3,0.01,0.820689636468887,0.720588266849518
"horse-colic","rect",1024,3,0.01,0.820689630508423,0.8529412150383
"horse-colic","rect",256,4,0.01,0.817241364717484,0.794117629528046
"horse-colic","cone",1024,3,0.1,0.817241358757019,0.823529422283173
"horse-colic","cone",256,3,0.01,0.81379309296608,0.79411768913269
"horse-colic","rect",512,8,0.01,0.8,0.808823525905609
"horse-colic","cone",512,2,0.1,0.796551728248596,0.852941155433655
"horse-colic","rect",512,2,0.1,0.789655178785324,0.764705896377563
"horse-colic","rect",512,3,0.01,0.789655160903931,0.794117629528046
"horse-colic","cone",256,4,0.01,0.782758617401123,0.794117629528046
"horse-colic","rect",512,3,0.1,0.779310333728791,0.720588266849518
"horse-colic","rect",1024,8,0.01,0.765517234802246,0.794117629528046
"horse-colic","rect",1024,3,0.1,0.693103444576263,0.75
"horse-colic","rect",256,2,1,0.662068957090378,0.602941274642944
"horse-colic","cone",1024,32,0.01,0.655172407627106,0.602941274642944
"horse-colic","rect",1024,32,0.01,0.655172407627106,0.602941274642944
"horse-colic","cone",512,32,0.01,0.655172407627106,0.602941274642944
