"dataset","testAccuracy","layerForm","nlayers","nhidden","learningrate","valAccuracy"
"letter",0.957999706268311,"rect",3,1024,0.01,0.961174947023392
"letter",0.95039975643158,"rect",3,256,0.01,0.961039900779724
"letter",0.958999752998352,"rect",3,512,0.1,0.96029714345932
"letter",0.959199666976929,"cone",3,1024,0.1,0.959892052412033
"letter",0.959799706935883,"rect",4,1024,0.01,0.959284317493439
"letter",0.960799753665924,"rect",2,512,0.1,0.958339029550552
"letter",0.959799706935883,"rect",2,256,0.1,0.958271497488022
"letter",0.957399785518646,"cone",2,1024,0.1,0.957461297512054
"letter",0.962199807167053,"rect",3,1024,0.1,0.957461220026016
"letter",0.958399653434753,"cone",3,512,0.1,0.957191145420075
"letter",0.955599784851074,"cone",2,512,0.1,0.956853544712067
"letter",0.954599738121033,"rect",3,512,0.01,0.95631337761879
"letter",0.949399709701538,"rect",4,1024,0.1,0.956110763549805
"letter",0.952199697494507,"rect",8,512,0.01,0.956043285131455
"letter",0.94819974899292,"rect",4,256,0.01,0.955435562133789
"letter",0.950999736785889,"cone",8,1024,0.01,0.95523299574852
"letter",0.960799694061279,"rect",2,1024,0.1,0.955030453205109
"letter",0.953799784183502,"cone",3,1024,0.01,0.95388258099556
"letter",0.958199739456177,"cone",4,512,0.1,0.953544950485229
"letter",0.955599784851074,"rect",4,512,0.01,0.953409910202026
"letter",0.949199676513672,"rect",2,512,0.01,0.953207337856293
"letter",0.953399777412415,"cone",4,1024,0.1,0.953207325935364
"letter",0.949999690055847,"cone",2,1024,0.01,0.952667182683945
"letter",0.950199723243713,"cone",3,256,0.01,0.952599650621414
"letter",0.946999728679657,"cone",3,256,0.1,0.952532124519348
"letter",0.952799737453461,"cone",4,256,0.1,0.952397096157074
"letter",0.953199744224548,"cone",8,512,0.01,0.951721870899201
"letter",0.943799734115601,"cone",3,512,0.01,0.950641524791718
"letter",0.956599712371826,"rect",2,1024,0.01,0.950438952445984
"letter",0.94959968328476,"cone",4,1024,0.01,0.950101339817047
"letter",0.948799729347229,"cone",2,256,0.1,0.949020981788635
"letter",0.949799656867981,"rect",8,256,0.01,0.948548376560211
"letter",0.946599721908569,"cone",4,512,0.01,0.948480796813965
"letter",0.952399790287018,"rect",3,256,0.1,0.946995311975479
"letter",0.94959968328476,"rect",2,256,0.01,0.946657711267471
"letter",0.944799721240997,"cone",2,256,0.01,0.94645516872406
"letter",0.947799682617188,"cone",2,512,0.01,0.944361978769302
"letter",0.949199736118317,"cone",4,256,0.01,0.944024378061295
"letter",0.94819974899292,"rect",8,1024,0.01,0.941053408384323
"letter",0.944799721240997,"rect",4,512,0.1,0.940108078718185
"letter",0.912999749183655,"rect",4,256,0.1,0.918906176090241
"letter",0.89579975605011,"cone",8,256,0.01,0.897434210777283
"letter",0.0381999984383583,"cone",4,256,1,0.0412559095770121
"letter",0.0401999987661839,"cone",32,512,0.01,0.0411883883178234
"letter",0.0401999950408936,"rect",8,1024,0.1,0.0411883875727654
"letter",0.0393999963998795,"rect",32,256,0.1,0.0411883868277073
"letter",0.0394000001251698,"rect",32,512,0.01,0.0411883864551783
"letter",0.0394000001251698,"rect",32,1024,0.01,0.0411883860826492
"letter",0.0394000001251698,"cone",16,1024,0.01,0.0411883860826492
"letter",0.0394000001251698,"cone",8,1024,0.1,0.0411883860826492
"letter",0.0393999963998795,"cone",8,1024,1,0.0411883860826492
"letter",0.0393999963998795,"rect",4,1024,1,0.0411883860826492
"letter",0.0393999963998795,"cone",32,256,0.01,0.0411883857101202
"letter",0.0394000001251698,"rect",32,256,0.01,0.0411883857101202
"letter",0.0394000001251698,"cone",32,1024,0.1,0.0411883857101202
"letter",0.0393999963998795,"rect",32,1024,0.1,0.0411883857101202
"letter",0.0393999963998795,"cone",32,1024,1,0.0411883857101202
"letter",0.0394000001251698,"rect",32,512,1,0.0411883857101202
"letter",0.0393999963998795,"cone",32,256,1,0.0411883857101202
"letter",0.0394000001251698,"cone",16,512,0.01,0.0411883857101202
"letter",0.0394000001251698,"cone",16,256,0.01,0.0411883857101202
"letter",0.0394000001251698,"rect",16,256,0.01,0.0411883857101202
"letter",0.0394000001251698,"rect",16,1024,0.1,0.0411883857101202
"letter",0.0394000001251698,"cone",16,256,0.1,0.0411883857101202
"letter",0.0393999963998795,"cone",16,1024,1,0.0411883857101202
"letter",0.0393999963998795,"cone",16,256,1,0.0411883857101202
"letter",0.0394000001251698,"rect",16,256,1,0.0411883857101202
"letter",0.0393999963998795,"cone",8,256,0.1,0.0411883857101202
"letter",0.0394000001251698,"rect",8,1024,1,0.0411883857101202
"letter",0.0394000001251698,"rect",4,256,1,0.0411883857101202
"letter",0.0394000001251698,"rect",3,1024,1,0.0411883857101202
"letter",0.0394000001251698,"cone",2,512,1,0.0411883857101202
"letter",0.0393999963998795,"rect",2,256,1,0.0411883857101202
"letter",0.0394000001251698,"cone",32,1024,0.01,0.0411883853375912
"letter",0.0394000001251698,"cone",32,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",32,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"cone",32,256,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",32,1024,1,0.0411883853375912
"letter",0.0393999963998795,"cone",32,512,1,0.0411883853375912
"letter",0.0394000001251698,"rect",32,256,1,0.0411883853375912
"letter",0.0393999963998795,"rect",16,1024,0.01,0.0411883853375912
"letter",0.0394000001251698,"rect",16,512,0.01,0.0411883853375912
"letter",0.0393999963998795,"cone",16,1024,0.1,0.0411883853375912
"letter",0.0394000001251698,"cone",16,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",16,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",16,256,0.1,0.0411883853375912
"letter",0.0394000001251698,"rect",16,1024,1,0.0411883853375912
"letter",0.0393999963998795,"cone",16,512,1,0.0411883853375912
"letter",0.0393999963998795,"rect",16,512,1,0.0411883853375912
"letter",0.0393999963998795,"cone",8,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",8,512,0.1,0.0411883853375912
"letter",0.0393999963998795,"rect",8,256,0.1,0.0411883853375912
"letter",0.0394000001251698,"cone",8,512,1,0.0411883853375912
"letter",0.0393999963998795,"rect",8,512,1,0.0411883853375912
"letter",0.0394000001251698,"cone",8,256,1,0.0411883853375912
"letter",0.0394000001251698,"rect",8,256,1,0.0411883853375912
"letter",0.0393999963998795,"cone",4,512,1,0.0411883853375912
"letter",0.0393999963998795,"rect",4,512,1,0.0411883853375912
"letter",0.0393999963998795,"rect",3,512,1,0.0411883853375912
"letter",0.0393999963998795,"cone",3,256,1,0.0411883853375912
"letter",0.0393999963998795,"cone",2,1024,1,0.0411883853375912
"letter",0.0393999963998795,"rect",2,1024,1,0.0411883853375912
"letter",0.0393999963998795,"rect",2,512,1,0.0411883853375912
"letter",0.0394000001251698,"cone",2,256,1,0.0411883853375912
"letter",0.0401999950408936,"cone",4,1024,1,0.0401755575090647
"letter",0.0385999977588654,"cone",3,1024,1,0.0400405135005713
"letter",0.039599996060133,"cone",3,512,1,0.039635381102562
"letter",0.0425999984145164,"rect",3,256,1,0.0395678598433733
