"dataset","layerForm","testAccuracy","valAccuracy","learningrate","nhidden","nlayers"
"car","rect",0.97685182094574,0.982539731264114,0.01,256,3
"car","cone",0.976851940155029,0.977777796983719,0.01,512,3
"car","cone",0.958333313465118,0.970634961128235,0.01,1024,3
"car","cone",0.974537014961243,0.968254017829895,0.01,256,2
"car","cone",0.96064817905426,0.963492119312286,0.1,512,4
"car","rect",0.965277791023254,0.963492083549499,0.01,1024,2
"car","rect",0.981481492519379,0.959523844718933,0.01,512,3
"car","cone",0.949074149131775,0.9579365670681,0.01,256,3
"car","cone",0.9375,0.957142877578735,0.1,1024,2
"car","rect",0.942129611968994,0.956349271535873,0.01,1024,4
"car","rect",0.946759343147278,0.951587361097336,0.01,256,2
"car","cone",0.96064817905426,0.950793707370758,0.1,256,3
"car","rect",0.921296238899231,0.950000041723251,0.1,256,2
"car","cone",0.932870328426361,0.941269886493683,0.1,256,2
"car","rect",0.946759223937988,0.93809529542923,0.01,1024,3
"car","rect",0.942129611968994,0.921428620815277,0.01,256,4
"car","cone",0.937500059604645,0.916666722297669,0.01,512,2
"car","rect",0.865740716457367,0.911904835700989,0.1,1024,2
"car","cone",0.88657408952713,0.911111181974411,0.01,1024,2
"car","cone",0.881944477558136,0.908730226755142,0.01,256,4
"car","cone",0.907407402992249,0.906349271535874,0.01,512,4
"car","rect",0.870370268821716,0.904761946201324,0.01,512,4
"car","rect",0.930555462837219,0.903174668550491,0.01,512,2
"car","cone",0.861111044883728,0.898412781953812,0.1,512,2
"car","rect",0.793981492519379,0.788095331192017,0.1,512,2
"car","cone",0.76157408952713,0.757142931222916,0.1,512,3
"car","rect",0.729166686534882,0.731746107339859,0.01,1024,8
"car","cone",0.701388955116272,0.69047623872757,0.01,1024,32
"car","cone",0.701388835906982,0.69047623872757,0.01,256,32
"car","rect",0.701388955116272,0.69047623872757,0.01,256,32
"car","cone",0.701388955116272,0.69047623872757,0.1,512,32
"car","cone",0.701388835906982,0.69047623872757,0.1,256,32
"car","cone",0.701388835906982,0.69047623872757,1,1024,32
"car","rect",0.701388955116272,0.69047623872757,1,512,32
"car","cone",0.701388955116272,0.69047623872757,1,256,32
"car","cone",0.701388955116272,0.69047623872757,0.01,512,16
"car","cone",0.701388955116272,0.69047623872757,0.01,256,16
"car","cone",0.701388835906982,0.69047623872757,0.1,1024,16
"car","cone",0.701388955116272,0.69047623872757,1,256,16
"car","cone",0.701388835906982,0.69047623872757,0.01,1024,8
"car","cone",0.701388955116272,0.69047623872757,0.01,512,8
"car","rect",0.701388955116272,0.69047623872757,0.01,512,8
"car","cone",0.701388955116272,0.69047623872757,0.01,256,8
"car","rect",0.701388955116272,0.69047623872757,0.01,256,8
"car","cone",0.701388955116272,0.69047623872757,0.1,256,8
"car","cone",0.701388955116272,0.69047623872757,0.01,1024,4
"car","cone",0.701388955116272,0.69047623872757,0.1,1024,4
"car","rect",0.701388955116272,0.69047623872757,0.1,512,4
"car","cone",0.701388835906982,0.69047623872757,0.1,256,4
"car","rect",0.701388835906982,0.69047623872757,1,1024,4
"car","cone",0.701388955116272,0.69047623872757,1,512,4
"car","cone",0.701388955116272,0.69047623872757,0.1,1024,3
"car","rect",0.715277791023254,0.69047623872757,0.1,512,3
"car","rect",0.701388835906982,0.69047623872757,0.1,256,3
"car","cone",0.701388955116272,0.69047623872757,1,256,3
"car","cone",0.701388955116272,0.69047623872757,1,1024,2
"car","cone",0.701388955116272,0.69047623872757,1,512,2
"car","cone",0.701388835906982,0.69047623872757,1,256,2
"car","rect",0.701388835906982,0.69047623872757,1,256,2
"car","rect",0.701388835906982,0.646825441718102,0.1,1024,3
"car","rect",0.0370370373129845,0,0.01,1024,32
"car","cone",0.0370370373129845,0,0.01,512,32
"car","rect",0.0370370373129845,0,0.01,512,32
"car","cone",0.0370370410382748,0,0.1,1024,32
"car","rect",0.0370370373129845,0,0.1,1024,32
"car","rect",0.0370370410382748,0,0.1,512,32
"car","rect",0.0370370373129845,0,0.1,256,32
"car","rect",0.0370370373129845,0,1,1024,32
"car","cone",0.0370370373129845,0,1,512,32
"car","rect",0.0370370373129845,0,1,256,32
