"dataset","learningrate","valAccuracy","nlayers","layerForm","testAccuracy","nhidden"
"connect-4",1,0.752964562177658,8,"cone",0.753804564476013,512
"connect-4",1,0.752964562177658,4,"cone",0.753804564476013,256
"connect-4",1,0.752964562177658,3,"cone",0.753804564476013,1024
"connect-4",1,0.752964562177658,3,"cone",0.753804564476013,512
"connect-4",1,0.752964562177658,3,"rect",0.753804564476013,512
"connect-4",1,0.752964562177658,2,"rect",0.753804504871368,512
"connect-4",1,0.752964562177658,2,"rect",0.753804564476013,256
"connect-4",1,0.752964556217194,32,"rect",0.753804564476013,1024
"connect-4",1,0.752964556217194,32,"rect",0.753804564476013,512
"connect-4",0.01,0.752964556217194,16,"rect",0.753804564476013,1024
"connect-4",0.1,0.752964556217194,16,"cone",0.753804564476013,1024
"connect-4",0.1,0.752964556217194,16,"rect",0.753804564476013,512
"connect-4",0.1,0.752964556217194,16,"cone",0.753804564476013,256
"connect-4",0.01,0.752964556217194,8,"cone",0.753804564476013,1024
"connect-4",0.01,0.752964556217194,8,"cone",0.753804564476013,256
"connect-4",1,0.752964556217194,4,"cone",0.753804504871368,512
"connect-4",1,0.752964556217194,3,"cone",0.753804564476013,256
"connect-4",1,0.752964556217194,2,"rect",0.753804504871368,1024
