"dataset","layerForm","nlayers","learningrate","nhidden","testAccuracy","valAccuracy"
"spectf","cone",2,0.01,512,0.454545438289642,0.677777796983719
"spectf","cone",32,0.1,256,0.919786214828491,0.666666686534881
"spectf","cone",16,0.01,512,0.919786214828491,0.666666686534881
"spectf","cone",8,0.01,512,0.919786214828491,0.666666686534881
"spectf","cone",4,0.01,1024,0.919786214828491,0.666666686534881
"spectf","cone",4,0.01,512,0.919786214828491,0.666666686534881
"spectf","rect",4,0.1,512,0.919786214828491,0.666666686534881
"spectf","cone",4,0.1,256,0.919786214828491,0.666666686534881
"spectf","cone",3,0.01,256,0.919786214828491,0.666666686534881
"spectf","cone",8,0.1,256,0.919786214828491,0.633333352208137
"spectf","cone",2,0.01,1024,0.347593575716019,0.611111128330231
"spectf","cone",32,0.01,256,0.0802139043807983,0.600000017881393
"spectf","rect",3,0.01,512,0.919786214828491,0.600000014901161
"spectf","rect",2,0.01,1024,0.92513370513916,0.600000014901161
"spectf","cone",4,0.01,256,0.919786214828491,0.588888901472092
"spectf","rect",2,0.01,256,0.818181872367859,0.577777791023254
"spectf","rect",2,0.01,512,0.866310179233551,0.577777791023254
"spectf","cone",2,0.01,256,0.823529362678528,0.577777788043022
"spectf","rect",16,0.1,256,0.919786095619202,0.566666683554649
"spectf","cone",16,1,1024,0.919786214828491,0.566666683554649
"spectf","cone",3,1,256,0.919786095619202,0.566666683554649
"spectf","rect",3,0.01,1024,0.0802139043807983,0.544444462656975
"spectf","cone",16,0.1,1024,0.919786095619202,0.533333349227905
"spectf","cone",16,1,256,0.0802139043807983,0.533333349227905
"spectf","cone",3,1,1024,0.0802139043807983,0.533333349227905
"spectf","rect",3,0.01,256,0.566844880580902,0.5222222417593
"spectf","cone",32,0.01,512,0.919786214828491,0.500000014901161
"spectf","rect",32,1,512,0.0802139043807983,0.500000014901161
"spectf","rect",8,0.1,256,0.0802139043807983,0.500000014901161
"spectf","cone",8,1,1024,0.919786214828491,0.500000014901161
"spectf","rect",8,1,1024,0.0802139043807983,0.500000014901161
"spectf","rect",4,1,512,0.919786214828491,0.500000014901161
"spectf","rect",2,1,512,0.919786214828491,0.500000014901161
"spectf","cone",32,1,256,0.919786095619202,0.466666680574417
"spectf","rect",3,1,512,0.919786214828491,0.466666680574417
"spectf","rect",3,1,256,0.919786095619202,0.466666680574417
"spectf","cone",32,0.1,512,0.919786095619202,0.466666680574417
"spectf","cone",32,1,1024,0.919786214828491,0.466666680574417
"spectf","rect",3,1,1024,0.0802139043807983,0.466666680574417
"spectf","cone",8,1,256,0.0802139043807983,0.433333346247673
"spectf","cone",3,1,512,0.919786095619202,0.433333346247673
"spectf","rect",2,1,1024,0.0802139043807983,0.433333346247673
"spectf","rect",8,0.1,1024,0.0802139043807983,0.433333346247673
"spectf","cone",32,0.1,1024,0.0802139043807983,0.366666677594185
"spectf","cone",2,0.1,512,0.0802139043807983,0.366666677594185
"spectf","rect",2,0.1,256,0.0802139043807983,0.366666677594185
"spectf","cone",32,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.01,512,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.01,256,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.1,512,0.0802139043807983,0.333333343267441
"spectf","rect",32,0.1,256,0.0802139043807983,0.333333343267441
"spectf","rect",32,1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",32,1,512,0.0802139043807983,0.333333343267441
"spectf","rect",32,1,256,0.0802139043807983,0.333333343267441
"spectf","cone",16,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",16,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",16,0.01,512,0.0802139043807983,0.333333343267441
"spectf","cone",16,0.01,256,0.0802139043807983,0.333333343267441
"spectf","rect",16,0.01,256,0.0802139043807983,0.333333343267441
"spectf","rect",16,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",16,0.1,512,0.0802139043807983,0.333333343267441
"spectf","rect",16,0.1,512,0.0802139043807983,0.333333343267441
"spectf","cone",16,0.1,256,0.0802139043807983,0.333333343267441
"spectf","rect",16,1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",16,1,512,0.0802139043807983,0.333333343267441
"spectf","rect",16,1,512,0.0802139043807983,0.333333343267441
"spectf","rect",16,1,256,0.0802139043807983,0.333333343267441
"spectf","cone",8,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",8,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",8,0.01,512,0.0802139043807983,0.333333343267441
"spectf","cone",8,0.01,256,0.0802139043807983,0.333333343267441
"spectf","rect",8,0.01,256,0.0802139043807983,0.333333343267441
"spectf","cone",8,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",8,0.1,512,0.0802139043807983,0.333333343267441
"spectf","rect",8,0.1,512,0.0802139043807983,0.333333343267441
"spectf","cone",8,1,512,0.0802139043807983,0.333333343267441
"spectf","rect",8,1,512,0.0802139043807983,0.333333343267441
"spectf","rect",8,1,256,0.0802139043807983,0.333333343267441
"spectf","rect",4,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","rect",4,0.01,512,0.0802139043807983,0.333333343267441
"spectf","rect",4,0.01,256,0.0802139043807983,0.333333343267441
"spectf","cone",4,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",4,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",4,0.1,512,0.0802139043807983,0.333333343267441
"spectf","rect",4,0.1,256,0.0802139043807983,0.333333343267441
