"dataset","learningrate","valAccuracy","layerForm","testAccuracy","nlayers","nhidden"
"yeast",0.1,0.590098989009857,"rect",0.587601065635681,2,512
"yeast",0.01,0.583168309926987,"cone",0.574123919010162,2,256
"yeast",0.01,0.580198019742966,"cone",0.603773593902588,2,512
"yeast",0.1,0.576237601041794,"cone",0.568733096122742,2,256
"yeast",0.01,0.573267310857773,"rect",0.522911071777344,3,512
"yeast",0.1,0.571287125349045,"rect",0.60107809305191,2,256
"yeast",0.01,0.56138613820076,"cone",0.606468915939331,3,256
"yeast",0.01,0.559405940771103,"rect",0.592991948127747,4,256
"yeast",0.01,0.557425731420517,"cone",0.590296506881714,3,1024
"yeast",0.1,0.557425707578659,"cone",0.568733155727386,3,256
"yeast",0.01,0.54653462767601,"rect",0.555256068706512,3,256
"yeast",0.1,0.543564343452454,"cone",0.579514801502228,4,1024
"yeast",0.1,0.540594047307968,"rect",0.568733215332031,2,1024
"yeast",0.01,0.538613826036453,"cone",0.590296447277069,4,256
"yeast",0.01,0.536633652448654,"cone",0.595687329769135,2,1024
"yeast",0.1,0.53663364648819,"cone",0.568733096122742,2,512
"yeast",0.01,0.535643574595451,"cone",0.576819360256195,4,512
"yeast",0.1,0.534653466939926,"cone",0.574123978614807,2,1024
"yeast",0.1,0.534653449058533,"cone",0.5579514503479,4,256
"yeast",0.01,0.534653449058533,"cone",0.587601065635681,3,512
"yeast",0.01,0.532673263549805,"rect",0.584905624389648,2,256
"yeast",0.01,0.530693075060845,"cone",0.560646891593933,8,1024
"yeast",0.01,0.530693057179451,"rect",0.522911012172699,8,512
"yeast",0.1,0.529702964425087,"rect",0.555256068706512,3,256
"yeast",0.01,0.52970295548439,"rect",0.579514801502228,8,1024
"yeast",0.01,0.52772276699543,"rect",0.609164416790009,2,1024
"yeast",0.01,0.522772270441055,"rect",0.517520189285278,4,512
"yeast",0.1,0.521782171726227,"cone",0.555256009101868,3,1024
"yeast",0.1,0.519801962375641,"rect",0.528301894664764,3,512
"yeast",0.01,0.518811884522438,"rect",0.571428596973419,3,1024
"yeast",0.01,0.508910882472992,"rect",0.598382711410522,2,512
"yeast",0.01,0.502970269322395,"cone",0.571428537368774,4,1024
"yeast",0.01,0.500990077853203,"rect",0.598382711410522,4,1024
"yeast",0.1,0.499999982118607,"cone",0.579514741897583,3,512
"yeast",1,0.485148480534554,"cone",0.471698075532913,2,256
"yeast",0.01,0.477227726578712,"rect",0.463611841201782,8,256
"yeast",0.01,0.477227693796158,"cone",0.520215630531311,8,256
"yeast",0.1,0.467326721549034,"rect",0.466307282447815,4,256
"yeast",0.1,0.465346512198448,"rect",0.482479780912399,3,1024
"yeast",0.01,0.326732635498047,"cone",0.288409680128098,32,256
"yeast",0.01,0.326732635498047,"cone",0.274932593107224,8,512
"yeast",0.1,0.326732635498047,"rect",0.288409680128098,4,512
"yeast",0.1,0.321782171726227,"cone",0.29110512137413,4,512
"yeast",1,0.312871253490448,"rect",0.320754706859589,3,1024
"yeast",1,0.312871253490448,"cone",0.320754736661911,16,1024
"yeast",1,0.310891056060791,"rect",0.288409680128098,4,512
"yeast",1,0.309900960326195,"cone",0.320754736661911,2,512
"yeast",0.01,0.306930661201477,"cone",0.320754706859589,32,1024
"yeast",0.01,0.306930661201477,"rect",0.320754736661911,32,1024
"yeast",0.01,0.306930661201477,"cone",0.320754736661911,32,512
"yeast",0.01,0.306930661201477,"rect",0.320754706859589,32,512
"yeast",0.01,0.306930661201477,"rect",0.320754736661911,32,256
"yeast",0.1,0.306930661201477,"cone",0.320754706859589,32,1024
"yeast",0.1,0.306930661201477,"rect",0.320754706859589,32,1024
"yeast",0.1,0.306930661201477,"cone",0.320754736661911,32,512
"yeast",0.1,0.306930661201477,"rect",0.320754706859589,32,512
"yeast",0.1,0.306930661201477,"cone",0.320754736661911,32,256
"yeast",0.1,0.306930661201477,"rect",0.320754736661911,32,256
"yeast",1,0.306930661201477,"cone",0.320754736661911,32,1024
"yeast",1,0.306930661201477,"rect",0.320754706859589,32,1024
"yeast",1,0.306930661201477,"cone",0.320754706859589,32,512
