"dataset","nlayers","nhidden","valAccuracy","learningrate","testAccuracy","layerForm"
"hill-valley",32,1024,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",32,512,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",32,512,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",32,256,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",32,256,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",32,1024,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",32,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",32,256,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",32,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",32,1024,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",32,1024,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",32,512,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",32,256,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",16,1024,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",16,512,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",16,256,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",16,256,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",16,1024,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",16,1024,0.540983557701111,0.1,0.493399381637573,"rect"
"hill-valley",16,512,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",16,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",16,256,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",16,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",16,1024,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",16,512,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",16,512,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",16,256,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",8,1024,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",8,1024,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",8,512,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",8,256,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",8,256,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",8,1024,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",8,1024,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",8,512,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",8,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",8,256,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",8,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",8,1024,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",8,512,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",8,512,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",8,256,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",4,1024,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",4,512,0.540983557701111,0.01,0.493399322032928,"cone"
