"dataset","layerForm","valAccuracy","nhidden","learningrate","testAccuracy","nlayers"
"cylinder-bands","rect",0.817142868041992,512,0.01,0.7578125,3
"cylinder-bands","rect",0.805714297294617,1024,0.01,0.796875,2
"cylinder-bands","rect",0.788571441173554,256,0.01,0.7734375,2
"cylinder-bands","rect",0.780000013113022,1024,0.01,0.671875,8
"cylinder-bands","rect",0.765714299678803,256,0.1,0.765625,2
"cylinder-bands","rect",0.751428586244583,512,0.01,0.78125,4
"cylinder-bands","cone",0.751428586244583,256,0.1,0.609375,4
"cylinder-bands","cone",0.742857158184052,1024,0.01,0.609375,32
"cylinder-bands","cone",0.742857158184052,256,0.01,0.609375,32
"cylinder-bands","cone",0.742857158184052,1024,0.1,0.609375,32
"cylinder-bands","cone",0.742857158184052,512,0.1,0.609375,32
"cylinder-bands","cone",0.742857158184052,1024,1,0.609375,32
"cylinder-bands","rect",0.742857158184052,1024,1,0.609375,32
"cylinder-bands","cone",0.742857158184052,256,1,0.609375,32
"cylinder-bands","cone",0.742857158184052,1024,0.01,0.609375,16
"cylinder-bands","cone",0.742857158184052,256,0.01,0.609375,16
"cylinder-bands","cone",0.742857158184052,1024,0.1,0.609375,16
"cylinder-bands","cone",0.742857158184052,256,0.1,0.609375,16
"cylinder-bands","cone",0.742857158184052,1024,1,0.609375,16
"cylinder-bands","cone",0.742857158184052,512,1,0.609375,16
"cylinder-bands","cone",0.742857158184052,256,1,0.609375,16
"cylinder-bands","cone",0.742857158184052,1024,0.01,0.609375,8
"cylinder-bands","cone",0.742857158184052,512,0.01,0.609375,8
"cylinder-bands","cone",0.742857158184052,256,0.01,0.609375,8
"cylinder-bands","cone",0.742857158184052,1024,0.1,0.609375,8
"cylinder-bands","cone",0.742857158184052,512,0.1,0.609375,8
"cylinder-bands","cone",0.742857158184052,256,0.1,0.609375,8
"cylinder-bands","cone",0.742857158184052,1024,0.01,0.609375,4
"cylinder-bands","cone",0.742857158184052,512,0.1,0.609375,4
"cylinder-bands","rect",0.742857158184052,512,0.1,0.609375,4
"cylinder-bands","cone",0.742857158184052,512,1,0.609375,4
"cylinder-bands","cone",0.742857158184052,256,1,0.609375,4
"cylinder-bands","cone",0.742857158184052,1024,0.01,0.75,3
"cylinder-bands","cone",0.742857158184052,1024,0.1,0.609375,3
"cylinder-bands","cone",0.742857158184052,256,0.1,0.609375,3
"cylinder-bands","cone",0.742857158184052,512,1,0.609375,3
"cylinder-bands","cone",0.742857158184052,256,1,0.609375,3
"cylinder-bands","rect",0.742857158184052,256,1,0.609375,3
"cylinder-bands","rect",0.742857158184052,512,0.01,0.7265625,2
"cylinder-bands","cone",0.742857158184052,256,1,0.609375,2
"cylinder-bands","rect",0.742857158184052,256,1,0.609375,2
"cylinder-bands","cone",0.740000015497208,1024,0.1,0.7421875,2
"cylinder-bands","rect",0.740000015497208,512,0.1,0.7109375,2
"cylinder-bands","cone",0.73428573012352,512,0.01,0.734375,3
"cylinder-bands","cone",0.720000016689301,512,0.1,0.6953125,2
"cylinder-bands","rect",0.7200000166893,512,0.1,0.6796875,3
"cylinder-bands","rect",0.717142874002457,1024,0.01,0.7734375,3
"cylinder-bands","cone",0.711428588628769,1024,0.01,0.8125,2
"cylinder-bands","cone",0.708571445941925,512,0.1,0.65625,3
"cylinder-bands","cone",0.708571445941925,256,0.01,0.7109375,3
"cylinder-bands","cone",0.708571445941925,256,0.1,0.6875,2
"cylinder-bands","rect",0.691428589820862,1024,0.01,0.75,4
"cylinder-bands","cone",0.688571447134018,1024,0.1,0.671875,4
"cylinder-bands","rect",0.688571444153786,512,0.01,0.65625,8
"cylinder-bands","cone",0.685714301466942,512,0.01,0.671875,4
"cylinder-bands","rect",0.680000019073486,256,0.01,0.78125,3
"cylinder-bands","rect",0.680000016093254,256,0.01,0.703125,8
"cylinder-bands","rect",0.674285733699799,256,0.01,0.734375,4
"cylinder-bands","cone",0.674285733699799,512,0.01,0.7265625,2
