"dataset","learningrate","valAccuracy","layerForm","nhidden","nlayers","testAccuracy"
"waveform-noise",0.1,0.329815328121185,"rect",512,8,0.339199990034103
"waveform-noise",0.1,0.329815328121185,"rect",256,8,0.339199960231781
"waveform-noise",1,0.329815328121185,"cone",1024,8,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",1024,8,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",512,8,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",256,8,0.339199990034103
"waveform-noise",0.1,0.329815328121185,"rect",512,4,0.339199960231781
"waveform-noise",1,0.329815328121185,"cone",1024,4,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",512,4,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",512,4,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",256,4,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",256,4,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",1024,3,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",512,3,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",512,3,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",256,3,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",1024,2,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",1024,2,0.339199990034103
"waveform-noise",1,0.329815328121185,"cone",512,2,0.339199960231781
"waveform-noise",1,0.329815328121185,"rect",512,2,0.339199990034103
"waveform-noise",1,0.329815328121185,"rect",256,2,0.339199990034103
