"dataset","learningrate","nhidden","nlayers","valAccuracy","testAccuracy","layerForm"
"seeds",0.01,256,3,0.949999988079071,0.884615421295166,"rect"
"seeds",0.1,512,3,0.949999988079071,0.884615421295166,"cone"
"seeds",0.1,256,3,0.949999988079071,0.884615421295166,"cone"
"seeds",0.01,1024,2,0.949999988079071,0.884615421295166,"cone"
"seeds",0.01,256,2,0.949999988079071,0.903846204280853,"cone"
"seeds",0.01,256,2,0.949999988079071,0.903846204280853,"rect"
"seeds",0.1,256,2,0.949999988079071,0.923076987266541,"cone"
"seeds",0.1,256,2,0.949999988079071,0.903846204280853,"rect"
"seeds",0.01,1024,3,0.944999986886978,0.903846204280853,"cone"
"seeds",0.01,512,2,0.944999986886978,0.846153914928436,"cone"
"seeds",0.1,512,2,0.944999986886978,0.923076987266541,"rect"
"seeds",0.01,1024,4,0.93999999165535,0.865384638309479,"rect"
"seeds",0.01,512,3,0.939999985694885,0.865384638309479,"cone"
"seeds",0.01,1024,3,0.934999984502792,0.884615421295166,"rect"
"seeds",0.1,512,2,0.934999984502792,0.923076987266541,"cone"
"seeds",0.1,1024,2,0.9299999833107,0.903846144676208,"cone"
"seeds",0.01,512,2,0.924999988079071,0.923076987266541,"rect"
"seeds",0.01,1024,2,0.91499999165535,0.846153855323792,"rect"
"seeds",0.1,1024,3,0.914999985694885,0.846153855323792,"cone"
"seeds",0.01,512,4,0.889999997615814,0.903846204280853,"rect"
"seeds",0.01,256,4,0.879999995231629,0.903846204280853,"rect"
"seeds",0.01,512,3,0.854999989271164,0.788461625576019,"rect"
"seeds",0.01,256,4,0.845000022649765,0.826923131942749,"cone"
"seeds",0.01,1024,4,0.775000017881393,0.692307710647583,"cone"
"seeds",0.1,1024,2,0.695000034570694,0.692307710647583,"rect"
"seeds",0.01,512,8,0.5,0.403846174478531,"cone"
"seeds",0.01,512,4,0.449999988079071,0.326923072338104,"cone"
"seeds",1,512,16,0.35,0.346153855323792,"cone"
"seeds",1,512,32,0.349999994039536,0.326923072338104,"cone"
"seeds",1,256,2,0.335000014305115,0.346153855323792,"cone"
"seeds",1,1024,4,0.334999996423721,0.326923102140427,"cone"
"seeds",1,512,2,0.325,0.326923102140427,"cone"
"seeds",1,1024,2,0.319999998807907,0.326923102140427,"cone"
"seeds",1,256,32,0.310000002384186,0.326923102140427,"cone"
"seeds",1,256,4,0.310000002384186,0.326923102140427,"cone"
"seeds",0.01,1024,32,0.300000011920929,0.346153855323792,"cone"
"seeds",0.01,1024,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,512,32,0.300000011920929,0.346153855323792,"cone"
"seeds",0.01,512,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,256,32,0.300000011920929,0.346153855323792,"cone"
"seeds",0.01,256,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,1024,32,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,1024,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,512,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,256,32,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,256,32,0.300000011920929,0.346153855323792,"rect"
"seeds",1,1024,32,0.300000011920929,0.346153855323792,"cone"
"seeds",1,1024,32,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,32,0.300000011920929,0.346153855323792,"rect"
"seeds",1,256,32,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,1024,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,512,16,0.300000011920929,0.346153855323792,"cone"
"seeds",0.01,512,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,256,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,1024,16,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,1024,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,512,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,256,16,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,256,16,0.300000011920929,0.346153855323792,"rect"
"seeds",1,1024,16,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,16,0.300000011920929,0.346153855323792,"rect"
"seeds",1,256,16,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,1024,8,0.300000011920929,0.346153855323792,"cone"
"seeds",0.01,1024,8,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,512,8,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,256,8,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,1024,8,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,1024,8,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,512,8,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,512,8,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,256,8,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,256,8,0.300000011920929,0.346153855323792,"rect"
"seeds",1,1024,8,0.300000011920929,0.346153855323792,"cone"
"seeds",1,1024,8,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,8,0.300000011920929,0.346153855323792,"cone"
"seeds",1,512,8,0.300000011920929,0.346153855323792,"rect"
"seeds",1,256,8,0.300000011920929,0.346153855323792,"cone"
"seeds",1,256,8,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,1024,4,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,512,4,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,512,4,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,256,4,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,4,0.300000011920929,0.346153855323792,"cone"
