"dataset","valAccuracy","learningrate","nhidden","testAccuracy","layerForm","nlayers"
"low-res-spect",0.909523844718933,0.1,1024,0.887217998504639,"cone",3
"low-res-spect",0.897619074583054,0.01,512,0.887218058109283,"cone",2
"low-res-spect",0.892857193946838,0.01,1024,0.894736886024475,"cone",2
"low-res-spect",0.888095319271088,0.01,1024,0.902255654335022,"cone",3
"low-res-spect",0.888095307350159,0.01,512,0.879699230194092,"cone",4
"low-res-spect",0.87857152223587,0.01,1024,0.864661633968353,"cone",4
"low-res-spect",0.878571486473084,0.1,512,0.902255654335022,"rect",2
"low-res-spect",0.876190567016601,0.01,1024,0.902255654335022,"rect",4
"low-res-spect",0.873809587955475,0.1,256,0.872180461883545,"cone",2
"low-res-spect",0.869047677516937,0.01,256,0.887217998504639,"rect",3
"low-res-spect",0.866666746139526,0.01,256,0.894736886024475,"cone",3
"low-res-spect",0.864285790920257,0.01,256,0.902255654335022,"rect",2
"low-res-spect",0.85952388048172,0.01,512,0.909774482250214,"rect",3
"low-res-spect",0.857142925262451,0.01,1024,0.864661693572998,"rect",3
"low-res-spect",0.857142913341522,0.01,256,0.902255654335022,"cone",4
"low-res-spect",0.847619098424912,0.01,512,0.864661693572998,"rect",2
"low-res-spect",0.84047623872757,0.01,256,0.872180461883545,"rect",4
"low-res-spect",0.84047623872757,0.01,256,0.879699230194092,"cone",2
"low-res-spect",0.835714328289032,0.01,512,0.902255654335022,"rect",4
"low-res-spect",0.835714328289032,0.01,1024,0.902255654335022,"rect",2
"low-res-spect",0.830952417850495,0.1,1024,0.872180461883545,"rect",2
"low-res-spect",0.830952417850494,0.01,1024,0.849624037742615,"cone",8
"low-res-spect",0.830952417850494,0.01,512,0.89473682641983,"cone",3
"low-res-spect",0.826190507411957,0.1,1024,0.849624037742615,"cone",2
"low-res-spect",0.819047647714615,0.1,512,0.887218058109283,"cone",2
"low-res-spect",0.816666698455811,0.1,256,0.872180461883545,"rect",2
"low-res-spect",0.61904764175415,0.01,256,0.714285731315613,"cone",8
"low-res-spect",0.44761905670166,0.01,512,0.526315808296204,"cone",8
"low-res-spect",0.428571462631226,0.1,256,0.556391000747681,"cone",32
"low-res-spect",0.428571462631226,0.1,1024,0.556391000747681,"rect",16
"low-res-spect",0.428571462631226,1,1024,0.556391000747681,"rect",16
"low-res-spect",0.428571462631226,1,512,0.556391000747681,"cone",16
"low-res-spect",0.428571462631226,1,1024,0.556391000747681,"rect",8
"low-res-spect",0.428571462631226,1,1024,0.556391000747681,"cone",4
"low-res-spect",0.428571462631226,1,512,0.556391000747681,"rect",4
"low-res-spect",0.428571462631226,0.1,512,0.556391000747681,"cone",3
"low-res-spect",0.428571462631226,0.1,512,0.556391000747681,"rect",3
"low-res-spect",0.428571462631226,0.1,256,0.556390941143036,"cone",3
"low-res-spect",0.190476194024086,0.01,1024,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,0.01,512,0.165413528680801,"cone",32
"low-res-spect",0.190476194024086,0.01,512,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,0.01,256,0.165413528680801,"cone",32
"low-res-spect",0.190476194024086,0.01,256,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,0.1,1024,0.165413543581963,"cone",32
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,0.1,512,0.165413543581963,"cone",32
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,0.1,256,0.165413543581963,"rect",32
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"cone",32
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"rect",32
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"cone",32
"low-res-spect",0.190476194024086,1,512,0.165413543581963,"rect",32
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",32
"low-res-spect",0.190476194024086,1,256,0.165413543581963,"rect",32
"low-res-spect",0.190476194024086,0.01,1024,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,0.01,512,0.165413543581963,"cone",16
"low-res-spect",0.190476194024086,0.01,512,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,0.01,256,0.165413543581963,"cone",16
"low-res-spect",0.190476194024086,0.01,256,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"cone",16
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"cone",16
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,0.1,256,0.165413528680801,"cone",16
"low-res-spect",0.190476194024086,0.1,256,0.165413543581963,"rect",16
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"cone",16
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",16
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"rect",16
"low-res-spect",0.190476194024086,0.01,1024,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,0.01,512,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,0.01,256,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,0.1,1024,0.165413543581963,"cone",8
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,0.1,512,0.165413543581963,"cone",8
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,0.1,256,0.165413528680801,"cone",8
"low-res-spect",0.190476194024086,0.1,256,0.165413543581963,"rect",8
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"cone",8
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"cone",8
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"rect",8
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",8
"low-res-spect",0.190476194024086,1,256,0.165413543581963,"rect",8
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"cone",4
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"rect",4
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"cone",4
"low-res-spect",0.190476194024086,0.1,512,0.165413528680801,"rect",4
"low-res-spect",0.190476194024086,0.1,256,0.165413528680801,"cone",4
"low-res-spect",0.190476194024086,0.1,256,0.165413543581963,"rect",4
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"rect",4
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"cone",4
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",4
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"rect",4
"low-res-spect",0.190476194024086,0.1,1024,0.165413528680801,"rect",3
"low-res-spect",0.190476194024086,0.1,256,0.165413528680801,"rect",3
"low-res-spect",0.190476194024086,1,1024,0.165413543581963,"cone",3
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"rect",3
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"cone",3
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"rect",3
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",3
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"rect",3
"low-res-spect",0.190476194024086,1,1024,0.165413528680801,"cone",2
"low-res-spect",0.190476194024086,1,1024,0.165413543581963,"rect",2
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"cone",2
"low-res-spect",0.190476194024086,1,512,0.165413528680801,"rect",2
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"cone",2
"low-res-spect",0.190476194024086,1,256,0.165413528680801,"rect",2
"low-res-spect",0.0261904776096344,0.01,1024,0.187969923019409,"cone",16
"low-res-spect",0.0238095242530107,0.01,1024,0,"cone",32
