"dataset","valAccuracy","nhidden","layerForm","learningrate","testAccuracy","nlayers"
"balloons",0,1024,"cone",0.01,0,32
"balloons",0,1024,"rect",0.01,0,32
"balloons",0,512,"cone",0.01,0,32
"balloons",0,512,"rect",0.01,0,32
"balloons",0,256,"cone",0.01,0,32
"balloons",0,256,"rect",0.01,0,32
"balloons",0,1024,"cone",0.1,0,32
"balloons",0,1024,"rect",0.1,0,32
"balloons",0,512,"cone",0.1,0,32
"balloons",0,512,"rect",0.1,0,32
"balloons",0,256,"cone",0.1,0,32
"balloons",0,256,"rect",0.1,0,32
"balloons",0,1024,"cone",1,0,32
"balloons",0,1024,"rect",1,0,32
"balloons",0,512,"cone",1,0,32
"balloons",0,512,"rect",1,0,32
"balloons",0,256,"cone",1,0,32
"balloons",0,256,"rect",1,0,32
"balloons",0,1024,"cone",0.01,0,16
"balloons",0,1024,"rect",0.01,0,16
"balloons",0,512,"cone",0.01,0,16
"balloons",0,512,"rect",0.01,0,16
"balloons",0,256,"cone",0.01,0,16
"balloons",0,256,"rect",0.01,0,16
"balloons",0,1024,"cone",0.1,0,16
"balloons",0,1024,"rect",0.1,0,16
"balloons",0,512,"cone",0.1,0,16
"balloons",0,512,"rect",0.1,0,16
"balloons",0,256,"cone",0.1,0,16
"balloons",0,256,"rect",0.1,0,16
"balloons",0,1024,"cone",1,0,16
"balloons",0,1024,"rect",1,0,16
"balloons",0,512,"cone",1,0,16
"balloons",0,512,"rect",1,0,16
"balloons",0,256,"cone",1,0,16
"balloons",0,256,"rect",1,0,16
"balloons",0,1024,"cone",0.01,0,8
"balloons",0,1024,"rect",0.01,0,8
"balloons",0,512,"cone",0.01,0,8
"balloons",0,512,"rect",0.01,0,8
"balloons",0,256,"cone",0.01,0,8
"balloons",0,256,"rect",0.01,0,8
"balloons",0,1024,"cone",0.1,0,8
"balloons",0,1024,"rect",0.1,0,8
"balloons",0,512,"cone",0.1,0,8
"balloons",0,512,"rect",0.1,0,8
"balloons",0,256,"cone",0.1,0,8
"balloons",0,256,"rect",0.1,0,8
"balloons",0,1024,"cone",1,0,8
"balloons",0,1024,"rect",1,0,8
"balloons",0,512,"cone",1,0,8
"balloons",0,512,"rect",1,0,8
"balloons",0,256,"cone",1,0,8
"balloons",0,256,"rect",1,0,8
"balloons",0,1024,"cone",0.01,0,4
"balloons",0,1024,"rect",0.01,0,4
"balloons",0,512,"cone",0.01,0,4
"balloons",0,512,"rect",0.01,0,4
"balloons",0,256,"cone",0.01,0,4
"balloons",0,256,"rect",0.01,0,4
"balloons",0,1024,"cone",0.1,0,4
"balloons",0,1024,"rect",0.1,0,4
"balloons",0,512,"cone",0.1,0,4
"balloons",0,512,"rect",0.1,0,4
"balloons",0,256,"cone",0.1,0,4
"balloons",0,256,"rect",0.1,0,4
"balloons",0,1024,"cone",1,0,4
"balloons",0,1024,"rect",1,0,4
"balloons",0,512,"cone",1,0,4
"balloons",0,512,"rect",1,0,4
"balloons",0,256,"cone",1,0,4
"balloons",0,256,"rect",1,0,4
"balloons",0,1024,"cone",0.01,0,3
"balloons",0,1024,"rect",0.01,0,3
"balloons",0,512,"cone",0.01,0,3
"balloons",0,512,"rect",0.01,0,3
"balloons",0,256,"cone",0.01,0,3
"balloons",0,256,"rect",0.01,0,3
"balloons",0,1024,"cone",0.1,0,3
"balloons",0,1024,"rect",0.1,0,3
"balloons",0,512,"cone",0.1,0,3
"balloons",0,512,"rect",0.1,0,3
"balloons",0,256,"cone",0.1,0,3
"balloons",0,256,"rect",0.1,0,3
"balloons",0,1024,"cone",1,0,3
"balloons",0,1024,"rect",1,0,3
"balloons",0,512,"cone",1,0,3
"balloons",0,512,"rect",1,0,3
"balloons",0,256,"cone",1,0,3
"balloons",0,256,"rect",1,0,3
"balloons",0,1024,"cone",0.01,0,2
"balloons",0,1024,"rect",0.01,0,2
"balloons",0,512,"cone",0.01,0,2
"balloons",0,512,"rect",0.01,0,2
"balloons",0,256,"cone",0.01,0,2
"balloons",0,256,"rect",0.01,0,2
"balloons",0,1024,"cone",0.1,0,2
"balloons",0,1024,"rect",0.1,0,2
"balloons",0,512,"cone",0.1,0,2
"balloons",0,512,"rect",0.1,0,2
"balloons",0,256,"cone",0.1,0,2
"balloons",0,256,"rect",0.1,0,2
"balloons",0,1024,"cone",1,0,2
"balloons",0,1024,"rect",1,0,2
"balloons",0,512,"cone",1,0,2
"balloons",0,512,"rect",1,0,2
"balloons",0,256,"cone",1,0,2
"balloons",0,256,"rect",1,0,2
