"dataset","nhidden","learningrate","nlayers","testAccuracy","valAccuracy","layerForm"
"wine",1024,0.01,4,0.977272748947144,1,"cone"
"wine",1024,0.01,4,0.977272748947144,1,"rect"
"wine",512,0.01,4,0.977272748947144,1,"cone"
"wine",256,0.01,4,0.954545497894287,1,"rect"
"wine",512,0.1,4,0.954545497894287,1,"cone"
"wine",1024,0.01,3,0.909090995788574,1,"cone"
"wine",1024,0.01,3,0.909090995788574,1,"rect"
"wine",512,0.01,3,0.977272748947144,1,"cone"
"wine",512,0.01,3,0.931818246841431,1,"rect"
"wine",256,0.01,3,0.931818246841431,1,"cone"
"wine",256,0.01,3,0.954545497894287,1,"rect"
"wine",1024,0.1,3,0.931818246841431,1,"cone"
"wine",512,0.1,3,0.954545497894287,1,"cone"
"wine",256,0.1,3,1,1,"cone"
"wine",1024,0.01,2,1,1,"cone"
"wine",1024,0.01,2,1,1,"rect"
"wine",512,0.01,2,0.977272748947144,1,"cone"
"wine",512,0.01,2,0.954545497894287,1,"rect"
"wine",256,0.01,2,1,1,"cone"
"wine",256,0.01,2,0.954545497894287,1,"rect"
"wine",1024,0.1,2,0.954545497894287,1,"cone"
"wine",1024,0.1,2,0.977272748947144,1,"rect"
"wine",512,0.1,2,0.954545497894287,1,"cone"
"wine",512,0.1,2,0.931818246841431,1,"rect"
"wine",256,0.1,2,0.954545497894287,1,"cone"
"wine",256,0.1,2,0.977272748947144,1,"rect"
"wine",512,0.01,4,0.954545497894287,0.970588237047195,"rect"
"wine",256,0.1,4,0.954545497894287,0.941176533699036,"cone"
"wine",512,0.1,3,0.909090876579285,0.941176533699036,"rect"
"wine",256,0.01,4,0.727272748947144,0.882352948188782,"cone"
"wine",1024,0.01,32,0.409090936183929,0.588235318660736,"cone"
"wine",512,0.1,32,0.409090936183929,0.588235318660736,"rect"
"wine",256,0.1,32,0.409090936183929,0.588235318660736,"cone"
"wine",256,0.1,32,0.409090936183929,0.588235318660736,"rect"
"wine",1024,1,32,0.409090936183929,0.588235318660736,"cone"
"wine",256,0.01,16,0.409090936183929,0.588235318660736,"rect"
"wine",1024,0.1,16,0.409090936183929,0.588235318660736,"cone"
"wine",512,0.1,16,0.409090936183929,0.588235318660736,"cone"
"wine",256,0.01,8,0.409090936183929,0.588235318660736,"cone"
"wine",512,0.1,8,0.409090936183929,0.588235318660736,"cone"
"wine",512,1,8,0.409090936183929,0.588235318660736,"cone"
"wine",1024,0.1,4,0.409090936183929,0.588235318660736,"cone"
"wine",1024,1,8,0.409090936183929,0.558823552727699,"cone"
"wine",1024,1,3,0.409090936183929,0.558823552727699,"cone"
"wine",512,1,2,0.409090936183929,0.558823552727699,"rect"
"wine",1024,1,16,0.409090936183929,0.529411786794662,"rect"
"wine",512,1,16,0.318181812763214,0.529411786794662,"rect"
"wine",1024,1,4,0.318181812763214,0.529411786794662,"rect"
"wine",1024,1,3,0.409090936183929,0.529411786794662,"rect"
