"dataset","testAccuracy","valAccuracy","layerForm","nhidden","nlayers","learningrate"
"mammographic",0.829166769981384,0.869117653369904,"cone",1024,4,0.01
"mammographic",0.825000107288361,0.854411786794663,"rect",512,4,0.01
"mammographic",0.82916671037674,0.852941197156906,"rect",1024,2,0.1
"mammographic",0.816666781902313,0.850000035762787,"cone",1024,3,0.1
"mammographic",0.816666781902313,0.847058820724487,"cone",512,2,0.01
"mammographic",0.804166734218597,0.844117659330368,"rect",256,2,0.01
"mammographic",0.808333456516266,0.839705902338028,"rect",256,3,0.01
"mammographic",0.812500059604645,0.838235324621201,"rect",512,3,0.01
"mammographic",0.779166758060455,0.838235312700272,"rect",1024,2,0.01
"mammographic",0.787500083446503,0.83676472902298,"cone",256,2,0.01
"mammographic",0.812500059604645,0.836764717102051,"rect",512,2,0.01
"mammographic",0.800000131130219,0.833823549747467,"cone",256,3,0.01
"mammographic",0.837500035762787,0.832352966070175,"cone",1024,2,0.01
"mammographic",0.791666746139526,0.830882370471954,"rect",256,2,0.1
"mammographic",0.750000059604645,0.825000011920929,"rect",512,3,0.1
"mammographic",0.791666746139526,0.823529422283173,"cone",512,4,0.01
"mammographic",0.800000071525574,0.823529422283172,"cone",512,3,0.1
"mammographic",0.825000047683716,0.82058824300766,"rect",512,2,0.1
"mammographic",0.812500059604645,0.819117653369904,"rect",1024,4,0.01
"mammographic",0.795833468437195,0.819117653369904,"cone",512,2,0.1
"mammographic",0.804166734218597,0.817647069692612,"rect",256,4,0.01
"mammographic",0.808333396911621,0.817647063732147,"cone",1024,2,0.1
"mammographic",0.695833325386047,0.811764711141586,"rect",256,3,0.1
"mammographic",0.829166769981384,0.808823525905609,"cone",256,2,0.1
"mammographic",0.816666722297668,0.795588219165802,"cone",256,4,0.1
"mammographic",0.745833456516266,0.794117689132691,"rect",1024,3,0.1
"mammographic",0.583333373069763,0.744117653369904,"rect",1024,3,0.01
"mammographic",0.462500065565109,0.529411792755127,"cone",1024,32,0.01
"mammographic",0.462500035762787,0.529411792755127,"cone",512,8,0.01
"mammographic",0.462500065565109,0.523529437184334,"cone",256,16,0.1
"mammographic",0.462500035762787,0.517647081613541,"rect",256,16,0.1
"mammographic",0.462500035762787,0.511764726042747,"cone",256,3,0.1
"mammographic",0.537500023841858,0.494117659330368,"cone",256,8,1
"mammographic",0.537500023841858,0.482352948188782,"cone",256,16,1
"mammographic",0.537500083446503,0.476470592617989,"cone",256,16,0.01
"mammographic",0.537500023841858,0.476470592617989,"cone",512,4,1
"mammographic",0.537500023841858,0.476470592617989,"rect",512,8,0.01
"mammographic",0.537500023841858,0.476470592617989,"cone",256,8,0.01
"mammographic",0.537500023841858,0.476470592617989,"rect",256,4,0.1
"mammographic",0.537500023841858,0.476470592617989,"cone",1024,4,1
"mammographic",0.537500023841858,0.476470592617989,"cone",512,3,1
"mammographic",0.537500023841858,0.470588237047195,"rect",1024,32,0.01
"mammographic",0.537500083446503,0.470588237047195,"cone",512,32,0.01
"mammographic",0.537500083446503,0.470588237047195,"rect",512,32,0.01
"mammographic",0.537500023841858,0.470588237047195,"cone",256,32,0.01
"mammographic",0.537500023841858,0.470588237047195,"rect",256,32,0.01
"mammographic",0.537500083446503,0.470588237047195,"cone",1024,32,0.1
"mammographic",0.537500023841858,0.470588237047195,"rect",1024,32,0.1
"mammographic",0.537500023841858,0.470588237047195,"cone",512,32,0.1
"mammographic",0.537500023841858,0.470588237047195,"rect",512,32,0.1
"mammographic",0.537500023841858,0.470588237047195,"cone",256,32,0.1
"mammographic",0.537500023841858,0.470588237047195,"rect",256,32,0.1
"mammographic",0.537500083446503,0.470588237047195,"cone",1024,32,1
"mammographic",0.537500023841858,0.470588237047195,"rect",1024,32,1
"mammographic",0.537500083446503,0.470588237047195,"cone",512,32,1
"mammographic",0.537500023841858,0.470588237047195,"rect",512,32,1
"mammographic",0.537500083446503,0.470588237047195,"cone",256,32,1
"mammographic",0.537500023841858,0.470588237047195,"rect",256,32,1
"mammographic",0.537500023841858,0.470588237047195,"cone",1024,16,0.01
"mammographic",0.537500083446503,0.470588237047195,"rect",1024,16,0.01
"mammographic",0.537500023841858,0.470588237047195,"cone",512,16,0.01
"mammographic",0.537500023841858,0.470588237047195,"rect",512,16,0.01
"mammographic",0.537500023841858,0.470588237047195,"rect",256,16,0.01
"mammographic",0.537500023841858,0.470588237047195,"cone",1024,16,0.1
"mammographic",0.537500023841858,0.470588237047195,"rect",1024,16,0.1
"mammographic",0.537500023841858,0.470588237047195,"cone",512,16,0.1
"mammographic",0.537500023841858,0.470588237047195,"rect",512,16,0.1
"mammographic",0.537500083446503,0.470588237047195,"cone",1024,16,1
"mammographic",0.537500083446503,0.470588237047195,"rect",1024,16,1
"mammographic",0.537500023841858,0.470588237047195,"cone",512,16,1
"mammographic",0.537500023841858,0.470588237047195,"rect",512,16,1
