"dataset","learningrate","nhidden","testAccuracy","nlayers","layerForm","valAccuracy"
"pendigits",0.1,256,0.961978197097778,3,"cone",0.997961938381195
"pendigits",0.01,1024,0.963407695293427,4,"rect",0.997554349899292
"pendigits",0.01,512,0.965694665908813,3,"rect",0.997554337978363
"pendigits",0.01,1024,0.964551150798798,2,"cone",0.997418403625488
"pendigits",0.01,1024,0.963121712207794,3,"rect",0.99728262424469
"pendigits",0.1,256,0.963979363441467,3,"rect",0.997010862827301
"pendigits",0.1,1024,0.95740419626236,2,"cone",0.997010815143585
"pendigits",0.1,512,0.965408802032471,2,"cone",0.996874976158142
"pendigits",0.1,512,0.963979423046112,3,"rect",0.996331548690796
"pendigits",0.01,512,0.963979423046112,4,"rect",0.99619562625885
"pendigits",0.01,256,0.970268726348877,2,"rect",0.996059834957123
"pendigits",0.01,512,0.960262954235077,2,"rect",0.995923960208893
"pendigits",0.1,1024,0.961406528949738,2,"rect",0.995652258396149
"pendigits",0.01,256,0.963693499565125,2,"cone",0.995652234554291
"pendigits",0.1,1024,0.960548877716064,4,"cone",0.995652222633362
"pendigits",0.1,1024,0.957118272781372,3,"cone",0.995652186870575
"pendigits",0.01,1024,0.963979363441467,3,"cone",0.99538049697876
"pendigits",0.01,256,0.958547711372375,3,"rect",0.995108699798584
"pendigits",0.01,512,0.958547711372375,4,"cone",0.994972908496857
"pendigits",0.01,512,0.960263013839722,3,"cone",0.994972884654999
"pendigits",0.01,1024,0.965980529785156,2,"rect",0.99497287273407
"pendigits",0.01,256,0.956260740756989,3,"cone",0.994972836971283
"pendigits",0.01,1024,0.96169239282608,4,"cone",0.994701135158539
"pendigits",0.01,512,0.968553483486176,2,"cone",0.994565200805664
"pendigits",0.1,256,0.967695772647858,2,"cone",0.994429433345795
"pendigits",0.01,1024,0.958833575248718,8,"cone",0.99442932009697
"pendigits",0.01,256,0.967123985290527,4,"rect",0.994429302215576
"pendigits",0.01,512,0.952258408069611,8,"cone",0.994293582439423
"pendigits",0.1,512,0.966838240623474,4,"cone",0.994293487071991
