"dataset","learningrate","layerForm","valAccuracy","nhidden","nlayers","testAccuracy"
"chess-krvk",0.01,"cone",0.784990137815476,1024,8,0.767322421073914
"chess-krvk",0.01,"rect",0.773917329311371,256,8,0.787282526493073
"chess-krvk",0.01,"rect",0.758809047937393,512,4,0.765469074249268
"chess-krvk",0.01,"cone",0.739025580883026,512,4,0.739663541316986
"chess-krvk",0.01,"rect",0.736417335271835,1024,4,0.732962608337402
"chess-krvk",0.01,"rect",0.721505916118622,1024,8,0.724835991859436
"chess-krvk",0.1,"rect",0.69581692814827,256,2,0.697604715824127
"chess-krvk",0.01,"rect",0.692814987897873,1024,3,0.663387477397919
"chess-krvk",0.1,"rect",0.68695867061615,512,3,0.689620733261108
"chess-krvk",0.01,"rect",0.680708652734757,256,4,0.663244903087616
"chess-krvk",0.01,"cone",0.6784941136837,512,3,0.677644729614258
"chess-krvk",0.1,"rect",0.676722472906113,512,2,0.674935936927795
"chess-krvk",0.01,"rect",0.669242119789124,512,3,0.651839137077332
"chess-krvk",0.1,"rect",0.666437011957169,1024,2,0.673510134220123
"chess-krvk",0.1,"cone",0.66555118560791,256,3,0.648417472839355
"chess-krvk",0.01,"rect",0.662746065855026,512,2,0.64499568939209
"chess-krvk",0.01,"cone",0.661515778303146,1024,3,0.630738496780396
"chess-krvk",0.1,"cone",0.653395676612854,512,2,0.597947001457214
"chess-krvk",0.01,"cone",0.652952748537064,256,4,0.624037623405457
"chess-krvk",0.01,"rect",0.648769670724869,256,3,0.612204134464264
"chess-krvk",0.01,"cone",0.640354359149933,256,3,0.635158240795135
"chess-krvk",0.01,"cone",0.633562982082367,1024,2,0.614200174808502
"chess-krvk",0.01,"rect",0.631988191604614,1024,2,0.626746416091919
"chess-krvk",0.1,"cone",0.631003952026367,256,4,0.60735672712326
"chess-krvk",0.01,"rect",0.620915335416794,512,8,0.606786370277405
"chess-krvk",0.1,"rect",0.620373994112015,256,3,0.612061560153961
"chess-krvk",0.01,"cone",0.620324802398682,1024,4,0.610635817050934
"chess-krvk",0.1,"cone",0.611515736579895,1024,2,0.592386603355408
"chess-krvk",0.01,"rect",0.610137796401978,256,2,0.598659813404083
"chess-krvk",0.1,"cone",0.602706676721573,256,2,0.588252067565918
"chess-krvk",0.01,"cone",0.59448818564415,256,2,0.587111532688141
"chess-krvk",0.01,"cone",0.576181066036224,256,8,0.586398601531982
"chess-krvk",0.01,"cone",0.570127934217453,512,2,0.573709726333618
"chess-krvk",0.1,"cone",0.469094488024712,1024,4,0.447533518075943
"chess-krvk",0.1,"cone",0.465600395202637,1024,3,0.45737099647522
"chess-krvk",1,"cone",0.462106302380562,256,2,0.449101805686951
"chess-krvk",0.1,"rect",0.438435044884682,256,4,0.416025042533875
"chess-krvk",0.1,"cone",0.422440949082375,512,4,0.40618759393692
"chess-krvk",0.1,"cone",0.327214565873146,512,3,0.319503843784332
"chess-krvk",0.1,"rect",0.220620079338551,1024,3,0.215141162276268
