"dataset","nhidden","valAccuracy","learningrate","layerForm","testAccuracy","nlayers"
"abalone",512,0.654333311319351,0.01,"cone",0.63505744934082,3
"abalone",512,0.652666670084,0.01,"rect",0.636015355587006,4
"abalone",256,0.64300000667572,0.1,"rect",0.629310369491577,2
"abalone",1024,0.640666657686234,0.01,"cone",0.632183909416199,2
"abalone",1024,0.639999985694885,0.01,"rect",0.613026857376099,3
"abalone",1024,0.637666660547257,0.1,"rect",0.649425268173218,2
"abalone",256,0.63466665148735,0.01,"rect",0.652298927307129,3
"abalone",512,0.632333326339722,0.01,"rect",0.628352522850037,2
"abalone",256,0.631666666269302,0.01,"rect",0.619731783866882,4
"abalone",512,0.629666662216187,0.1,"rect",0.618773937225342,2
"abalone",512,0.628666663169861,0.1,"cone",0.627394676208496,2
"abalone",512,0.625666660070419,0.01,"rect",0.618773937225342,3
"abalone",256,0.625333321094513,0.01,"cone",0.62547892332077,3
"abalone",1024,0.621333342790604,0.1,"cone",0.636973142623901,2
"abalone",256,0.618000000715256,0.1,"cone",0.640804588794708,2
"abalone",1024,0.617333334684372,0.01,"rect",0.636015355587006,4
"abalone",256,0.616666674613953,0.01,"rect",0.633141815662384,2
"abalone",256,0.615333342552185,0.01,"cone",0.643678188323975,2
"abalone",1024,0.614666676521301,0.01,"cone",0.623563230037689,4
"abalone",512,0.614000010490418,0.1,"cone",0.632183909416199,4
"abalone",1024,0.605000019073486,0.01,"rect",0.637931048870087,2
"abalone",1024,0.604000014066696,0.01,"cone",0.622605323791504,3
"abalone",512,0.591666680574417,0.01,"cone",0.626436769962311,2
"abalone",256,0.589666676521301,0.01,"cone",0.636015295982361,4
"abalone",512,0.572999984025955,0.01,"cone",0.613984644412994,8
"abalone",256,0.555666613578796,0.01,"rect",0.52777773141861,8
"abalone",512,0.383333295583725,0.01,"cone",0.316091924905777,32
"abalone",256,0.348333317041397,1,"cone",0.347701132297516,16
"abalone",256,0.334333324432373,0.1,"cone",0.347701132297516,8
"abalone",512,0.334333321452141,0.1,"cone",0.346743255853653,3
"abalone",512,0.334333321452141,0.1,"rect",0.347701102495193,3
"abalone",512,0.334333321452141,1,"rect",0.347701102495193,3
"abalone",256,0.333333322405815,0.01,"cone",0.347701132297516,32
"abalone",512,0.324333328008652,1,"cone",0.347701102495193,32
"abalone",1024,0.320333328843117,0.1,"rect",0.347701132297516,4
"abalone",256,0.319333329796791,1,"rect",0.336206883192062,3
"abalone",256,0.318333333730698,1,"cone",0.336206912994385,8
"abalone",1024,0.318333330750465,1,"rect",0.347701102495193,4
"abalone",1024,0.318333330750465,1,"cone",0.347701102495193,3
"abalone",1024,0.31733333170414,1,"rect",0.347701102495193,2
"abalone",512,0.313333332538605,0.1,"cone",0.347701132297516,32
"abalone",512,0.313333332538605,0.01,"cone",0.347701132297516,16
"abalone",256,0.313333332538605,0.01,"cone",0.347701132297516,16
"abalone",1024,0.313333332538605,0.1,"cone",0.347701102495193,16
"abalone",1024,0.313333332538605,0.01,"cone",0.347701102495193,8
"abalone",1024,0.313333332538605,0.1,"cone",0.347701132297516,8
"abalone",512,0.313333332538605,0.01,"cone",0.347701132297516,4
"abalone",1024,0.313333332538605,0.1,"cone",0.347701132297516,3
"abalone",256,0.313333332538605,0.1,"cone",0.347701132297516,3
"abalone",256,0.312333333492279,1,"cone",0.336206883192062,32
"abalone",256,0.312333333492279,0.1,"cone",0.347701132297516,16
"abalone",512,0.312333333492279,1,"cone",0.347701132297516,16
"abalone",512,0.312333333492279,1,"cone",0.347701132297516,4
"abalone",1024,0.303333342075348,0.01,"cone",0.336206912994385,32
"abalone",1024,0.303333342075348,0.01,"rect",0.336206883192062,32
"abalone",512,0.303333342075348,0.01,"rect",0.336206883192062,32
"abalone",256,0.303333342075348,0.01,"rect",0.336206912994385,32
"abalone",1024,0.303333342075348,0.1,"cone",0.336206912994385,32
"abalone",1024,0.303333342075348,0.1,"rect",0.336206883192062,32
"abalone",512,0.303333342075348,0.1,"rect",0.336206912994385,32
"abalone",256,0.303333342075348,0.1,"cone",0.336206883192062,32
