"dataset","nlayers","valAccuracy","learningrate","layerForm","nhidden","testAccuracy"
"twonorm",3,0.975555527210236,0.01,"cone",512,0.972972989082336
"twonorm",2,0.975555527210236,0.01,"cone",512,0.973513603210449
"twonorm",4,0.974814784526825,0.01,"rect",256,0.975675761699677
"twonorm",3,0.974259221553802,0.01,"cone",256,0.97189199924469
"twonorm",8,0.97370365858078,0.01,"rect",512,0.977297306060791
"twonorm",2,0.973333323001862,0.01,"rect",512,0.970270335674286
"twonorm",2,0.973333323001862,0.1,"cone",512,0.978378415107727
"twonorm",2,0.973148107528687,0.1,"rect",1024,0.976216197013855
"twonorm",3,0.972777760028839,0.1,"cone",1024,0.977297306060791
"twonorm",8,0.97222216129303,0.01,"rect",1024,0.975135087966919
"twonorm",3,0.971851825714111,0.01,"rect",512,0.976756870746613
"twonorm",2,0.971666646003723,0.01,"rect",1024,0.972973048686981
"twonorm",3,0.971296274662018,0.1,"rect",512,0.972432434558868
"twonorm",4,0.971111059188843,0.01,"cone",256,0.973513543605804
"twonorm",4,0.970740711688995,0.01,"rect",512,0.970270276069641
"twonorm",3,0.970555526018143,0.1,"cone",256,0.975675642490387
"twonorm",2,0.969814813137055,0.1,"cone",1024,0.976756811141968
"twonorm",2,0.969814765453339,0.01,"cone",1024,0.975135207176208
"twonorm",3,0.968888866901398,0.1,"cone",512,0.975135207176208
"twonorm",3,0.968333303928375,0.1,"rect",256,0.972972989082336
"twonorm",2,0.968148130178452,0.01,"rect",256,0.976756751537323
"twonorm",8,0.967962920665741,0.01,"rect",256,0.977297306060791
"twonorm",2,0.967036998271942,0.1,"rect",512,0.977837920188904
"twonorm",2,0.966666620969772,0.1,"cone",256,0.972432374954224
"twonorm",2,0.966481482982635,0.1,"rect",256,0.975675702095032
"twonorm",4,0.965925920009613,0.1,"cone",1024,0.976756811141968
"twonorm",4,0.965185153484345,0.01,"rect",1024,0.975675761699677
"twonorm",3,0.964999985694885,0.01,"rect",256,0.972432494163513
"twonorm",3,0.964629638195038,0.01,"cone",1024,0.977837920188904
"twonorm",2,0.9640740275383,0.01,"cone",256,0.97351348400116
"twonorm",3,0.963518488407135,0.01,"rect",1024,0.969729781150818
"twonorm",8,0.50000005364418,1,"rect",1024,0.500540554523468
"twonorm",16,0.500000047683716,0.01,"rect",1024,0.500540554523468
"twonorm",32,0.500000041723251,0.01,"rect",512,0.500540554523468
"twonorm",16,0.500000041723251,0.01,"rect",512,0.500540614128113
"twonorm",2,0.500000041723251,1,"rect",1024,0.500540614128113
"twonorm",32,0.500000035762787,0.1,"cone",1024,0.500540554523468
"twonorm",8,0.500000035762787,0.1,"rect",1024,0.500540554523468
"twonorm",3,0.500000035762787,0.1,"rect",1024,0.500540554523468
"twonorm",2,0.500000035762787,1,"rect",512,0.500540614128113
"twonorm",8,0.500000032782555,1,"cone",1024,0.500540554523468
"twonorm",32,0.500000029802322,0.01,"rect",256,0.500540614128113
"twonorm",16,0.500000029802322,0.1,"rect",256,0.500540554523468
"twonorm",3,0.500000029802322,1,"cone",512,0.500540554523468
"twonorm",32,0.500000029802322,0.1,"rect",256,0.500540554523468
"twonorm",8,0.500000029802322,0.1,"rect",256,0.500540554523468
"twonorm",2,0.500000029802322,1,"rect",256,0.500540554523468
"twonorm",4,0.50000002682209,0.1,"cone",256,0.500540554523468
"twonorm",32,0.500000023841858,0.01,"rect",1024,0.500540614128113
"twonorm",32,0.500000023841858,0.1,"rect",1024,0.500540614128113
"twonorm",32,0.500000023841858,1,"cone",512,0.500540614128113
"twonorm",32,0.500000023841858,1,"rect",256,0.500540614128113
"twonorm",4,0.500000023841858,0.1,"rect",512,0.500540554523468
"twonorm",3,0.500000023841858,1,"cone",1024,0.500540614128113
"twonorm",8,0.500000023841858,1,"rect",256,0.500540614128113
"twonorm",32,0.500000020861626,0.1,"rect",512,0.500540554523468
"twonorm",32,0.500000020861626,0.1,"cone",256,0.500540614128113
"twonorm",16,0.500000020861626,0.01,"cone",256,0.500540554523468
"twonorm",8,0.500000020861626,0.1,"cone",256,0.500540614128113
"twonorm",32,0.500000020861626,0.1,"cone",512,0.500540554523468
"twonorm",16,0.500000020861626,0.1,"cone",512,0.499459475278854
"twonorm",8,0.500000020861626,0.01,"cone",512,0.500540614128113
"twonorm",4,0.500000020861626,0.1,"rect",256,0.500540614128113
