"dataset","layerForm","valAccuracy","nlayers","learningrate","nhidden","testAccuracy"
"soybean","rect",0.939393997192383,8,0.01,1024,0.853723406791687
"soybean","rect",0.939393997192383,4,0.01,1024,0.835106372833252
"soybean","cone",0.939393997192383,4,0.01,512,0.827127635478973
"soybean","rect",0.939393997192383,4,0.01,256,0.864361643791199
"soybean","rect",0.933333384990692,3,0.1,1024,0.904255330562592
"soybean","rect",0.930303072929382,8,0.01,512,0.853723406791687
"soybean","cone",0.927272748947144,3,0.01,1024,0.856382966041565
"soybean","rect",0.921212148666382,2,0.01,512,0.840425491333008
"soybean","cone",0.921212136745453,3,0.1,1024,0.875
"soybean","rect",0.918181812763214,2,0.1,1024,0.880319118499756
"soybean","cone",0.915151512622833,2,0.01,512,0.819148898124695
"soybean","rect",0.90909093618393,3,0.01,512,0.840425491333008
"soybean","rect",0.909090924263001,2,0.1,512,0.88829779624939
"soybean","rect",0.909090876579285,4,0.01,512,0.848404228687286
"soybean","rect",0.909090876579285,3,0.01,1024,0.83776593208313
"soybean","rect",0.909090876579285,3,0.01,256,0.864361643791199
"soybean","rect",0.906060600280762,2,0.01,256,0.843085050582886
"soybean","cone",0.906060576438904,3,0.01,512,0.803191483020782
"soybean","rect",0.903030300140381,2,0.1,256,0.936170160770416
"soybean","cone",0.903030276298523,2,0.1,256,0.880319118499756
"soybean","rect",0.896969676017761,8,0.01,256,0.83776593208313
"soybean","cone",0.896969676017761,3,0.1,512,0.875
"soybean","cone",0.896969676017761,2,0.01,1024,0.874999940395355
"soybean","cone",0.896969676017761,2,0.01,256,0.861702084541321
"soybean","cone",0.896969676017761,2,0.1,512,0.890957415103912
"soybean","rect",0.89393937587738,2,0.01,1024,0.848404169082642
"soybean","cone",0.890909075737,2,0.1,1024,0.88829779624939
"soybean","cone",0.887878775596619,3,0.01,256,0.821808457374573
"soybean","cone",0.875757575035095,4,0.01,1024,0.859042525291443
"soybean","cone",0.875757575035095,3,0.1,256,0.853723347187042
"soybean","cone",0.860606074333191,8,0.01,512,0.771276593208313
"soybean","cone",0.848484861850739,4,0.1,256,0.744680881500244
"soybean","rect",0.845454549789429,3,0.1,512,0.803191542625427
"soybean","cone",0.842424273490906,4,0.01,256,0.848404288291931
"soybean","cone",0.842424249649048,8,0.01,256,0.789893627166748
"soybean","rect",0.830303061008454,3,0.1,256,0.835106432437897
"soybean","rect",0.787878799438477,4,0.1,512,0.702127635478973
"soybean","cone",0.557575768232346,4,0.1,512,0.542553246021271
"soybean","cone",0.212121218442917,16,0.01,512,0.135638296604156
"soybean","cone",0.212121218442917,4,0.1,1024,0.135638296604156
"soybean","rect",0.181818187236786,32,0.1,256,0.135638296604156
"soybean","cone",0.181818187236786,8,0.01,1024,0.135638296604156
"soybean","cone",0.151515156030655,32,0.1,512,0.138297870755196
"soybean","rect",0.151515156030655,4,0.1,1024,0.138297870755196
"soybean","rect",0.142424246668816,2,1,1024,0.135638296604156
"soybean","cone",0.121212124824524,32,1,256,0.138297870755196
"soybean","cone",0.115151518583298,8,1,256,0.138297870755196
"soybean","rect",0.115151518583298,4,1,1024,0.138297870755196
"soybean","rect",0.103030306100845,3,1,256,0.127659574151039
"soybean","rect",0.0696969717741013,4,1,256,0.127659574151039
"soybean","cone",0.060606062412262,32,0.1,256,0.127659574151039
"soybean","cone",0.060606062412262,3,1,1024,0.127659574151039
"soybean","cone",0.060606062412262,3,1,512,0.127659574151039
"soybean","rect",0.060606062412262,3,1,512,0.127659574151039
"soybean","cone",0.030303031206131,32,0.01,512,0.0239361710846424
"soybean","rect",0.0151515156030655,4,0.1,256,0.138297870755196
"soybean","cone",0.0060606062412262,2,1,1024,0.0425531901419163
"soybean","cone",0,32,0.01,1024,0.0664893612265587
"soybean","rect",0,32,0.01,1024,0.0664893612265587
"soybean","rect",0,32,0.01,512,0.0664893612265587
"soybean","cone",0,32,0.01,256,0.0664893612265587
"soybean","rect",0,32,0.01,256,0.0664893612265587
"soybean","cone",0,32,0.1,1024,0.0664893612265587
"soybean","rect",0,32,0.1,1024,0.0664893612265587
"soybean","rect",0,32,0.1,512,0.0664893612265587
"soybean","cone",0,32,1,1024,0.0664893612265587
"soybean","rect",0,32,1,1024,0.0664893612265587
"soybean","cone",0,32,1,512,0.0664893612265587
"soybean","rect",0,32,1,512,0.0664893612265587
"soybean","rect",0,32,1,256,0.0664893612265587
"soybean","cone",0,16,0.01,1024,0.0664893612265587
"soybean","rect",0,16,0.01,1024,0.0664893612265587
"soybean","rect",0,16,0.01,512,0.0664893612265587
"soybean","cone",0,16,0.01,256,0.0664893612265587
"soybean","rect",0,16,0.01,256,0.0664893612265587
"soybean","cone",0,16,0.1,1024,0.0664893612265587
"soybean","rect",0,16,0.1,1024,0.0664893612265587
"soybean","cone",0,16,0.1,512,0.0664893612265587
"soybean","rect",0,16,0.1,512,0.0664893612265587
"soybean","cone",0,16,0.1,256,0.0664893612265587
"soybean","rect",0,16,0.1,256,0.0664893612265587
"soybean","cone",0,16,1,1024,0.0664893612265587
"soybean","rect",0,16,1,1024,0.0664893612265587
"soybean","cone",0,16,1,512,0.0664893612265587
"soybean","rect",0,16,1,512,0.0664893612265587
"soybean","cone",0,16,1,256,0.0664893612265587
"soybean","rect",0,16,1,256,0.0664893612265587
"soybean","cone",0,8,0.1,1024,0.0664893612265587
"soybean","rect",0,8,0.1,1024,0.0664893612265587
"soybean","cone",0,8,0.1,512,0.0664893612265587
"soybean","rect",0,8,0.1,512,0.0664893612265587
"soybean","cone",0,8,0.1,256,0.0664893612265587
"soybean","rect",0,8,0.1,256,0.0664893612265587
"soybean","cone",0,8,1,1024,0.0664893612265587
"soybean","rect",0,8,1,1024,0.0664893612265587
"soybean","cone",0,8,1,512,0.0664893612265587
"soybean","rect",0,8,1,512,0.0664893612265587
"soybean","rect",0,8,1,256,0.0664893612265587
"soybean","cone",0,4,1,1024,0.0664893612265587
"soybean","cone",0,4,1,512,0.0664893612265587
"soybean","rect",0,4,1,512,0.0664893612265587
"soybean","cone",0,4,1,256,0.0664893612265587
"soybean","rect",0,3,1,1024,0.0664893612265587
"soybean","cone",0,3,1,256,0.0664893612265587
"soybean","cone",0,2,1,512,0.0505319163203239
"soybean","rect",0,2,1,512,0.0664893612265587
"soybean","cone",0,2,1,256,0.0664893612265587
"soybean","rect",0,2,1,256,0.0664893612265587
