"dataset","valAccuracy","nhidden","nlayers","learningrate","testAccuracy","layerForm"
"energy-y1",0.9515625,1024,2,0.01,0.901041746139526,"rect"
"energy-y1",0.94375,512,4,0.01,0.921875059604645,"rect"
"energy-y1",0.934375,1024,3,0.01,0.947916746139526,"rect"
"energy-y1",0.934375,512,2,0.01,0.890625,"rect"
"energy-y1",0.934375,512,3,0.01,0.916666746139526,"rect"
"energy-y1",0.9296875,256,2,0.1,0.869791746139526,"cone"
"energy-y1",0.91875,256,3,0.01,0.916666746139526,"cone"
"energy-y1",0.9109375,256,3,0.01,0.864583432674408,"rect"
"energy-y1",0.909375,512,4,0.01,0.885416746139526,"cone"
"energy-y1",0.909375,1024,2,0.01,0.921875,"cone"
"energy-y1",0.90625,1024,3,0.01,0.890625059604645,"cone"
"energy-y1",0.9015625,512,3,0.1,0.885416686534882,"cone"
"energy-y1",0.8890625,256,2,0.01,0.859375059604645,"rect"
"energy-y1",0.8859375,512,2,0.1,0.885416746139526,"cone"
"energy-y1",0.884375,256,2,0.1,0.875,"rect"
"energy-y1",0.8828125,1024,8,0.01,0.843750059604645,"rect"
"energy-y1",0.8828125,256,2,0.01,0.854166686534882,"cone"
"energy-y1",0.8765625,1024,4,0.01,0.864583373069763,"rect"
"energy-y1",0.875,512,2,0.01,0.916666746139526,"cone"
"energy-y1",0.8703125,1024,4,0.01,0.848958373069763,"cone"
"energy-y1",0.8671875,256,4,0.01,0.885416686534882,"rect"
"energy-y1",0.8640625,1024,2,0.1,0.864583373069763,"cone"
"energy-y1",0.8515625,256,4,0.1,0.875,"cone"
"energy-y1",0.8296875,1024,3,0.1,0.817708313465118,"cone"
"energy-y1",0.825,512,2,0.1,0.864583373069763,"rect"
"energy-y1",0.8078125,512,4,0.1,0.822916686534882,"cone"
"energy-y1",0.778125,256,3,0.1,0.833333373069763,"rect"
"energy-y1",0.734375,1024,2,0.1,0.817708373069763,"rect"
"energy-y1",0.71875,512,8,0.01,0.8125,"cone"
"energy-y1",0.703125,512,3,0.1,0.817708373069763,"rect"
"energy-y1",0.6625,1024,16,0.01,0.703125,"cone"
"energy-y1",0.4765625,512,3,0.01,0.354166686534882,"cone"
"energy-y1",0.390625,1024,32,0.01,0.473958373069763,"cone"
"energy-y1",0.390625,1024,32,0.01,0.473958373069763,"rect"
"energy-y1",0.390625,512,32,0.01,0.473958373069763,"cone"
"energy-y1",0.390625,512,32,0.01,0.473958373069763,"rect"
"energy-y1",0.390625,256,32,0.01,0.473958373069763,"rect"
"energy-y1",0.390625,1024,32,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,32,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,512,32,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,512,32,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,256,32,0.1,0.473958402872086,"cone"
"energy-y1",0.390625,256,32,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,1024,32,1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,32,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,32,1,0.473958373069763,"cone"
"energy-y1",0.390625,512,32,1,0.473958343267441,"rect"
"energy-y1",0.390625,256,32,1,0.473958373069763,"cone"
"energy-y1",0.390625,256,32,1,0.473958343267441,"rect"
"energy-y1",0.390625,1024,16,0.01,0.473958373069763,"rect"
"energy-y1",0.390625,512,16,0.01,0.473958373069763,"cone"
"energy-y1",0.390625,512,16,0.01,0.473958402872086,"rect"
"energy-y1",0.390625,256,16,0.01,0.473958373069763,"cone"
"energy-y1",0.390625,256,16,0.01,0.473958343267441,"rect"
