"dataset","nhidden","learningrate","nlayers","testAccuracy","valAccuracy","layerForm"
"primary-tumor",1024,1,4,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,1,4,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,1,4,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,1,4,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,1,4,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,1,4,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",1024,1,3,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,1,3,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,1,3,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,1,3,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,1,3,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,1,3,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",1024,1,2,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",1024,1,2,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,1,2,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",512,1,2,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",256,1,2,0.304878056049347,0.290322571992874,"cone"
"primary-tumor",256,1,2,0.304878056049347,0.290322571992874,"rect"
"primary-tumor",512,0.01,8,0.353658527135849,0.290322571992874,"cone"
"primary-tumor",512,0.1,3,0.378048777580261,0.287096765637398,"cone"
"primary-tumor",1024,0.01,8,0.304878056049347,0.274193540215492,"cone"
"primary-tumor",256,0.01,8,0.195121943950653,0.264516121149063,"cone"
"primary-tumor",512,0.01,16,0.0121951214969158,0.0354838699102402,"rect"
