"dataset","layerForm","nhidden","testAccuracy","valAccuracy","learningrate","nlayers"
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.01,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.1,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,8
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","rect",512,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,0.1,4
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,4
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",256,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,3
"pittsburg-bridges-TYPE","cone",1024,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","rect",1024,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","cone",512,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","rect",256,0.15384615957737,0.333333343267441,1,2
"pittsburg-bridges-TYPE","cone",512,0.0769230797886848,0.16666667163372,0.01,32
"pittsburg-bridges-TYPE","cone",1024,0.0769230797886848,0,0.01,32
"pittsburg-bridges-TYPE","cone",512,0.0769230797886848,0,0.01,8
