"dataset","nlayers","learningrate","layerForm","nhidden","testAccuracy","valAccuracy"
"wine-quality-white",4,0.1,"rect",512,0.0040849675424397,0
"wine-quality-white",4,1,"cone",1024,0.0040849675424397,0
"wine-quality-white",4,1,"rect",1024,0.0040849675424397,0
"wine-quality-white",4,1,"cone",512,0.0040849675424397,0
"wine-quality-white",4,1,"rect",512,0.0040849675424397,0
"wine-quality-white",4,1,"rect",256,0.0040849675424397,0
"wine-quality-white",3,1,"cone",1024,0.0040849675424397,0
"wine-quality-white",3,1,"rect",1024,0.0040849675424397,0
"wine-quality-white",3,1,"cone",512,0.0040849675424397,0
"wine-quality-white",3,1,"rect",512,0.0040849675424397,0
"wine-quality-white",3,1,"cone",256,0.0040849675424397,0
"wine-quality-white",3,1,"rect",256,0.0040849675424397,0
"wine-quality-white",2,1,"cone",1024,0.0040849675424397,0
"wine-quality-white",2,1,"rect",1024,0.0040849675424397,0
"wine-quality-white",2,1,"cone",512,0.0040849675424397,0
"wine-quality-white",2,1,"rect",512,0.0040849675424397,0
"wine-quality-white",2,1,"rect",256,0.0040849675424397,0
