"dataset","nhidden","layerForm","learningrate","nlayers","testAccuracy","valAccuracy"
"heart-va",256,"cone",0.1,3,0.219999998807907,0.578571462631226
"heart-va",512,"rect",0.1,2,0.259999990463257,0.528571456670761
"heart-va",512,"cone",0.01,3,0.319999992847443,0.521428593993187
"heart-va",1024,"cone",0.1,3,0.339999973773956,0.514285737276077
"heart-va",512,"cone",0.1,2,0.379999995231628,0.514285731315613
"heart-va",1024,"rect",0.01,8,0.319999992847443,0.500000014901161
"heart-va",256,"cone",0.1,2,0.359999984502792,0.492857161164284
"heart-va",512,"rect",0.01,2,0.279999971389771,0.492857158184052
"heart-va",1024,"rect",0.01,3,0.280000001192093,0.478571447730064
"heart-va",256,"rect",0.01,3,0.299999982118607,0.478571444749832
"heart-va",1024,"cone",0.01,2,0.319999992847443,0.464285731315613
"heart-va",512,"rect",0.01,4,0.359999984502792,0.442857158184052
"heart-va",512,"cone",0.01,2,0.439999997615814,0.442857155203819
"heart-va",256,"rect",0.1,2,0.299999982118607,0.435714307427406
"heart-va",1024,"cone",0.1,2,0.459999978542328,0.435714304447174
"heart-va",512,"cone",0.01,4,0.379999995231628,0.435714301466942
"heart-va",256,"rect",0.01,4,0.340000003576279,0.435714295506477
"heart-va",512,"cone",0.1,3,0.319999992847443,0.414285738766193
"heart-va",512,"rect",0.01,3,0.339999973773956,0.414285725355148
"heart-va",1024,"rect",0.01,2,0.319999992847443,0.4071428835392
"heart-va",1024,"cone",0.01,4,0.219999983906746,0.407142877578735
"heart-va",256,"cone",0.01,2,0.299999982118607,0.400000014901161
"heart-va",1024,"rect",0.1,2,0.339999973773956,0.392857161164284
"heart-va",1024,"rect",0.01,32,0.239999979734421,0.357142865657806
"heart-va",512,"cone",0.01,32,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.01,32,0.239999979734421,0.357142865657806
"heart-va",256,"cone",0.01,32,0.239999979734421,0.357142865657806
"heart-va",256,"rect",0.01,32,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",0.1,32,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",0.1,32,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.1,32,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",1,32,0.239999979734421,0.357142865657806
"heart-va",512,"cone",1,32,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,32,0.239999979734421,0.357142865657806
"heart-va",256,"rect",1,32,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",0.01,16,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",0.01,16,0.239999979734421,0.357142865657806
"heart-va",512,"cone",0.01,16,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.01,16,0.239999979734421,0.357142865657806
"heart-va",256,"cone",0.01,16,0.239999979734421,0.357142865657806
"heart-va",256,"rect",0.01,16,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",0.1,16,0.239999979734421,0.357142865657806
"heart-va",512,"cone",0.1,16,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.1,16,0.239999979734421,0.357142865657806
"heart-va",256,"cone",0.1,16,0.239999979734421,0.357142865657806
"heart-va",256,"rect",0.1,16,0.239999979734421,0.357142865657806
"heart-va",512,"cone",1,16,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,16,0.239999979734421,0.357142865657806
"heart-va",256,"rect",1,16,0.239999979734421,0.357142865657806
"heart-va",512,"cone",0.01,8,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.01,8,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",0.1,8,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",0.1,8,0.239999979734421,0.357142865657806
"heart-va",512,"cone",0.1,8,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.1,8,0.239999979734421,0.357142865657806
"heart-va",256,"rect",0.1,8,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",1,8,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",1,8,0.239999979734421,0.357142865657806
"heart-va",512,"cone",1,8,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,8,0.239999979734421,0.357142865657806
"heart-va",256,"cone",1,8,0.239999979734421,0.357142865657806
"heart-va",256,"rect",1,8,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",0.1,4,0.239999979734421,0.357142865657806
"heart-va",512,"rect",0.1,4,0.239999979734421,0.357142865657806
"heart-va",256,"rect",0.1,4,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",1,4,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",1,4,0.239999979734421,0.357142865657806
"heart-va",512,"cone",1,4,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,4,0.239999979734421,0.357142865657806
"heart-va",256,"rect",1,4,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",1,3,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",1,3,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,3,0.239999979734421,0.357142865657806
"heart-va",256,"cone",1,3,0.239999979734421,0.357142865657806
"heart-va",256,"rect",1,3,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",1,2,0.239999979734421,0.357142865657806
"heart-va",1024,"rect",1,2,0.239999979734421,0.357142865657806
"heart-va",512,"cone",1,2,0.239999979734421,0.357142865657806
"heart-va",512,"rect",1,2,0.239999979734421,0.357142865657806
"heart-va",1024,"cone",0.1,4,0.239999979734421,0.350000008940697
"heart-va",1024,"rect",0.01,4,0.319999992847443,0.335714301466942
"heart-va",256,"rect",0.1,32,0.239999979734421,0.314285725355148
"heart-va",256,"cone",1,2,0.319999992847443,0.314285725355148
"heart-va",256,"rect",0.01,2,0.359999984502792,0.307142868638039
"heart-va",256,"rect",0.1,3,0.339999973773956,0.300000006705523
"heart-va",1024,"cone",0.01,3,0.439999997615814,0.292857159674168
"heart-va",256,"rect",0.01,8,0.359999984502792,0.28571429848671
"heart-va",256,"cone",0.01,4,0.199999988079071,0.28571429848671
"heart-va",1024,"rect",0.1,3,0.179999992251396,0.271428583562374
"heart-va",512,"cone",0.1,32,0.200000002980232,0.26428572833538
"heart-va",512,"cone",1,3,0.319999992847443,0.250000007450581
"heart-va",1024,"cone",0.01,8,0.199999988079071,0.221428582072258
"heart-va",1024,"rect",1,32,0.239999979734421,0.221428579092026
"heart-va",256,"cone",0.01,8,0.200000002980232,0.214285731315613
"heart-va",512,"rect",0.1,3,0.200000002980232,0.214285731315613
"heart-va",256,"cone",0.1,4,0.200000002980232,0.207142873108387
"heart-va",1024,"rect",1,16,0.239999979734421,0.20714286416769
"heart-va",256,"cone",1,16,0.319999992847443,0.185714292526245
"heart-va",256,"cone",1,4,0.319999992847443,0.185714292526245
"heart-va",1024,"rect",0.1,16,0.319999992847443,0.178571440279484
"heart-va",1024,"cone",1,16,0.319999992847443,0.171428579092026
"heart-va",256,"cone",1,32,0.319999992847443,0.1642857208848
"heart-va",256,"rect",1,2,0.319999992847443,0.1642857208848
"heart-va",1024,"cone",0.01,32,0.319999992847443,0.142857149243355
"heart-va",256,"cone",0.1,32,0.319999992847443,0.142857149243355
"heart-va",256,"cone",0.1,8,0.319999992847443,0.142857149243355
"heart-va",512,"cone",0.1,4,0.319999992847443,0.142857149243355
"heart-va",256,"cone",0.01,3,0.319999992847443,0.142857149243355
