"dataset","nhidden","layerForm","valAccuracy","testAccuracy","nlayers","learningrate"
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,4,0.1
"heart-hungarian",512,"rect",0.600000023841858,0.643835604190826,4,0.1
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,4,0.1
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",512,"cone",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",512,"rect",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",256,"cone",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,4,1
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",512,"cone",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",512,"rect",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",256,"cone",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,3,1
"heart-hungarian",1024,"cone",0.600000023841858,0.643835604190826,2,1
"heart-hungarian",1024,"rect",0.600000023841858,0.643835604190826,2,1
"heart-hungarian",256,"cone",0.600000023841858,0.643835604190826,2,1
"heart-hungarian",256,"rect",0.600000023841858,0.643835604190826,2,1
"heart-hungarian",512,"cone",0.400000005960465,0.356164395809174,32,0.01
"heart-hungarian",256,"cone",0.400000005960465,0.356164395809174,16,0.01
"heart-hungarian",1024,"cone",0.400000005960465,0.356164395809174,4,0.01
"heart-hungarian",512,"cone",0.400000005960465,0.356164395809174,4,0.01
