"dataset","learningrate","nlayers","nhidden","testAccuracy","layerForm","valAccuracy"
"miniboone",0.1,4,256,0.280600249767303,"rect",0.284519255161285
"miniboone",1,4,1024,0.280600249767303,"rect",0.284519255161285
"miniboone",1,4,512,0.280600249767303,"cone",0.284519255161285
"miniboone",1,4,512,0.280600249767303,"rect",0.284519255161285
"miniboone",1,4,256,0.280600249767303,"cone",0.284519255161285
"miniboone",1,4,256,0.280600249767303,"rect",0.284519255161285
"miniboone",0.1,3,1024,0.280600279569626,"rect",0.284519255161285
"miniboone",0.1,3,512,0.280600249767303,"rect",0.284519255161285
"miniboone",1,3,1024,0.280600249767303,"cone",0.284519255161285
"miniboone",1,3,1024,0.280600249767303,"rect",0.284519255161285
"miniboone",1,3,512,0.280600249767303,"rect",0.284519255161285
"miniboone",1,2,512,0.280600249767303,"cone",0.284519255161285
"miniboone",1,2,512,0.280600249767303,"rect",0.284519255161285
"miniboone",1,2,256,0.280600279569626,"cone",0.284519255161285
"miniboone",1,2,256,0.280600249767303,"rect",0.284519255161285
