"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nlayers","nhidden"
"spect","rect",0.428571462631226,0.1,0.548387110233307,32,512
"spect","cone",0.428571462631226,0.1,0.548387050628662,32,256
"spect","rect",0.428571462631226,0.1,0.548387110233307,32,256
"spect","cone",0.428571462631226,1,0.548387110233307,32,1024
"spect","rect",0.428571462631226,1,0.548387110233307,32,1024
"spect","cone",0.428571462631226,1,0.548387050628662,32,512
"spect","rect",0.428571462631226,1,0.548387050628662,32,512
"spect","cone",0.428571462631226,1,0.548387110233307,32,256
"spect","rect",0.428571462631226,1,0.548387110233307,32,256
"spect","rect",0.428571462631226,0.01,0.548387110233307,16,1024
"spect","rect",0.428571462631226,0.01,0.548387050628662,16,512
"spect","rect",0.428571462631226,0.01,0.548387110233307,16,256
"spect","rect",0.428571462631226,0.1,0.548387110233307,16,1024
"spect","cone",0.428571462631226,0.1,0.548387110233307,16,512
"spect","rect",0.428571462631226,0.1,0.548387110233307,16,512
"spect","cone",0.428571462631226,0.1,0.548387110233307,16,256
"spect","rect",0.428571462631226,0.1,0.548387050628662,16,256
"spect","cone",0.428571462631226,1,0.548387110233307,16,1024
"spect","rect",0.428571462631226,1,0.548387110233307,16,1024
"spect","cone",0.428571462631226,1,0.548387110233307,16,512
"spect","rect",0.428571462631226,1,0.548387050628662,16,512
"spect","rect",0.428571462631226,1,0.548387110233307,16,256
"spect","rect",0.428571462631226,0.01,0.548387050628662,8,1024
"spect","cone",0.428571462631226,0.01,0.548387110233307,8,512
"spect","rect",0.428571462631226,0.01,0.548387110233307,8,512
"spect","cone",0.428571462631226,0.01,0.548387050628662,8,256
"spect","rect",0.428571462631226,0.01,0.548387050628662,8,256
"spect","rect",0.428571462631226,0.1,0.548387110233307,8,1024
"spect","cone",0.428571462631226,0.1,0.548387050628662,8,512
"spect","rect",0.428571462631226,0.1,0.548387110233307,8,512
"spect","cone",0.428571462631226,0.1,0.548387110233307,8,256
"spect","rect",0.428571462631226,0.1,0.548387110233307,8,256
"spect","cone",0.428571462631226,1,0.548387110233307,8,1024
"spect","rect",0.428571462631226,1,0.548387110233307,8,1024
"spect","cone",0.428571462631226,1,0.548387110233307,8,512
"spect","rect",0.428571462631226,1,0.548387110233307,8,512
"spect","cone",0.428571462631226,1,0.548387110233307,8,256
"spect","rect",0.428571462631226,1,0.548387110233307,8,256
"spect","cone",0.428571462631226,0.1,0.548387110233307,4,1024
"spect","rect",0.428571462631226,0.1,0.548387110233307,4,1024
"spect","cone",0.428571462631226,0.1,0.543010771274567,4,512
"spect","rect",0.428571462631226,0.1,0.548387050628662,4,512
"spect","cone",0.428571462631226,0.1,0.548387050628662,4,256
"spect","rect",0.428571462631226,0.1,0.548387110233307,4,256
"spect","cone",0.428571462631226,1,0.548387110233307,4,1024
"spect","rect",0.428571462631226,1,0.548387110233307,4,1024
"spect","rect",0.428571462631226,1,0.548387110233307,4,512
"spect","cone",0.428571462631226,1,0.548387050628662,4,256
"spect","rect",0.428571462631226,1,0.548387050628662,4,256
"spect","cone",0.428571462631226,0.01,0.526881694793701,3,1024
"spect","cone",0.428571462631226,0.1,0.548387110233307,3,1024
"spect","cone",0.428571462631226,0.1,0.548387050628662,3,512
"spect","rect",0.428571462631226,0.1,0.548387110233307,3,512
"spect","cone",0.428571462631226,1,0.548387050628662,3,1024
"spect","rect",0.428571462631226,1,0.548387110233307,3,1024
"spect","cone",0.428571462631226,1,0.548387110233307,3,512
"spect","rect",0.428571462631226,1,0.548387110233307,3,256
"spect","cone",0.428571462631226,1,0.548387050628662,2,1024
"spect","rect",0.428571462631226,1,0.548387110233307,2,1024
"spect","cone",0.428571462631226,1,0.548387110233307,2,512
"spect","rect",0.428571462631226,1,0.548387110233307,2,512
"spect","rect",0.428571462631226,1,0.548387050628662,2,256
