"dataset","nlayers","testAccuracy","valAccuracy","layerForm","learningrate","nhidden"
"ringnorm",2,0.97189199924469,0.985895133018494,"rect",0.01,1024
"ringnorm",3,0.9718918800354,0.982278561592102,"cone",0.01,1024
"ringnorm",2,0.969729781150818,0.981916856765747,"cone",0.01,1024
"ringnorm",2,0.978378474712372,0.981193524599075,"cone",0.1,1024
"ringnorm",4,0.965405464172363,0.981012719869614,"cone",0.01,512
"ringnorm",2,0.96648645401001,0.97956605553627,"rect",0.01,256
"ringnorm",3,0.976756870746613,0.978300255537033,"cone",0.01,256
"ringnorm",2,0.971351265907288,0.977938580513001,"cone",0.01,256
"ringnorm",3,0.970810830593109,0.977757686376572,"rect",0.01,512
"ringnorm",3,0.963783860206604,0.977215242385864,"rect",0.01,256
"ringnorm",2,0.976216316223145,0.975768607854843,"cone",0.1,256
"ringnorm",3,0.955135107040405,0.975587755441666,"cone",0.1,1024
"ringnorm",8,0.963243305683136,0.97558770775795,"rect",0.01,1024
"ringnorm",4,0.968648731708527,0.975226122140884,"cone",0.1,1024
"ringnorm",4,0.967567563056946,0.975226074457169,"rect",0.01,512
"ringnorm",2,0.967567622661591,0.973960238695145,"cone",0.01,512
"ringnorm",4,0.97459465265274,0.973417735099793,"cone",0.01,1024
"ringnorm",3,0.974594593048096,0.973236912488938,"cone",0.01,512
"ringnorm",2,0.974054098129272,0.972875267267227,"rect",0.01,512
"ringnorm",3,0.965946018695831,0.972875243425369,"rect",0.01,1024
"ringnorm",4,0.964864909648895,0.971971076726914,"rect",0.01,256
"ringnorm",4,0.962162137031555,0.971428602933884,"rect",0.1,256
"ringnorm",3,0.966486573219299,0.970705282688141,"cone",0.1,256
"ringnorm",2,0.963243246078491,0.969801151752472,"rect",0.1,256
"ringnorm",2,0.96918922662735,0.969620275497436,"cone",0.1,512
"ringnorm",8,0.961621582508087,0.969077771902084,"rect",0.01,256
"ringnorm",4,0.972432434558868,0.967992842197418,"rect",0.01,1024
"ringnorm",2,0.968108177185059,0.967088639736176,"rect",0.1,512
"ringnorm",3,0.942702651023865,0.966546136140824,"rect",0.1,512
"ringnorm",16,0.954594612121582,0.965461134910583,"cone",0.01,512
"ringnorm",3,0.944864869117737,0.959493684768677,"rect",0.1,1024
"ringnorm",3,0.960540533065796,0.958770370483399,"cone",0.1,512
"ringnorm",3,0.953513503074646,0.958770364522934,"rect",0.1,256
"ringnorm",2,0.953513562679291,0.952802914381027,"rect",0.1,1024
"ringnorm",8,0.942702651023865,0.951356273889542,"rect",0.01,512
"ringnorm",4,0.915675699710846,0.948282134532929,"cone",0.1,512
"ringnorm",2,0.858918964862823,0.896745043992996,"cone",1,256
"ringnorm",32,0.504864931106567,0.500904142856598,"cone",0.01,1024
"ringnorm",32,0.504864931106567,0.500904142856598,"cone",0.01,512
"ringnorm",32,0.504864931106567,0.500904142856598,"cone",0.01,256
"ringnorm",32,0.504864931106567,0.500904142856598,"cone",0.1,512
"ringnorm",32,0.504864871501923,0.500904142856598,"cone",0.1,256
"ringnorm",16,0.504864931106567,0.500904142856598,"cone",0.01,1024
"ringnorm",16,0.504864931106567,0.500904142856598,"cone",0.1,1024
"ringnorm",16,0.504864931106567,0.500904142856598,"rect",0.1,1024
"ringnorm",16,0.504864871501923,0.500904142856598,"cone",0.1,512
"ringnorm",16,0.504864871501923,0.500904142856598,"cone",0.1,256
"ringnorm",8,0.504864931106567,0.500904142856598,"cone",0.01,1024
"ringnorm",8,0.504864871501923,0.500904142856598,"cone",0.01,512
"ringnorm",8,0.504864931106567,0.500904142856598,"cone",0.01,256
"ringnorm",8,0.504864931106567,0.500904142856598,"cone",0.1,1024
"ringnorm",4,0.504864931106567,0.500904142856598,"cone",0.01,256
"ringnorm",4,0.504864931106567,0.500904142856598,"rect",0.1,1024
"ringnorm",4,0.504864931106567,0.500904142856598,"rect",0.1,512
"ringnorm",4,0.504864931106567,0.500904142856598,"cone",0.1,256
"ringnorm",16,0.504864931106567,0.500723317265511,"cone",1,512
"ringnorm",16,0.504864931106567,0.500723317265511,"cone",1,256
"ringnorm",3,0.495135128498077,0.500723311305046,"rect",1,1024
"ringnorm",32,0.504864931106567,0.500542491674423,"cone",1,512
"ringnorm",32,0.504864931106567,0.500542485713959,"cone",1,1024
"ringnorm",32,0.4951351583004,0.500542485713959,"cone",1,256
"ringnorm",32,0.504864931106567,0.500361666083336,"rect",1,1024
"ringnorm",8,0.504864931106567,0.500361660122871,"cone",1,256
"ringnorm",4,0.504864871501923,0.50018082857132,"cone",1,256
"ringnorm",8,0.504864931106567,0.500000002980232,"cone",1,512
"ringnorm",4,0.504864931106567,0.500000002980232,"cone",1,512
"ringnorm",16,0.495135128498077,0.499999997019768,"cone",1,1024
"ringnorm",32,0.495135128498077,0.499095886945725,"rect",0.01,1024
"ringnorm",32,0.495135128498077,0.499095886945725,"rect",1,512
"ringnorm",3,0.495135128498077,0.499095886945725,"cone",1,256
"ringnorm",2,0.495135128498077,0.499095886945725,"rect",1,256
"ringnorm",32,0.495135128498077,0.49909588098526,"rect",0.01,256
"ringnorm",32,0.495135128498077,0.49909588098526,"rect",0.1,1024
