"dataset","valAccuracy","nlayers","learningrate","nhidden","layerForm","testAccuracy"
"trains",1,8,0.01,256,"cone",0.5
"trains",1,8,0.1,1024,"cone",0.5
"trains",1,8,0.1,512,"cone",0.5
"trains",1,8,0.1,256,"cone",0.5
"trains",1,8,1,1024,"cone",0.5
"trains",1,4,0.01,1024,"cone",0.5
"trains",1,4,0.01,1024,"rect",0.5
"trains",1,4,0.01,512,"rect",0.5
"trains",1,4,0.01,256,"cone",0.5
"trains",1,4,0.01,256,"rect",0.5
"trains",1,4,0.1,1024,"cone",0.5
"trains",1,4,0.1,1024,"rect",0.5
"trains",1,4,0.1,512,"cone",0.5
"trains",1,4,0.1,512,"rect",0.5
"trains",1,4,0.1,256,"cone",0.5
"trains",1,4,0.1,256,"rect",0.5
"trains",1,4,1,1024,"cone",0.5
"trains",1,4,1,1024,"rect",0.5
"trains",1,4,1,512,"cone",0.5
"trains",1,4,1,512,"rect",0.5
"trains",1,4,1,256,"cone",0.5
"trains",1,4,1,256,"rect",0.5
"trains",1,3,0.01,1024,"cone",0.5
"trains",1,3,0.01,1024,"rect",0.5
"trains",1,3,0.01,512,"cone",0.5
"trains",1,3,0.01,512,"rect",0.5
"trains",1,3,0.01,256,"cone",0.5
"trains",1,3,0.01,256,"rect",0.5
"trains",1,3,0.1,1024,"cone",0.5
"trains",1,3,0.1,1024,"rect",0.5
"trains",1,3,0.1,512,"cone",0.5
"trains",1,3,0.1,512,"rect",0.5
"trains",1,3,0.1,256,"cone",0.5
"trains",1,3,0.1,256,"rect",0.5
"trains",1,3,1,1024,"cone",0.5
"trains",1,3,1,1024,"rect",0.5
"trains",1,3,1,512,"cone",0.5
"trains",1,3,1,512,"rect",0.5
"trains",1,3,1,256,"cone",0.5
"trains",1,3,1,256,"rect",0.5
"trains",1,2,0.01,1024,"cone",0.5
"trains",1,2,0.01,1024,"rect",0.5
"trains",1,2,0.01,512,"cone",0.5
"trains",1,2,0.01,512,"rect",0.5
"trains",1,2,0.01,256,"cone",0.5
"trains",1,2,0.01,256,"rect",0.5
"trains",1,2,0.1,1024,"cone",0.5
"trains",1,2,0.1,1024,"rect",0.5
"trains",1,2,0.1,512,"cone",0.5
"trains",1,2,0.1,512,"rect",0.5
"trains",1,2,0.1,256,"cone",0.5
"trains",1,2,0.1,256,"rect",0.5
"trains",1,2,1,1024,"cone",0.5
"trains",1,2,1,1024,"rect",0.5
"trains",1,2,1,512,"cone",0.5
"trains",1,2,1,512,"rect",0.5
"trains",1,2,1,256,"cone",0.5
"trains",1,2,1,256,"rect",0.5
"trains",0.7,16,1,1024,"cone",0.5
"trains",0.7,16,1,512,"cone",0.5
"trains",0.6,32,1,256,"cone",0.5
"trains",0.6,16,1,1024,"rect",0.5
"trains",0.6,8,1,512,"rect",0.5
"trains",0.5,32,1,1024,"cone",0.5
"trains",0.5,32,1,512,"cone",0.5
"trains",0.5,32,1,256,"rect",0.5
"trains",0.5,16,1,256,"cone",0.5
"trains",0.5,16,1,256,"rect",0.5
"trains",0.5,8,1,1024,"rect",0.5
"trains",0.5,8,1,512,"cone",0.5
"trains",0.5,8,1,256,"cone",0.5
"trains",0.4,8,1,256,"rect",0.5
"trains",0.3,32,1,1024,"rect",0.5
"trains",0.3,32,1,512,"rect",0.5
"trains",0.3,16,1,512,"rect",0.5
"trains",0,32,0.01,1024,"cone",0.5
"trains",0,32,0.01,1024,"rect",0.5
"trains",0,32,0.01,512,"cone",0.5
"trains",0,32,0.01,512,"rect",0.5
"trains",0,32,0.01,256,"cone",0.5
"trains",0,32,0.01,256,"rect",0.5
"trains",0,32,0.1,1024,"cone",0.5
"trains",0,32,0.1,1024,"rect",0.5
"trains",0,32,0.1,512,"cone",0.5
"trains",0,32,0.1,512,"rect",0.5
"trains",0,32,0.1,256,"cone",0.5
"trains",0,32,0.1,256,"rect",0.5
"trains",0,16,0.01,1024,"cone",0.5
"trains",0,16,0.01,1024,"rect",0.5
"trains",0,16,0.01,512,"cone",0.5
"trains",0,16,0.01,512,"rect",0.5
"trains",0,16,0.01,256,"cone",0.5
"trains",0,16,0.01,256,"rect",0.5
"trains",0,16,0.1,1024,"cone",0.5
"trains",0,16,0.1,1024,"rect",0.5
"trains",0,16,0.1,512,"cone",0.5
"trains",0,16,0.1,512,"rect",0.5
"trains",0,16,0.1,256,"cone",0.5
"trains",0,16,0.1,256,"rect",0.5
"trains",0,8,0.01,1024,"cone",0.5
"trains",0,8,0.01,1024,"rect",0.5
"trains",0,8,0.01,512,"cone",0.5
"trains",0,8,0.01,512,"rect",0.5
"trains",0,8,0.01,256,"rect",0.5
"trains",0,8,0.1,1024,"rect",0.5
"trains",0,8,0.1,512,"rect",0.5
"trains",0,8,0.1,256,"rect",0.5
"trains",0,4,0.01,512,"cone",0.5
