"dataset","valAccuracy","nlayers","nhidden","learningrate","testAccuracy","layerForm"
"statlog-vehicle",0.272463762760162,8,512,1,0.255924165248871,"rect"
"statlog-vehicle",0.272463762760162,4,1024,1,0.251184850931168,"rect"
"statlog-vehicle",0.271014487743378,16,1024,1,0.251184821128845,"rect"
"statlog-vehicle",0.268115939199924,3,256,1,0.251184850931168,"rect"
"statlog-vehicle",0.266666662693024,16,1024,1,0.255924195051193,"cone"
"statlog-vehicle",0.263768112659454,32,1024,0.01,0.251184850931168,"rect"
"statlog-vehicle",0.263768112659454,32,1024,1,0.251184850931168,"rect"
"statlog-vehicle",0.260869562625885,32,1024,1,0.251184850931168,"cone"
"statlog-vehicle",0.260869562625885,3,1024,1,0.255924195051193,"rect"
"statlog-vehicle",0.259420293569565,16,256,1,0.255924195051193,"rect"
"statlog-vehicle",0.2594202876091,2,512,1,0.331753551959991,"rect"
"statlog-vehicle",0.257971012592316,32,256,1,0.251184850931168,"rect"
"statlog-vehicle",0.252173915505409,8,256,1,0.232227474451065,"rect"
"statlog-vehicle",0.252173912525177,32,1024,0.1,0.251184821128845,"rect"
"statlog-vehicle",0.249275362491608,32,256,0.1,0.260663509368896,"rect"
"statlog-vehicle",0.246376812458038,16,1024,0.1,0.255924165248871,"rect"
"statlog-vehicle",0.246376812458038,16,512,1,0.251184821128845,"cone"
"statlog-vehicle",0.246376812458038,8,1024,1,0.260663509368896,"cone"
"statlog-vehicle",0.244927537441254,32,256,1,0.232227474451065,"cone"
"statlog-vehicle",0.24202898144722,2,256,1,0.260663539171219,"rect"
"statlog-vehicle",0.239130437374115,16,256,1,0.260663509368896,"cone"
"statlog-vehicle",0.236231887340546,32,256,0.1,0.251184821128845,"cone"
"statlog-vehicle",0.220289862155914,16,512,1,0.260663509368896,"rect"
"statlog-vehicle",0.211594212055206,32,512,0.1,0.260663509368896,"cone"
"statlog-vehicle",0.210144940018654,2,1024,1,0.260663509368896,"rect"
"statlog-vehicle",0.19710146188736,32,1024,0.1,0.260663509368896,"cone"
"statlog-vehicle",0.188405811786652,32,1024,0.01,0.260663509368896,"cone"
