"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"breast-cancer",0.01,"cone",3,0.704225301742554,512,0.666666686534881
"breast-cancer",0.1,"rect",3,0.718309879302979,256,0.666666686534881
"breast-cancer",0.1,"rect",2,0.619718313217163,512,0.661904793977737
"breast-cancer",0.01,"rect",4,0.661971807479858,1024,0.661904782056808
"breast-cancer",0.01,"rect",2,0.619718253612518,1024,0.661904782056808
"breast-cancer",1,"cone",3,0.690140843391418,1024,0.6571428835392
"breast-cancer",0.1,"rect",2,0.661971807479858,1024,0.657142880558968
"breast-cancer",0.01,"cone",2,0.704225301742554,256,0.652380973100662
"breast-cancer",0.01,"rect",8,0.577464818954468,1024,0.647619092464447
"breast-cancer",0.01,"cone",3,0.676056265830994,256,0.647619092464447
"breast-cancer",0.01,"rect",2,0.661971747875214,512,0.647619068622589
"breast-cancer",0.1,"rect",4,0.676056325435638,256,0.64285717010498
"breast-cancer",0.01,"rect",16,0.732394337654114,512,0.633333367109299
"breast-cancer",1,"rect",2,0.690140843391418,256,0.63333335518837
"breast-cancer",1,"rect",4,0.704225301742554,256,0.628571444749832
"breast-cancer",0.1,"cone",8,0.647887289524078,1024,0.600000029802322
"breast-cancer",0.01,"rect",8,0.690140783786774,256,0.580952405929565
"breast-cancer",1,"rect",3,0.267605632543564,256,0.561904779076576
"breast-cancer",0.01,"rect",8,0.647887349128723,512,0.552380979061127
"breast-cancer",1,"rect",4,0.704225301742554,1024,0.542857158184052
