"dataset","learningrate","valAccuracy","nlayers","testAccuracy","layerForm","nhidden"
"breast-tissue",1,0.655555576086044,3,0.692307770252228,"cone",512
"breast-tissue",0.1,0.655555576086044,2,0.538461565971375,"cone",1024
"breast-tissue",0.1,0.655555573105812,3,0.576923131942749,"cone",512
"breast-tissue",0.1,0.644444465637207,8,0.538461565971375,"rect",512
"breast-tissue",0.1,0.644444462656975,2,0.5,"cone",512
"breast-tissue",0.1,0.63333335518837,4,0.615384697914124,"cone",256
"breast-tissue",0.01,0.63333335518837,3,0.538461565971375,"rect",512
"breast-tissue",0.1,0.63333335518837,3,0.576923131942749,"cone",256
"breast-tissue",0.01,0.633333352208137,16,0.615384697914124,"rect",512
"breast-tissue",1,0.633333352208137,4,0.538461565971375,"cone",256
"breast-tissue",0.1,0.633333352208137,3,0.615384638309479,"rect",256
"breast-tissue",0.1,0.633333349227905,4,0.576923131942749,"cone",512
"breast-tissue",0.1,0.622222244739532,8,0.692307710647583,"cone",1024
"breast-tissue",0.01,0.622222244739532,4,0.538461565971375,"rect",1024
"breast-tissue",0.1,0.6222222417593,4,0.576923131942749,"cone",1024
"breast-tissue",0.1,0.611111131310463,3,0.423076927661896,"rect",1024
"breast-tissue",0.1,0.600000020861626,2,0.538461565971375,"rect",1024
"breast-tissue",1,0.600000017881393,4,0.615384697914124,"cone",1024
"breast-tissue",0.1,0.588888907432556,4,0.5,"rect",256
"breast-tissue",0.01,0.577777802944183,16,0.538461565971375,"cone",1024
"breast-tissue",0.1,0.577777802944183,4,0.46153849363327,"rect",512
"breast-tissue",0.1,0.566666686534882,2,0.46153849363327,"rect",512
"breast-tissue",0.1,0.555555573105812,3,0.5,"rect",512
"breast-tissue",0.01,0.55555557012558,16,0.5,"rect",1024
"breast-tissue",1,0.55555557012558,4,0.576923131942749,"cone",512
"breast-tissue",0.1,0.544444462656975,8,0.46153849363327,"cone",512
"breast-tissue",0.1,0.511111125349998,4,0.538461565971375,"rect",1024
"breast-tissue",0.1,0.511111122369766,16,0.538461565971375,"cone",512
"breast-tissue",0.01,0.500000014901161,8,0.46153849363327,"rect",512
"breast-tissue",0.1,0.500000008940697,8,0.538461565971375,"cone",256
"breast-tissue",1,0.455555565655231,2,0.230769246816635,"rect",256
"breast-tissue",0.1,0.422222232818603,8,0.500000059604645,"rect",1024
"breast-tissue",1,0.422222225368023,8,0.346153855323792,"cone",512
"breast-tissue",0.1,0.400000002980232,16,0.423076957464218,"rect",1024
"breast-tissue",0.01,0.388888891786337,32,0.46153849363327,"rect",256
"breast-tissue",0.01,0.377777788043022,16,0.192307710647583,"cone",256
"breast-tissue",0.1,0.36666667163372,32,0.423076957464218,"rect",1024
"breast-tissue",0.1,0.355555561184883,16,0.192307710647583,"rect",256
"breast-tissue",1,0.344444447755814,32,0.423076957464218,"cone",256
"breast-tissue",1,0.311111114919186,8,0.423076957464218,"cone",1024
"breast-tissue",1,0.266666670143604,3,0.192307710647583,"rect",512
"breast-tissue",1,0.244444447755814,2,0.115384623408318,"cone",1024
"breast-tissue",1,0.23333333581686,3,0.192307710647583,"cone",256
"breast-tissue",1,0.222222224622965,2,0.192307710647583,"rect",1024
"breast-tissue",1,0.222222224622965,2,0.115384623408318,"cone",512
"breast-tissue",0.01,0.222222223877907,32,0.269230782985687,"cone",1024
"breast-tissue",0.01,0.222222223877907,32,0.192307710647583,"cone",512
"breast-tissue",0.01,0.222222223877907,32,0.15384615957737,"cone",256
"breast-tissue",1,0.222222223877907,32,0.192307710647583,"rect",1024
"breast-tissue",0.1,0.222222223877907,16,0.192307710647583,"cone",1024
"breast-tissue",1,0.222222223877907,8,0.192307710647583,"rect",256
"breast-tissue",1,0.222222223877907,3,0.15384615957737,"rect",256
"breast-tissue",1,0.211111114174128,8,0.307692348957062,"cone",256
"breast-tissue",1,0.211111112684011,4,0.269230782985687,"rect",1024
"breast-tissue",1,0.211111112684011,4,0.15384615957737,"rect",256
"breast-tissue",1,0.211111112684011,16,0.15384615957737,"rect",1024
"breast-tissue",1,0.200000002235174,3,0.192307710647583,"rect",1024
"breast-tissue",1,0.200000001490116,4,0.115384623408318,"rect",512
"breast-tissue",0.1,0.200000001490116,32,0.192307710647583,"rect",256
"breast-tissue",1,0.200000001490116,32,0.192307710647583,"cone",1024
"breast-tissue",1,0.200000001490116,32,0.15384615957737,"rect",256
"breast-tissue",1,0.200000001490116,8,0.192307710647583,"rect",1024
"breast-tissue",1,0.188888890296221,2,0.115384623408318,"rect",512
"breast-tissue",0.01,0.188888890296221,32,0.15384615957737,"rect",1024
"breast-tissue",0.01,0.188888890296221,32,0.15384615957737,"rect",512
"breast-tissue",1,0.188888890296221,8,0.192307710647583,"rect",512
"breast-tissue",1,0.1777777813375,3,0.115384623408318,"cone",1024
"breast-tissue",1,0.177777779102325,16,0.15384615957737,"rect",512
"breast-tissue",1,0.177777779102325,32,0.192307710647583,"cone",512
"breast-tissue",1,0.177777779102325,16,0.269230782985687,"cone",512
"breast-tissue",0.1,0.16666666790843,32,0.269230782985687,"rect",512
"breast-tissue",1,0.16666666790843,32,0.192307710647583,"rect",512
"breast-tissue",1,0.16666666790843,16,0.15384615957737,"rect",256
"breast-tissue",0.1,0.155555556714535,32,0.15384615957737,"cone",256
"breast-tissue",0.1,0.133333334326744,32,0.192307710647583,"cone",512
"breast-tissue",0.1,0.133333334326744,16,0.15384615957737,"rect",512
"breast-tissue",1,0.133333334326744,16,0.15384615957737,"cone",1024
"breast-tissue",1,0.133333334326744,16,0.15384615957737,"cone",256
"breast-tissue",0.1,0.111111111938953,32,0.15384615957737,"cone",1024
"breast-tissue",0.1,0.0666666671633721,16,0.192307710647583,"cone",256
