"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nlayers","nhidden"
"ionosphere","rect",0.971428573131561,0.1,0.943181872367859,3,1024
"ionosphere","rect",0.945714288949967,0.01,0.852272748947144,4,256
"ionosphere","rect",0.942857146263123,0.1,0.909090876579285,2,256
"ionosphere","cone",0.937142860889435,1,0.897727310657501,2,256
"ionosphere","cone",0.928571432828903,0.01,0.909090876579285,3,1024
"ionosphere","rect",0.917142862081528,0.1,0.909090936183929,4,512
"ionosphere","rect",0.917142862081528,0.1,0.931818127632141,3,256
"ionosphere","cone",0.917142862081528,0.1,0.897727251052856,2,512
"ionosphere","rect",0.914285719394684,0.1,0.818181812763214,16,512
"ionosphere","rect",0.914285719394684,0.1,0.886363625526428,8,256
"ionosphere","rect",0.914285719394684,0.01,0.897727251052856,4,1024
"ionosphere","cone",0.914285719394684,0.1,0.886363625526428,4,1024
"ionosphere","rect",0.914285719394684,0.1,0.943181753158569,4,256
"ionosphere","cone",0.914285719394684,0.01,0.863636374473572,3,512
"ionosphere","rect",0.914285719394684,0.01,0.863636374473572,3,256
"ionosphere","cone",0.914285719394684,0.1,0.931818127632141,3,1024
"ionosphere","rect",0.914285719394684,0.1,0.909090876579285,3,512
"ionosphere","rect",0.914285719394684,0.01,0.931818187236786,2,1024
"ionosphere","cone",0.914285719394684,0.01,0.897727251052856,2,512
"ionosphere","cone",0.914285719394684,0.1,0.931818187236786,2,1024
"ionosphere","rect",0.914285719394684,0.1,0.931818246841431,2,512
"ionosphere","rect",0.900000005960465,0.1,0.920454621315002,4,1024
"ionosphere","rect",0.894285720586777,0.01,0.886363625526428,2,256
"ionosphere","cone",0.888571435213089,1,0.920454621315002,2,512
"ionosphere","rect",0.885714292526245,0.01,0.840909063816071,16,512
"ionosphere","rect",0.885714292526245,0.01,0.863636374473572,8,1024
"ionosphere","cone",0.885714292526245,0.01,0.818181872367859,8,512
"ionosphere","rect",0.885714292526245,0.1,0.909090876579285,8,512
"ionosphere","cone",0.885714292526245,0.1,0.829545497894287,8,256
"ionosphere","rect",0.885714292526245,0.01,0.897727251052856,4,512
"ionosphere","cone",0.885714292526245,0.1,0.886363625526428,4,256
"ionosphere","rect",0.885714292526245,0.01,0.920454502105713,3,1024
"ionosphere","rect",0.885714292526245,0.01,0.840909123420715,3,512
"ionosphere","cone",0.885714292526245,0.1,0.920454561710358,3,256
"ionosphere","cone",0.885714292526245,0.01,0.920454502105713,2,1024
"ionosphere","rect",0.885714292526245,0.01,0.943181872367859,2,512
"ionosphere","cone",0.885714292526245,0.01,0.840909123420715,2,256
"ionosphere","rect",0.885714292526245,0.1,0.931818127632141,2,1024
"ionosphere","cone",0.885714292526245,0.1,0.909090876579285,2,256
"ionosphere","cone",0.882857149839401,1,0.897727251052856,3,512
"ionosphere","cone",0.880000007152557,0.1,0.818181872367859,8,512
"ionosphere","cone",0.877142864465714,1,0.886363625526428,3,256
"ionosphere","cone",0.87428572177887,1,0.840909123420715,3,1024
"ionosphere","cone",0.87428572177887,0.1,0.852272748947144,3,512
"ionosphere","cone",0.871428579092026,0.01,0.818181872367859,4,512
"ionosphere","cone",0.868571436405182,1,0.840909123420715,2,1024
"ionosphere","cone",0.865714293718338,1,0.852272748947144,4,512
"ionosphere","rect",0.862857151031494,0.1,0.875,8,1024
"ionosphere","cone",0.862857151031494,1,0.875,4,256
"ionosphere","rect",0.86000000834465,0.01,0.875,16,1024
"ionosphere","rect",0.857142865657806,0.01,0.795454621315002,8,512
"ionosphere","cone",0.857142865657806,0.1,0.863636374473572,4,512
"ionosphere","cone",0.857142865657806,1,0.852272748947144,4,1024
"ionosphere","cone",0.854285722970963,0.1,0.795454561710358,8,1024
"ionosphere","cone",0.851428580284119,0.01,0.829545497894287,8,256
"ionosphere","rect",0.828571438789368,0.01,0.863636374473572,8,256
"ionosphere","cone",0.828571438789368,0.01,0.852272748947144,4,256
"ionosphere","cone",0.802857154607773,0.01,0.875,4,1024
"ionosphere","cone",0.800000011920929,0.01,0.818181812763214,8,1024
"ionosphere","cone",0.800000011920929,0.01,0.897727251052856,3,256
"ionosphere","rect",0.77142858505249,0.01,0.840909123420715,16,256
"ionosphere","rect",0.714285731315613,0.01,0.761363685131073,32,256
"ionosphere","cone",0.700000017881393,1,0.647727251052856,8,1024
"ionosphere","rect",0.688571447134018,0.1,0.647727251052856,16,256
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,32,1024
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,32,512
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,32,256
"ionosphere","cone",0.685714304447174,0.1,0.647727251052856,32,1024
"ionosphere","rect",0.685714304447174,0.1,0.647727251052856,32,1024
"ionosphere","cone",0.685714304447174,0.1,0.647727251052856,32,512
"ionosphere","cone",0.685714304447174,0.1,0.647727251052856,32,256
"ionosphere","rect",0.685714304447174,0.1,0.647727251052856,32,256
"ionosphere","cone",0.685714304447174,1,0.647727251052856,32,1024
"ionosphere","cone",0.685714304447174,1,0.647727251052856,32,512
"ionosphere","cone",0.685714304447174,1,0.647727251052856,32,256
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,16,1024
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,16,512
"ionosphere","cone",0.685714304447174,0.01,0.647727251052856,16,256
"ionosphere","cone",0.685714304447174,0.1,0.590909123420715,16,1024
"ionosphere","cone",0.685714304447174,0.1,0.647727251052856,16,512
"ionosphere","cone",0.685714304447174,0.1,0.647727251052856,16,256
"ionosphere","cone",0.685714304447174,1,0.647727251052856,16,1024
"ionosphere","cone",0.685714304447174,1,0.647727251052856,16,512
"ionosphere","cone",0.685714304447174,1,0.647727251052856,16,256
"ionosphere","cone",0.685714304447174,1,0.647727251052856,8,256
"ionosphere","rect",0.685714304447174,1,0.647727251052856,4,512
"ionosphere","rect",0.668571448326111,0.01,0.704545497894287,32,1024
"ionosphere","cone",0.662857159972191,1,0.727272748947144,8,512
"ionosphere","rect",0.648571446537971,0.1,0.352272748947144,32,512
"ionosphere","rect",0.648571446537971,1,0.647727251052856,16,1024
"ionosphere","rect",0.64571430683136,0.1,0.715909123420715,16,1024
"ionosphere","rect",0.64000001847744,1,0.647727251052856,4,256
"ionosphere","rect",0.611428588628769,1,0.647727251052856,32,256
"ionosphere","rect",0.611428588628769,1,0.647727251052856,16,512
"ionosphere","rect",0.611428588628769,1,0.647727251052856,16,256
"ionosphere","rect",0.611428588628769,1,0.647727251052856,8,512
"ionosphere","rect",0.611428588628769,1,0.647727251052856,8,256
"ionosphere","rect",0.611428588628769,1,0.647727251052856,3,512
"ionosphere","rect",0.611428588628769,1,0.647727251052856,3,256
"ionosphere","rect",0.608571445941925,1,0.693181812763214,4,1024
"ionosphere","rect",0.605714303255081,1,0.647727251052856,8,1024
"ionosphere","rect",0.588571444153786,0.01,0.659090876579285,32,512
"ionosphere","rect",0.585714301466942,1,0.647727251052856,3,1024
"ionosphere","rect",0.514285728335381,1,0.352272748947144,2,1024
"ionosphere","rect",0.402857154607773,1,0.352272748947144,2,256
"ionosphere","rect",0.351428583264351,1,0.352272748947144,32,512
"ionosphere","rect",0.342857155203819,1,0.352272748947144,2,512
"ionosphere","rect",0.314285725355148,1,0.352272748947144,32,1024
