"dataset","nhidden","nlayers","testAccuracy","valAccuracy","learningrate","layerForm"
"hepatitis",1024,16,0.743589758872986,1,0.01,"rect"
"hepatitis",1024,8,0.846153855323792,1,0.01,"rect"
"hepatitis",256,8,0.82051283121109,1,0.01,"rect"
"hepatitis",1024,8,0.897435903549194,1,0.1,"cone"
"hepatitis",512,8,0.794871807098389,1,0.1,"cone"
"hepatitis",256,8,0.794871807098389,1,0.1,"cone"
"hepatitis",1024,4,0.82051283121109,1,0.01,"rect"
"hepatitis",1024,4,0.871794879436493,1,0.1,"cone"
"hepatitis",1024,4,0.846153855323792,1,0.1,"rect"
"hepatitis",512,4,0.846153855323792,1,0.1,"cone"
"hepatitis",1024,3,0.897435903549194,1,0.01,"cone"
"hepatitis",512,3,0.717948734760284,1,0.01,"rect"
"hepatitis",256,3,0.769230782985687,1,0.01,"cone"
"hepatitis",1024,3,0.794871807098389,1,0.1,"rect"
"hepatitis",512,3,0.871794879436493,1,0.1,"rect"
"hepatitis",256,3,0.82051283121109,1,0.1,"rect"
"hepatitis",1024,3,0.846153855323792,1,1,"cone"
"hepatitis",1024,2,0.871794879436493,1,0.01,"cone"
"hepatitis",1024,2,0.846153855323792,1,0.01,"rect"
"hepatitis",512,2,0.794871807098389,1,0.01,"rect"
"hepatitis",256,2,0.769230782985687,1,0.01,"cone"
"hepatitis",256,2,0.871794879436493,1,0.01,"rect"
"hepatitis",1024,2,0.846153855323792,1,0.1,"rect"
"hepatitis",512,2,0.82051283121109,1,0.1,"cone"
"hepatitis",512,2,0.897435903549194,1,0.1,"rect"
"hepatitis",256,2,0.82051283121109,1,0.1,"rect"
"hepatitis",1024,4,0.794871807098389,0.989999997615814,1,"cone"
"hepatitis",512,2,0.846153855323792,0.989999997615814,1,"cone"
"hepatitis",512,3,0.846153855323792,0.989999997615814,1,"cone"
"hepatitis",256,4,0.846153855323792,0.969999992847443,1,"cone"
"hepatitis",512,32,0.692307710647583,0.959999990463257,0.01,"rect"
"hepatitis",512,8,0.769230782985687,0.949999988079071,0.1,"rect"
"hepatitis",512,4,0.82051283121109,0.949999988079071,1,"cone"
"hepatitis",1024,16,0.794871807098389,0.939999985694885,0.1,"rect"
"hepatitis",256,8,0.846153855323792,0.9299999833107,0.1,"rect"
"hepatitis",256,2,0.871794879436493,0.9299999833107,1,"cone"
