"dataset","nhidden","testAccuracy","layerForm","valAccuracy","nlayers","learningrate"
"plant-margin",1024,0.842499971389771,"cone",0.837837862968445,3,1
"plant-margin",1024,0.837500035762787,"cone",0.829729717969894,2,1
"plant-margin",512,0.819999992847443,"rect",0.822522550821304,2,0.1
"plant-margin",512,0.804999947547913,"rect",0.815315365791321,3,0.1
"plant-margin",256,0.792500019073486,"cone",0.811711758375168,2,0.1
"plant-margin",256,0.817499995231628,"cone",0.810810858011246,2,1
"plant-margin",512,0.819999933242798,"cone",0.810810828208923,4,1
"plant-margin",1024,0.819999933242798,"rect",0.810810822248459,2,0.1
"plant-margin",512,0.837499976158142,"cone",0.807207226753235,3,1
"plant-margin",256,0.832499980926514,"rect",0.806306344270706,3,1
"plant-margin",256,0.799999952316284,"rect",0.803603655099869,4,1
"plant-margin",1024,0.817499995231628,"cone",0.80360364317894,4,0.1
"plant-margin",1024,0.840000033378601,"cone",0.803603637218475,4,1
"plant-margin",256,0.759999990463257,"cone",0.803603607416153,4,0.1
"plant-margin",512,0.855000019073486,"rect",0.801801800727844,2,1
"plant-margin",1024,0.792500019073486,"cone",0.795495504140854,3,0.1
"plant-margin",512,0.789999961853027,"cone",0.794594597816467,3,0.1
"plant-margin",1024,0.822499990463257,"cone",0.794594597816467,2,0.1
"plant-margin",512,0.830000042915344,"cone",0.792792797088623,2,1
"plant-margin",512,0.787500023841858,"cone",0.790090119838715,8,1
"plant-margin",256,0.782500028610229,"cone",0.788288295269012,3,0.1
"plant-margin",256,0.740000009536743,"cone",0.787387430667877,2,0.01
"plant-margin",512,0.782499969005585,"cone",0.785585606098175,2,0.1
"plant-margin",512,0.780000030994415,"rect",0.785585594177246,4,0.1
"plant-margin",1024,0.802500009536743,"rect",0.783783853054047,4,0.1
"plant-margin",1024,0.802500009536743,"rect",0.783783793449402,2,0.01
"plant-margin",256,0.762499928474426,"rect",0.783783769607544,4,0.1
"plant-margin",256,0.807500004768372,"cone",0.782882875204086,3,1
"plant-margin",512,0.752499938011169,"cone",0.781981992721558,3,0.01
"plant-margin",1024,0.825000047683716,"rect",0.781981992721558,3,0.1
"plant-margin",256,0.802500009536743,"cone",0.774774789810181,4,1
"plant-margin",1024,0.779999911785126,"rect",0.774774765968323,8,0.1
"plant-margin",256,0.792500019073486,"cone",0.773873895406723,8,1
"plant-margin",256,0.8125,"rect",0.771171188354492,2,1
"plant-margin",512,0.787499904632568,"cone",0.770270258188248,4,0.1
"plant-margin",256,0.802499949932098,"rect",0.768468487262726,2,0.1
"plant-margin",512,0.772500038146973,"cone",0.76576578617096,2,0.01
"plant-margin",512,0.782500028610229,"rect",0.765765756368637,8,0.1
"plant-margin",256,0.75,"rect",0.756756776571274,16,0.1
"plant-margin",1024,0.777499914169312,"cone",0.753153169155121,3,0.01
"plant-margin",1024,0.717499971389771,"cone",0.747747737169266,8,1
"plant-margin",512,0.762499928474426,"rect",0.745945918560028,2,0.01
"plant-margin",1024,0.732499957084656,"rect",0.745045077800751,4,0.01
"plant-margin",256,0.707499980926514,"cone",0.742342358827591,3,0.01
"plant-margin",512,0.749999940395355,"rect",0.742342346906662,16,0.1
"plant-margin",1024,0.769999980926514,"rect",0.739639633893967,3,0.01
"plant-margin",1024,0.767499923706055,"cone",0.738738775253296,8,0.1
"plant-margin",256,0.714999973773956,"rect",0.738738715648651,4,0.01
"plant-margin",1024,0.762499928474426,"cone",0.737837851047516,16,0.1
"plant-margin",256,0.8125,"rect",0.737837827205658,3,0.1
"plant-margin",512,0.707499980926514,"cone",0.732432442903519,16,0.1
"plant-margin",256,0.737499952316284,"rect",0.730630642175675,8,0.1
"plant-margin",1024,0.789999961853027,"cone",0.730630618333817,2,0.01
"plant-margin",1024,0.729999959468842,"rect",0.72612612247467,16,0.1
"plant-margin",256,0.797499895095825,"rect",0.714414411783218,2,0.01
"plant-margin",256,0.722499966621399,"cone",0.71261260509491,8,0.1
"plant-margin",512,0.759999990463257,"rect",0.71261260509491,3,0.01
"plant-margin",1024,0.717499971389771,"cone",0.711711704730987,4,0.01
"plant-margin",256,0.725000023841858,"rect",0.703603601455688,3,0.01
"plant-margin",256,0.747500002384186,"rect",0.701801812648773,8,1
"plant-margin",256,0.714999973773956,"cone",0.690990996360779,16,0.1
"plant-margin",512,0.717499971389771,"cone",0.684684693813324,4,0.01
"plant-margin",512,0.719999969005585,"rect",0.683783793449402,4,0.01
"plant-margin",512,0.724999964237213,"cone",0.681981998682022,8,0.1
"plant-margin",1024,0.657499969005585,"rect",0.655855882167816,16,0.01
"plant-margin",256,0.674999952316284,"cone",0.646846878528595,4,0.01
"plant-margin",1024,0.617499947547913,"rect",0.587387454509735,8,0.01
"plant-margin",1024,0.589999973773956,"cone",0.55765768289566,16,0.01
"plant-margin",512,0.589999973773956,"rect",0.554955017566681,16,0.01
"plant-margin",512,0.469999998807907,"cone",0.51891895532608,8,0.01
"plant-margin",512,0.542499959468842,"rect",0.491891902685165,32,0.01
"plant-margin",1024,0.489999979734421,"cone",0.481081077456474,8,0.01
"plant-margin",512,0.54749995470047,"rect",0.476576596498489,8,0.01
"plant-margin",256,0.47749999165535,"rect",0.468468487262726,16,0.01
"plant-margin",512,0.519999980926514,"cone",0.461261287331581,16,0.01
"plant-margin",256,0.48499995470047,"cone",0.455855882167816,16,0.01
"plant-margin",256,0.504999995231628,"rect",0.44144144654274,8,0.01
"plant-margin",256,0.35249999165535,"rect",0.32522523701191,32,0.01
"plant-margin",256,0.397500038146973,"cone",0.312612634897232,8,0.01
"plant-margin",512,0.382499992847443,"cone",0.311711725592613,32,0.01
"plant-margin",1024,0.162499994039536,"cone",0.134234235435724,32,0.01
"plant-margin",256,0.0474999956786633,"cone",0.0441441455855966,32,0.01
"plant-margin",512,0.0174999982118607,"rect",0.0369369395077229,3,1
"plant-margin",1024,0.0399999991059303,"rect",0.0369369383901358,32,0.01
"plant-margin",1024,0.0149999996647239,"rect",0.0234234243631363,2,1
"plant-margin",512,0.00999999977648258,"rect",0.0189189193770289,4,1
"plant-margin",512,0.00999999977648258,"rect",0.0180180184543133,16,1
"plant-margin",256,0.00999999977648258,"rect",0.0153153156861663,32,1
"plant-margin",512,0.0175000000745058,"cone",0.013513513840735,16,1
"plant-margin",1024,0.00999999977648258,"rect",0.0126126129180193,8,1
