"dataset","nlayers","testAccuracy","valAccuracy","nhidden","learningrate","layerForm"
"statlog-heart",3,0.791044771671295,1,256,0.01,"cone"
"statlog-heart",4,0.820895493030548,0.94375,512,0.01,"rect"
"statlog-heart",16,0.850746273994446,0.9375,512,0.1,"rect"
"statlog-heart",4,0.835820853710175,0.9375,512,0.1,"cone"
"statlog-heart",3,0.791044771671295,0.9375,512,0.01,"cone"
"statlog-heart",2,0.850746214389801,0.9375,1024,0.1,"cone"
"statlog-heart",4,0.805970132350922,0.925,1024,0.01,"cone"
"statlog-heart",4,0.850746273994446,0.9125,1024,1,"cone"
"statlog-heart",3,0.835820853710175,0.90625,256,0.1,"cone"
"statlog-heart",3,0.895522356033325,0.89375,256,1,"cone"
"statlog-heart",8,0.835820913314819,0.89375,512,0.1,"cone"
"statlog-heart",2,0.895522356033325,0.89375,512,1,"cone"
"statlog-heart",8,0.791044771671295,0.8875,1024,0.01,"cone"
"statlog-heart",8,0.776119351387024,0.88125,1024,0.01,"rect"
"statlog-heart",2,0.865671634674072,0.88125,512,0.1,"cone"
"statlog-heart",8,0.865671634674072,0.88125,1024,0.1,"cone"
"statlog-heart",4,0.820895552635193,0.88125,256,1,"cone"
"statlog-heart",3,0.865671634674072,0.875,512,0.1,"rect"
"statlog-heart",8,0.79104471206665,0.875,1024,1,"cone"
"statlog-heart",4,0.835820853710175,0.875,256,0.01,"rect"
"statlog-heart",4,0.850746273994446,0.875,512,1,"cone"
"statlog-heart",3,0.850746273994446,0.875,1024,0.01,"rect"
"statlog-heart",3,0.850746273994446,0.875,256,0.01,"rect"
"statlog-heart",3,0.850746273994446,0.875,1024,0.1,"rect"
"statlog-heart",2,0.820895493030548,0.875,256,0.01,"cone"
"statlog-heart",8,0.805970132350922,0.86875,512,0.1,"rect"
"statlog-heart",2,0.865671634674072,0.8625,512,0.01,"cone"
"statlog-heart",4,0.850746273994446,0.85625,1024,0.1,"rect"
"statlog-heart",3,0.805970132350922,0.84375,1024,1,"cone"
"statlog-heart",4,0.835820853710175,0.8375,512,0.1,"rect"
"statlog-heart",2,0.865671634674072,0.8375,512,0.01,"rect"
"statlog-heart",4,0.880596995353699,0.8375,1024,0.1,"cone"
"statlog-heart",2,0.835820853710175,0.83125,512,0.1,"rect"
"statlog-heart",8,0.805970132350922,0.825,256,0.01,"rect"
"statlog-heart",4,0.791044771671295,0.825,1024,0.01,"rect"
"statlog-heart",3,0.820895493030548,0.825,512,1,"cone"
"statlog-heart",2,0.850746273994446,0.825,256,0.1,"cone"
"statlog-heart",2,0.835820853710175,0.825,1024,1,"cone"
"statlog-heart",2,0.820895493030548,0.81875,256,1,"cone"
"statlog-heart",3,0.835820913314819,0.81875,512,0.1,"cone"
"statlog-heart",8,0.865671634674072,0.8125,256,0.1,"rect"
"statlog-heart",4,0.746268630027771,0.8125,256,0.01,"cone"
"statlog-heart",8,0.805970072746277,0.8125,512,0.01,"rect"
"statlog-heart",3,0.820895493030548,0.8125,512,0.01,"rect"
"statlog-heart",2,0.850746214389801,0.8125,1024,0.01,"cone"
"statlog-heart",2,0.835820853710175,0.8125,1024,0.01,"rect"
"statlog-heart",2,0.835820853710175,0.8125,256,0.1,"rect"
"statlog-heart",3,0.835820913314819,0.80625,1024,0.1,"cone"
"statlog-heart",3,0.835820913314819,0.7875,1024,0.01,"cone"
"statlog-heart",2,0.835820853710175,0.76875,1024,0.1,"rect"
"statlog-heart",8,0.835820913314819,0.7625,256,0.1,"cone"
"statlog-heart",3,0.835820853710175,0.7625,256,0.1,"rect"
"statlog-heart",16,0.820895433425903,0.75625,512,0.01,"rect"
"statlog-heart",16,0.805970132350922,0.75,1024,0.01,"rect"
"statlog-heart",16,0.761193990707397,0.75,256,0.01,"rect"
"statlog-heart",4,0.761193990707397,0.75,512,0.01,"cone"
"statlog-heart",4,0.835820913314819,0.73125,256,0.1,"cone"
"statlog-heart",16,0.79104471206665,0.7125,256,0.1,"rect"
"statlog-heart",2,0.805970072746277,0.7,512,1,"rect"
"statlog-heart",2,0.79104471206665,0.7,256,0.01,"rect"
"statlog-heart",8,0.671641707420349,0.6875,512,0.01,"cone"
"statlog-heart",4,0.835820853710175,0.6875,256,0.1,"rect"
"statlog-heart",8,0.820895493030548,0.66875,1024,0.1,"rect"
"statlog-heart",3,0.805970132350922,0.65,1024,1,"rect"
"statlog-heart",16,0.462686538696289,0.625,512,0.1,"cone"
"statlog-heart",8,0.835820913314819,0.575,512,1,"cone"
"statlog-heart",16,0.447761207818985,0.5625,1024,0.01,"cone"
