"dataset","nlayers","layerForm","learningrate","nhidden","valAccuracy","testAccuracy"
"ozone",4,"cone",0.1,1024,0.983490544557571,0.971608936786652
"ozone",2,"rect",0.01,256,0.981132090091705,0.973186254501343
"ozone",16,"rect",0.01,512,0.981132084131241,0.954258739948273
"ozone",4,"cone",0.01,256,0.981132078170776,0.966877102851868
"ozone",2,"cone",0.01,512,0.981132078170776,0.971608877182007
"ozone",3,"rect",0.01,256,0.980188679695129,0.97003161907196
"ozone",3,"cone",0.1,256,0.97877362370491,0.973186254501343
"ozone",2,"cone",0.01,256,0.978773534297943,0.976340770721436
"ozone",2,"cone",1,1024,0.97783020734787,0.971608877182007
"ozone",2,"cone",0.1,256,0.977830135822296,0.973186254501343
"ozone",3,"cone",1,1024,0.97688679099083,0.97003161907196
"ozone",8,"cone",0.1,256,0.976886767148972,0.968454360961914
"ozone",32,"cone",1,512,0.976415151357651,0.971608877182007
"ozone",32,"rect",0.1,256,0.976415133476258,0.971608877182007
"ozone",8,"cone",1,512,0.976415133476258,0.971608877182007
"ozone",8,"rect",0.01,512,0.976415133476257,0.95741331577301
"ozone",16,"rect",1,512,0.976415121555329,0.971608877182007
"ozone",4,"rect",1,256,0.976415121555329,0.971608877182007
"ozone",32,"rect",0.01,1024,0.976415121555329,0.971608877182007
"ozone",3,"cone",0.01,512,0.976415115594864,0.965299725532532
"ozone",16,"cone",0.01,1024,0.9764151096344,0.971608877182007
"ozone",16,"cone",1,1024,0.9764151096344,0.971608877182007
"ozone",16,"cone",1,256,0.976415109634399,0.971608877182007
"ozone",8,"cone",1,256,0.976415109634399,0.971608877182007
"ozone",8,"rect",1,256,0.976415103673935,0.971608877182007
"ozone",2,"cone",0.01,1024,0.976415103673935,0.97003161907196
"ozone",32,"cone",0.01,512,0.976415103673935,0.971608936786652
"ozone",32,"cone",0.01,256,0.976415103673935,0.971608877182007
"ozone",8,"cone",0.01,1024,0.976415103673935,0.971608877182007
"ozone",16,"rect",0.1,1024,0.976415097713471,0.971608877182007
"ozone",16,"cone",0.1,1024,0.976415097713471,0.971608996391296
"ozone",8,"cone",0.1,1024,0.976415097713471,0.971608877182007
"ozone",3,"cone",1,512,0.976415097713471,0.971608877182007
"ozone",3,"rect",1,512,0.97641509771347,0.971608877182007
"ozone",32,"cone",0.01,1024,0.976415085792542,0.971608877182007
"ozone",32,"rect",0.1,1024,0.976415085792542,0.971608877182007
"ozone",32,"rect",1,256,0.976415085792542,0.971608877182007
"ozone",2,"rect",1,512,0.976415085792542,0.971608877182007
"ozone",8,"cone",1,1024,0.976415085792541,0.971608936786652
"ozone",3,"cone",1,256,0.976415085792541,0.971608996391296
"ozone",32,"cone",0.1,1024,0.976415079832077,0.971608877182007
"ozone",16,"rect",0.1,512,0.976415079832077,0.971608877182007
"ozone",16,"cone",0.01,512,0.976415079832077,0.971608996391296
"ozone",16,"cone",0.1,512,0.976415079832077,0.971608877182007
"ozone",16,"cone",0.1,256,0.976415079832077,0.971608877182007
"ozone",16,"rect",1,256,0.976415079832077,0.971608936786652
"ozone",8,"rect",0.1,512,0.976415079832077,0.971608996391296
"ozone",8,"rect",1,1024,0.976415079832077,0.971608996391296
"ozone",32,"rect",0.01,512,0.976415073871613,0.971608877182007
"ozone",32,"cone",0.1,512,0.976415073871613,0.971608877182007
"ozone",32,"rect",0.1,512,0.976415073871613,0.971608996391296
"ozone",16,"cone",1,512,0.976415073871613,0.971608996391296
"ozone",16,"rect",1,1024,0.976415073871613,0.971608877182007
"ozone",32,"cone",1,1024,0.976415073871612,0.971608877182007
"ozone",32,"rect",1,512,0.976415073871612,0.971608936786652
"ozone",8,"rect",1,512,0.976415073871612,0.971608877182007
"ozone",3,"rect",1,256,0.976415067911148,0.971608877182007
"ozone",32,"cone",0.1,256,0.976415067911148,0.971608877182007
"ozone",4,"cone",1,1024,0.976415067911148,0.971608877182007
"ozone",2,"rect",1,1024,0.976415067911148,0.971608877182007
"ozone",16,"cone",0.01,256,0.976415061950684,0.971608877182007
"ozone",4,"cone",1,256,0.976415061950684,0.971608877182007
"ozone",32,"cone",1,256,0.976415055990219,0.971608877182007
"ozone",4,"cone",1,512,0.976415055990219,0.971608877182007
"ozone",16,"rect",0.1,256,0.976415055990219,0.971608936786652
"ozone",3,"rect",1,1024,0.976415050029755,0.971608877182007
"ozone",4,"rect",1,1024,0.976415050029754,0.971608877182007
"ozone",4,"rect",1,512,0.97641504406929,0.971608877182007
"ozone",32,"rect",0.01,256,0.976415038108826,0.971608877182007
"ozone",2,"cone",0.1,512,0.975943392515183,0.97003161907196
"ozone",2,"cone",1,512,0.975943392515183,0.97003161907196
"ozone",3,"cone",0.1,512,0.975943356752396,0.963722586631775
"ozone",2,"cone",1,256,0.975471693277359,0.968454360961914
"ozone",2,"rect",0.1,512,0.975471675395966,0.979495346546173
"ozone",4,"cone",0.1,256,0.975471663475037,0.974763512611389
"ozone",8,"cone",0.1,512,0.974056625366211,0.965299785137177
