"dataset","learningrate","nlayers","nhidden","testAccuracy","valAccuracy","layerForm"
"molec-biol-splice",1,8,256,0.860727667808533,0.859362590312958,"cone"
"molec-biol-splice",1,3,512,0.868255972862244,0.856175327301026,"cone"
"molec-biol-splice",1,8,512,0.873274683952332,0.850199192762375,"cone"
"molec-biol-splice",0.1,2,256,0.851944804191589,0.848207223415375,"rect"
"molec-biol-splice",1,4,1024,0.877038955688477,0.845418357849121,"cone"
"molec-biol-splice",1,2,256,0.873274683952332,0.844621533155441,"cone"
"molec-biol-splice",0.1,2,256,0.856963574886322,0.844223129749298,"cone"
"molec-biol-splice",1,3,1024,0.880802989006042,0.843426352739334,"cone"
"molec-biol-splice",1,2,1024,0.878293633460999,0.839840644598007,"cone"
"molec-biol-splice",1,4,256,0.868255972862244,0.835458225011826,"cone"
"molec-biol-splice",0.1,4,512,0.835633516311646,0.832669365406037,"cone"
"molec-biol-splice",0.1,2,1024,0.858218312263489,0.831474131345749,"cone"
"molec-biol-splice",0.1,3,1024,0.851944804191589,0.830278921127319,"rect"
"molec-biol-splice",1,2,512,0.874529480934143,0.826294857263565,"cone"
"molec-biol-splice",0.1,4,1024,0.856963634490967,0.821115553379059,"rect"
"molec-biol-splice",0.1,3,512,0.848180651664734,0.81832669377327,"rect"
"molec-biol-splice",0.01,2,1024,0.830614805221558,0.816733115911484,"rect"
"molec-biol-splice",0.1,2,1024,0.868255972862244,0.816733086109162,"rect"
"molec-biol-splice",0.1,4,512,0.843161880970001,0.815139448642731,"rect"
"molec-biol-splice",0.1,8,256,0.81555837392807,0.814342659711838,"cone"
"molec-biol-splice",0.01,2,1024,0.848180592060089,0.812749028205871,"cone"
"molec-biol-splice",0.01,2,512,0.830614805221558,0.812749028205871,"rect"
"molec-biol-splice",0.01,3,256,0.800501942634583,0.811553800106049,"cone"
"molec-biol-splice",1,4,512,0.8657466173172,0.809960186481476,"cone"
"molec-biol-splice",0.1,3,256,0.809284806251526,0.809960186481476,"rect"
