"dataset","valAccuracy","layerForm","testAccuracy","nhidden","learningrate","nlayers"
"abalone",0.642996752262116,"rect",0.617816090583801,256,0.01,8
"abalone",0.637785029411316,"cone",0.639846742153168,512,0.01,3
"abalone",0.634201949834824,"rect",0.63409960269928,1024,0.1,3
"abalone",0.634201949834824,"cone",0.636015295982361,256,0.1,2
"abalone",0.633224749565125,"rect",0.636973142623901,1024,0.1,2
"abalone",0.632573252916336,"rect",0.610153317451477,1024,0.01,8
"abalone",0.630618894100189,"cone",0.641762495040894,256,0.1,4
"abalone",0.629315948486328,"cone",0.63409960269928,256,0.1,3
"abalone",0.628338748216629,"rect",0.636015355587006,512,0.01,3
"abalone",0.627687275409698,"cone",0.620689630508423,1024,0.1,4
"abalone",0.626710075139999,"cone",0.654214560985565,1024,0.01,2
"abalone",0.62638435959816,"cone",0.650383114814758,512,0.01,2
"abalone",0.626384353637695,"rect",0.624521136283875,1024,0.1,4
"abalone",0.625732880830765,"cone",0.631226062774658,1024,0.1,3
"abalone",0.625407159328461,"rect",0.632183849811554,512,0.1,3
"abalone",0.625407159328461,"rect",0.628352522850037,256,0.1,2
"abalone",0.624755680561066,"rect",0.62547892332077,512,0.1,8
"abalone",0.624104219675064,"cone",0.637930989265442,256,0.01,3
"abalone",0.623778504133224,"cone",0.646551728248596,1024,0.1,2
"abalone",0.623452764749527,"cone",0.594827592372894,512,0.01,8
"abalone",0.623127025365829,"rect",0.633141756057739,512,0.1,2
"abalone",0.622801285982132,"cone",0.618773937225342,512,0.01,4
"abalone",0.622801285982132,"rect",0.633141756057739,1024,0.01,3
"abalone",0.621824097633362,"cone",0.611111104488373,1024,0.01,8
"abalone",0.621824097633362,"rect",0.643678188323975,512,0.01,2
"abalone",0.620846903324127,"cone",0.638888895511627,512,0.1,8
"abalone",0.620846903324127,"rect",0.639846742153168,256,0.1,3
"abalone",0.619218224287033,"cone",0.639846742153168,512,1,3
"abalone",0.616938102245331,"cone",0.643678188323975,512,0.1,3
"abalone",0.616938096284866,"rect",0.616858243942261,512,0.1,4
"abalone",0.616286653280258,"cone",0.636015355587006,256,0.1,8
"abalone",0.6162866294384,"cone",0.639846742153168,1024,0.1,8
"abalone",0.615309447050095,"cone",0.645593881607056,512,0.1,2
"abalone",0.614983707666397,"rect",0.639846801757812,256,0.1,8
"abalone",0.614332240819931,"rect",0.636015355587006,1024,0.01,2
"abalone",0.614332222938538,"rect",0.620689630508423,512,0.01,4
"abalone",0.614006519317627,"rect",0.637931048870087,1024,0.1,8
"abalone",0.613680785894394,"cone",0.630268216133118,1024,1,3
"abalone",0.613355034589767,"rect",0.611111104488373,512,0.01,8
"abalone",0.613355028629303,"cone",0.639846742153168,1024,0.01,4
"abalone",0.613029307126999,"rect",0.615900456905365,1024,0.01,4
"abalone",0.612377828359604,"cone",0.654214560985565,1024,1,2
"abalone",0.612052118778229,"cone",0.55747127532959,512,1,8
"abalone",0.612052112817764,"cone",0.639846742153168,512,1,4
"abalone",0.611400640010834,"cone",0.633141756057739,256,0.01,4
"abalone",0.611400628089905,"cone",0.633141756057739,512,0.01,16
"abalone",0.610749185085297,"cone",0.638888895511627,256,1,2
"abalone",0.610097724199295,"cone",0.645593881607056,256,1,4
"abalone",0.60977196097374,"cone",0.642720341682434,256,1,3
"abalone",0.609120512008667,"rect",0.607279658317566,256,0.1,4
"abalone",0.60846905708313,"cone",0.641762495040894,256,1,8
"abalone",0.608469045162201,"cone",0.647509574890137,256,0.01,2
"abalone",0.608143323659897,"cone",0.650383174419403,256,0.01,8
"abalone",0.607817578315735,"cone",0.569923341274261,1024,1,4
"abalone",0.607166111469269,"rect",0.60632187128067,256,0.01,16
"abalone",0.607166105508804,"cone",0.629310369491577,512,1,2
"abalone",0.605537450313568,"rect",0.636015295982361,256,0.01,2
"abalone",0.605211716890335,"cone",0.632183909416199,512,0.1,4
"abalone",0.604885989427567,"rect",0.641762435436249,256,0.01,3
"abalone",0.60456023812294,"rect",0.634099662303925,256,0.01,4
"abalone",0.60097718834877,"cone",0.632183909416199,1024,0.01,3
"abalone",0.600325733423233,"rect",0.603448271751404,1024,0.01,16
"abalone",0.598697066307068,"rect",0.617816090583801,512,0.01,16
"abalone",0.587947875261307,"rect",0.612068951129913,512,0.1,16
"abalone",0.556351786851883,"cone",0.606321811676025,1024,0.01,16
"abalone",0.529315936565399,"rect",0.552681982517242,1024,0.1,16
"abalone",0.521824091672897,"rect",0.548850536346436,256,0.01,32
"abalone",0.521172642707825,"cone",0.550766348838806,256,1,16
"abalone",0.518241041898727,"cone",0.553639829158783,1024,0.1,16
"abalone",0.515960901975632,"rect",0.552681982517242,256,0.1,16
"abalone",0.515960896015167,"cone",0.542145609855652,256,1,32
"abalone",0.511400699615479,"cone",0.536398470401764,1024,0.01,32
"abalone",0.510097706317902,"rect",0.545019149780273,1024,0.01,32
"abalone",0.485016271471977,"rect",0.316091924905777,1024,1,4
"abalone",0.400651454925537,"cone",0.44252872467041,256,0.01,32
"abalone",0.397394120693207,"cone",0.395593881607056,512,0.01,32
"abalone",0.349837121367455,"rect",0.347701132297516,512,1,3
"abalone",0.346579796075821,"rect",0.316091924905777,1024,1,32
"abalone",0.344625401496887,"rect",0.316091954708099,256,1,8
"abalone",0.342671000957489,"rect",0.336206883192062,512,1,2
"abalone",0.341368070244789,"rect",0.336206883192062,256,1,2
"abalone",0.340716606378555,"rect",0.316091924905777,1024,1,8
"abalone",0.339413678646088,"rect",0.336206883192062,1024,0.1,32
"abalone",0.338110747933388,"rect",0.336206883192062,256,1,4
"abalone",0.337459281086922,"rect",0.336206883192062,512,0.01,32
"abalone",0.33745927810669,"rect",0.347701102495193,1024,1,2
"abalone",0.33355048596859,"rect",0.347701102495193,512,0.1,32
"abalone",0.33224755525589,"rect",0.336206883192062,256,1,3
"abalone",0.332247552275658,"rect",0.316091954708099,256,1,32
"abalone",0.328990229964256,"rect",0.336206912994385,1024,1,3
"abalone",0.328664493560791,"cone",0.355363994836807,512,0.1,16
"abalone",0.327687299251556,"rect",0.336206883192062,512,1,32
"abalone",0.327687293291092,"rect",0.336206883192062,512,1,4
"abalone",0.324429970979691,"rect",0.347701132297516,256,1,16
"abalone",0.32377849817276,"cone",0.336206912994385,1024,1,32
"abalone",0.323127028346062,"rect",0.316091924905777,512,1,8
"abalone",0.322475579380989,"rect",0.336206883192062,1024,1,16
"abalone",0.322475579380989,"rect",0.336206912994385,512,1,16
"abalone",0.317915314435959,"cone",0.347701132297516,512,1,16
"abalone",0.317915308475494,"cone",0.336206883192062,512,1,32
"abalone",0.316612368822098,"cone",0.349616855382919,256,0.01,16
"abalone",0.314657980203629,"cone",0.347701102495193,1024,1,8
"abalone",0.312703591585159,"cone",0.336206912994385,1024,1,16
"abalone",0.312703591585159,"rect",0.347701132297516,256,0.1,32
"abalone",0.312703585624695,"cone",0.347701132297516,512,0.1,32
"abalone",0.310749188065529,"cone",0.347701102495193,256,0.1,32
"abalone",0.306840401887894,"cone",0.346743255853653,256,0.1,16
"abalone",0.306840395927429,"cone",0.347701102495193,1024,0.1,32
