"dataset","nlayers","layerForm","valAccuracy","nhidden","learningrate","testAccuracy"
"led-display",8,"cone",0.757142871618271,256,0.01,0.656000018119812
"led-display",4,"rect",0.755714333057404,256,0.1,0.700000047683716
"led-display",3,"cone",0.754285758733749,1024,0.1,0.712000012397766
"led-display",4,"rect",0.751428610086441,256,0.01,0.712000012397766
"led-display",3,"rect",0.751428610086441,512,0.01,0.728000044822693
"led-display",8,"rect",0.750000041723251,256,0.01,0.695999979972839
"led-display",4,"cone",0.750000041723251,512,0.01,0.708000004291534
"led-display",3,"rect",0.748571467399597,512,0.1,0.675999999046326
"led-display",16,"cone",0.747142893075943,512,0.1,0.675999999046326
"led-display",4,"cone",0.747142893075943,256,0.01,0.724000096321106
"led-display",3,"cone",0.747142887115478,512,0.01,0.708000063896179
"led-display",3,"rect",0.745714318752289,256,0.01,0.723999977111816
"led-display",4,"cone",0.744285750389099,1024,0.01,0.704000055789948
"led-display",2,"rect",0.744285744428635,256,0.01,0.716000080108643
"led-display",3,"cone",0.742857158184052,256,0.01,0.735999941825867
"led-display",2,"cone",0.740000039339066,1024,0.01,0.73199999332428
"led-display",16,"cone",0.738571470975876,1024,0.01,0.695999979972839
"led-display",2,"cone",0.737142884731293,256,0.01,0.719999969005585
"led-display",8,"cone",0.734285753965378,1024,0.1,0.692000031471252
"led-display",2,"rect",0.732857191562653,512,0.1,0.696000039577484
"led-display",8,"cone",0.732857179641724,512,0.01,0.688000023365021
"led-display",8,"rect",0.7271429002285,512,0.1,0.699999988079071
"led-display",8,"rect",0.725714331865311,1024,0.1,0.700000047683716
"led-display",3,"rect",0.722857171297073,1024,0.1,0.700000047683716
"led-display",4,"rect",0.720000034570694,1024,0.1,0.632000029087067
"led-display",2,"rect",0.718571466207504,1024,0.1,0.620000004768372
"led-display",16,"cone",0.70428574681282,1024,0.1,0.692000031471252
"led-display",8,"cone",0.692857158184051,256,1,0.667999982833862
"led-display",32,"rect",0.587142890691757,256,0.01,0.467999994754791
"led-display",32,"rect",0.564285764098168,512,0.01,0.523999989032745
"led-display",16,"rect",0.408571445941925,1024,0.1,0.416000008583069
"led-display",16,"cone",0.32000000923872,256,0.1,0.312000006437302
"led-display",32,"cone",0.195714294165373,512,0.1,0.196000009775162
"led-display",32,"cone",0.185714289546013,1024,0.01,0.207999989390373
"led-display",32,"rect",0.182857150584459,512,0.1,0.175999999046326
"led-display",32,"cone",0.152857148647308,512,0.01,0.160000011324883
"led-display",3,"rect",0.145714293047786,256,1,0.167999997735023
"led-display",32,"cone",0.142857147753239,256,0.01,0.100000008940697
"led-display",8,"rect",0.131428577750921,256,1,0.0960000082850456
"led-display",2,"rect",0.125714289024472,512,1,0.0920000001788139
"led-display",16,"rect",0.124285719916224,512,1,0.100000008940697
"led-display",8,"rect",0.120000004768372,512,1,0.100000008940697
"led-display",32,"cone",0.118571435660124,1024,0.1,0.23199999332428
"led-display",8,"rect",0.112857147306204,1024,1,0.0960000082850456
"led-display",32,"rect",0.111428574472666,1024,0.1,0.0840000063180923
"led-display",32,"rect",0.10857143253088,512,1,0.096000000834465
"led-display",4,"rect",0.10857143253088,256,1,0.108000010251999
"led-display",3,"rect",0.108571432158351,512,1,0.108000010251999
"led-display",4,"rect",0.108571431413293,1024,1,0.096000000834465
"led-display",3,"rect",0.105714289844036,1024,1,0.100000008940697
"led-display",2,"rect",0.104285718500614,1024,1,0.100000008940697
"led-display",32,"rect",0.104285718500614,256,0.1,0.108000010251999
"led-display",16,"rect",0.102857148274779,1024,1,0.100000001490116
"led-display",32,"rect",0.102857146412134,1024,0.01,0.0920000076293945
"led-display",16,"rect",0.101428573951125,256,1,0.096000000834465
"led-display",4,"rect",0.101428573951125,512,1,0.100000008940697
"led-display",32,"rect",0.100000001490116,1024,1,0.0960000082850456
"led-display",32,"rect",0.0971428610384464,256,1,0.124000012874603
"led-display",32,"cone",0.0971428610384464,512,1,0.100000008940697
"led-display",16,"cone",0.0757142882794142,512,1,0.0960000082850456
"led-display",32,"cone",0.0642857160419226,256,1,0.108000010251999
"led-display",16,"cone",0.0628571446985006,1024,1,0.108000010251999
"led-display",32,"cone",0.0628571446985006,1024,1,0.108000010251999
"led-display",16,"cone",0.0571428589522838,256,1,0.108000010251999
"led-display",32,"cone",0.0428571440279484,256,0.1,0.108000010251999
