"dataset","learningrate","valAccuracy","layerForm","nlayers","nhidden","testAccuracy"
"arrhythmia",0.1,0.725000023841858,"cone",3,256,0.575221240520477
"arrhythmia",1,0.705000048875809,"rect",2,256,0.646017670631409
"arrhythmia",1,0.700000047683716,"cone",4,1024,0.610619425773621
"arrhythmia",0.01,0.700000047683716,"cone",3,1024,0.530973434448242
"arrhythmia",0.01,0.700000047683716,"rect",3,1024,0.56637167930603
"arrhythmia",0.01,0.700000047683716,"rect",3,256,0.575221240520477
"arrhythmia",0.1,0.700000047683716,"cone",3,1024,0.663716793060303
"arrhythmia",0.1,0.700000047683716,"cone",2,1024,0.646017670631409
"arrhythmia",1,0.682500022649765,"cone",2,512,0.637168109416962
"arrhythmia",1,0.675000071525574,"cone",3,1024,0.628318548202515
"arrhythmia",0.1,0.675000071525574,"cone",2,512,0.592920362949371
"arrhythmia",0.1,0.675000011920929,"rect",8,1024,0.610619425773621
"arrhythmia",0.1,0.675000011920929,"rect",4,256,0.619468986988068
"arrhythmia",0.1,0.675000011920929,"rect",3,512,0.584070801734924
"arrhythmia",0.1,0.675000011920929,"rect",3,256,0.619468986988068
"arrhythmia",1,0.675000011920929,"cone",3,512,0.628318548202515
"arrhythmia",0.1,0.675000011920929,"rect",2,512,0.610619485378265
"arrhythmia",0.1,0.672500067949295,"cone",8,1024,0.601769924163818
"arrhythmia",1,0.672500014305115,"cone",4,512,0.601769924163818
"arrhythmia",0.1,0.662500017881393,"rect",16,256,0.592920362949371
"arrhythmia",0.1,0.659999966621399,"rect",4,1024,0.601769924163818
"arrhythmia",1,0.652500033378601,"cone",8,512,0.619468986988068
"arrhythmia",0.1,0.652500033378601,"rect",2,256,0.628318607807159
"arrhythmia",0.1,0.650000035762787,"cone",4,512,0.610619485378265
"arrhythmia",1,0.649999976158142,"cone",2,1024,0.628318548202515
"arrhythmia",1,0.632500010728836,"cone",4,256,0.628318548202515
"arrhythmia",0.1,0.630000001192093,"rect",2,1024,0.592920362949371
"arrhythmia",0.1,0.625000059604645,"rect",8,256,0.592920362949371
"arrhythmia",0.1,0.625000059604645,"cone",3,512,0.592920362949371
"arrhythmia",0.01,0.625,"rect",4,512,0.56637167930603
"arrhythmia",0.01,0.625,"rect",2,512,0.575221240520477
"arrhythmia",0.01,0.625,"cone",2,256,0.548672556877136
"arrhythmia",1,0.625,"cone",2,256,0.654867231845856
